50 documents , 1 concepts , 321 context features (15281) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -420, end 350, times 8, dT 100, I 1000


map[]

===============  per type  ===============
8.976753875096585e-06   T=0,K=0:  ἀκοή [3261] (0.233) ; ἀξιόλογος [11036] (0.130) ; ποιέω [84234] (0.094) ; πόλεμος [84434] (0.077) ; συγγραφεύς [97547] (0.060) ; ἄλυπος [4715] (0.052) ; κεφάλαιος [56978] (0.032) ; ἡδύς [46712] (0.031) ; προσακούω [88498] (0.030) ; προσκολλάω [89625] (0.028) ; 
6.205901489623953e-05   T=1,K=0:  ἀκοή [3261] (0.222) ; ποιέω [84234] (0.121) ; ἀξιόλογος [11036] (0.096) ; πόλεμος [84434] (0.064) ; συγγραφεύς [97547] (0.054) ; ἄλυπος [4715] (0.046) ; προσακούω [88498] (0.045) ; προσκολλάω [89625] (0.031) ; ἡδύς [46712] (0.028) ; κεφάλαιος [56978] (0.028) ; 
0.0015092627828780481   T=2,K=0:  ἀκοή [3261] (0.178) ; ποιέω [84234] (0.139) ; συγγραφεύς [97547] (0.083) ; ἀξιόλογος [11036] (0.061) ; ἄλυπος [4715] (0.053) ; προσακούω [88498] (0.051) ; πόλεμος [84434] (0.047) ; προσκολλάω [89625] (0.035) ; κεφάλαιος [56978] (0.032) ; ἐπίτασις [41257] (0.028) ; 
0.006353979861456036   T=3,K=0:  ἀκοή [3261] (0.264) ; ποιέω [84234] (0.127) ; συγγραφεύς [97547] (0.079) ; ἀξιόλογος [11036] (0.054) ; πόλεμος [84434] (0.045) ; ἄλυπος [4715] (0.041) ; προσακούω [88498] (0.032) ; ἐπίτασις [41257] (0.026) ; κεφάλαιος [56978] (0.025) ; πρᾶος [86187] (0.022) ; 
0.10706505969129584   T=4,K=0:  ἀκοή [3261] (0.226) ; ποιέω [84234] (0.127) ; συγγραφεύς [97547] (0.069) ; πόλεμος [84434] (0.059) ; ἄλυπος [4715] (0.054) ; ἀξιόλογος [11036] (0.044) ; πρᾶος [86187] (0.034) ; ἐπίτασις [41257] (0.033) ; παρατίθημι [78926] (0.027) ; κεφάλαιος [56978] (0.027) ; 
0.0697342654082628   T=5,K=0:  ἀκοή [3261] (0.248) ; ποιέω [84234] (0.076) ; πόλεμος [84434] (0.055) ; ἐπίτασις [41257] (0.055) ; ἄλυπος [4715] (0.048) ; ἀξιόλογος [11036] (0.043) ; συγγραφεύς [97547] (0.042) ; κεφάλαιος [56978] (0.035) ; προσκολλάω [89625] (0.034) ; παρατίθημι [78926] (0.032) ; 
0.0941654096605765   T=6,K=0:  ἀκοή [3261] (0.184) ; ἄλυπος [4715] (0.068) ; ἐπίτασις [41257] (0.065) ; πόλεμος [84434] (0.062) ; ποιέω [84234] (0.062) ; κεφάλαιος [56978] (0.046) ; ἀξιόλογος [11036] (0.044) ; πρᾶος [86187] (0.037) ; συγγραφεύς [97547] (0.037) ; παρατίθημι [78926] (0.036) ; 
0.1629951280226244   T=7,K=0:  ἀκοή [3261] (0.169) ; ἄλυπος [4715] (0.107) ; ἐπίτασις [41257] (0.077) ; πόλεμος [84434] (0.068) ; πρᾶος [86187] (0.062) ; κεφάλαιος [56978] (0.054) ; ποιέω [84234] (0.044) ; προσακούω [88498] (0.034) ; παρατίθημι [78926] (0.032) ; ἀξιόλογος [11036] (0.031) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  ἀκοή [3261] (0.215) ; ποιέω [84234] (0.099) ; ἀξιόλογος [11036] (0.063) ; πόλεμος [84434] (0.060) ; ἄλυπος [4715] (0.059) ; συγγραφεύς [97547] (0.057) ; ἐπίτασις [41257] (0.041) ; κεφάλαιος [56978] (0.035) ; προσακούω [88498] (0.033) ; πρᾶος [86187] (0.031) ; 

0.13867158794301296   T=0,K=1:  εἷς [31236] (0.120) ; ποιέω [84234] (0.066) ; πολύς [85306] (0.063) ; ὀξύς [74378] (0.059) ; φωνήεις [112834] (0.049) ; θέσις [48504] (0.045) ; βαρύς [19477] (0.043) ; ἄνθρωπος [8909] (0.029) ; ὁπόσος [74621] (0.029) ; Βακχεύω [19181] (0.025) ; 
0.039346157905318216   T=1,K=1:  ποιέω [84234] (0.072) ; ὀξύς [74378] (0.059) ; εἷς [31236] (0.056) ; πολύς [85306] (0.056) ; βαρύς [19477] (0.049) ; θέσις [48504] (0.042) ; ὁπόσος [74621] (0.038) ; φωνήεις [112834] (0.033) ; ἄνθρωπος [8909] (0.027) ; ὁράω [74735] (0.027) ; 
