hostis : 3454 documents
=================
 25 hostis 
==================

3454 documents , 1 concepts , 7323 context features (hostis) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -1, end 1, times 2, dT 2, I 2500


map[]


...ready to estimate
{0.275447, 0.237784, 0.226756, 0.260014,
 0.244061, 0.237645, 0.264293, 0.254001} 

{0.275337, 0.238399,  0.22693, 0.259334,
 0.244079, 0.237313, 0.264132, 0.254476} 

{0.275067, 0.238842, 0.226508, 0.259584,
 0.243082, 0.239204, 0.264904,  0.25281} 

{ 0.27732, 0.238266, 0.224719, 0.259695,
 0.242489, 0.239532, 0.265304, 0.252675} 

{  0.2765, 0.239149, 0.225157, 0.259194,
 0.243181, 0.239213, 0.265097, 0.252509} 

{0.276155, 0.239783, 0.225447, 0.258615,
 0.243197, 0.239393, 0.264543, 0.252867} 

{0.276415, 0.239354, 0.225261, 0.258969,
 0.244118, 0.240303, 0.264512, 0.251067} 

{0.276473, 0.239614, 0.225359, 0.258554,
 0.244907,  0.24006, 0.264355, 0.250679} 

{0.276616, 0.239232, 0.225463, 0.258689,
 0.244585, 0.239906, 0.265625, 0.249884} 

{0.276498, 0.239023, 0.226403, 0.258076,
 0.245068,  0.24044, 0.264793, 0.249699} 

{0.276178, 0.239274, 0.226121, 0.258427,
 0.244999, 0.240377,    0.265, 0.249624} 

{0.276563, 0.239656, 0.225323, 0.258458,
 0.244209,  0.24033, 0.264965, 0.250496} 

{0.277068, 0.240553, 0.225791, 0.256588,
 0.244767, 0.240059, 0.265063, 0.250111} 

{0.277705, 0.240376, 0.225307, 0.256612,
 0.244711, 0.240705, 0.264776, 0.249808} 

{ 0.27832, 0.240855, 0.223694, 0.257131,
 0.244477, 0.240672, 0.264157, 0.250694} 

{0.281037, 0.240097, 0.224458, 0.254408,
  0.24452, 0.240759, 0.264911,  0.24981} 

{0.279514, 0.240755, 0.225319, 0.254412,
 0.244845, 0.240118, 0.265084, 0.249953} 

{0.279143, 0.240016, 0.225855, 0.254986,
 0.245145, 0.238831, 0.266208, 0.249816} 

{0.280054, 0.240175, 0.224933, 0.254839,
 0.245188, 0.239051, 0.265718, 0.250043} 

{0.279659, 0.240064, 0.225339, 0.254938,
 0.246386, 0.238519, 0.264912, 0.250184} 

{0.280197, 0.239668, 0.225447, 0.254688,
 0.247871, 0.238683, 0.264512, 0.248934} 

{0.279594, 0.238566, 0.226315, 0.255525,
 0.248034, 0.238784, 0.264901, 0.248281} 

{0.279677, 0.238681, 0.226462, 0.255181,
 0.248365, 0.238581, 0.264806, 0.248248} 

{0.280725,  0.23892, 0.224339, 0.256016,
 0.248181, 0.238148, 0.266308, 0.247362} 

{0.281781, 0.239928, 0.222037, 0.256254,
 0.249351, 0.237873, 0.265416,  0.24736} 

{0.281826, 0.240096, 0.221712, 0.256366,
 0.249816, 0.237664, 0.265301, 0.247219} 

{0.280502, 0.241267, 0.220775, 0.257456,
 0.249797, 0.237699, 0.264999, 0.247505} 

