virtus : 2714 documents
=================
 7 virtus 
==================

2714 documents , 1 concepts , 6279 context features (virtus) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -1, end 1, times 2, dT 2, I 2500


map[]


...ready to estimate
{0.223411, 0.281671, 0.233531, 0.261386,
 0.255659, 0.252501, 0.245866, 0.245974} 

{0.220903, 0.281654, 0.234042, 0.263402,
  0.25626, 0.252109, 0.245762, 0.245869} 

{0.220508, 0.280801, 0.233018, 0.265673,
 0.255338, 0.252971, 0.246084, 0.245607} 

{0.219774, 0.280701, 0.234887, 0.264638,
 0.255148, 0.253193, 0.246647, 0.245012} 

{0.221574, 0.280924, 0.234338, 0.263164,
 0.254064,  0.25352, 0.246714, 0.245702} 

{0.221475, 0.280747, 0.232514, 0.265264,
 0.254535, 0.253977, 0.245415, 0.246073} 

{0.221514, 0.282155, 0.230533, 0.265797,
 0.254182, 0.253794,  0.24631, 0.245713} 

{ 0.22216, 0.282949, 0.229091, 0.265799,
 0.253989, 0.253547, 0.246772, 0.245693} 

{0.223661, 0.281456, 0.229663, 0.265219,
 0.253833, 0.254056, 0.247082, 0.245029} 

{ 0.22307,  0.28186, 0.231053, 0.264016,
 0.253674,  0.25344, 0.247047, 0.245838} 

{0.223488, 0.282702, 0.231709, 0.262101,
 0.253228, 0.254674, 0.246396, 0.245703} 

{0.224736, 0.279701, 0.232489, 0.263075,
 0.253314, 0.253869, 0.247233, 0.245583} 

{0.223041, 0.279085, 0.233444,  0.26443,
 0.253839, 0.252179, 0.247844, 0.246138} 

{0.223679, 0.279214, 0.233898, 0.263209,
 0.252868, 0.251482, 0.247516, 0.248133} 

{0.223574, 0.281922, 0.232396, 0.262108,
 0.252037, 0.251931, 0.247384, 0.248649} 

{ 0.22358, 0.280962, 0.232846, 0.262612,
 0.252578, 0.251643, 0.247014, 0.248765} 

{0.221243, 0.280996, 0.235354, 0.262406,
 0.252656, 0.252472, 0.247103, 0.247769} 

{0.223146, 0.279897, 0.231993, 0.264964,
 0.252835, 0.251791,  0.24786, 0.247514} 

{0.222338, 0.283855, 0.228597, 0.265211,
 0.252963, 0.252123, 0.247266, 0.247649} 

{0.220104, 0.284626, 0.227569,   0.2677,
  0.25321, 0.251688,  0.24727, 0.247832} 

{0.220548, 0.285127,  0.22534, 0.268985,
 0.252884, 0.252214, 0.247093, 0.247809} 

{0.219187, 0.288954, 0.223821, 0.268038,
 0.253015, 0.252071,  0.24726, 0.247654} 

{0.214261, 0.290461, 0.225017, 0.270261,
 0.253056, 0.252136, 0.247184, 0.247625} 

{0.215354, 0.290872, 0.222711, 0.271063,
 0.253326, 0.252525, 0.246916, 0.247233} 

{0.214674, 0.290895, 0.223869, 0.270562,
 0.253115,  0.25243, 0.247163, 0.247292} 

{0.211594,   0.2893, 0.224266,  0.27484,
 0.251507, 0.252829, 0.247631, 0.248033} 

{ 0.21236, 0.289221, 0.223188, 0.275231,
 0.251246, 0.252869, 0.247898, 0.247987} 

{0.214865, 0.292112, 0.220509, 0.272513,
 0.250638,  0.25242, 0.248865, 0.248078} 

{0.213209, 0.289603,  0.22535, 0.271838,
 0.250502, 0.252347, 0.248926, 0.248225} 

{0.215314, 0.290201, 0.223032, 0.271453,
 0.250226, 0.252681, 0.249147, 0.247946} 

{0.213722, 0.291175,  0.22307, 0.272034,
 0.250661, 0.253444, 0.248435,  0.24746} 

{0.214557, 0.291097, 0.221736,  0.27261,
 0.250764, 0.253439,  0.24876, 0.247037} 

{0.214147, 0.290604, 0.221837, 0.273412,
 0.251387, 0.254124, 0.248229,  0.24626} 

{0.216377, 0.290702, 0.219535, 0.273386,
 0.250811,  0.25516, 0.248636, 0.245392} 

{0.215614, 0.290065, 0.218751,  0.27557,
 0.250999, 0.255415,  0.24933, 0.244257} 

{0.214898, 0.290915, 0.219657, 0.274531,
 0.251058, 0.255636, 0.249128, 0.244178} 

{0.215755, 0.291288, 0.218423, 0.274535,
  0.25229, 0.255359, 0.248157, 0.244194} 

