jus : 2232 documents
=================
 37 jus 
==================


GENRES UNIQUE: [0 1]
NUM GENRES 2 
2232 documents , 1 concepts , 5410 context features (jus) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -2, end 10, times 13, dT 1, I 1500


map[]


...ready to estimate
{0.043074,  0.08082, 0.716876, 0.159231,
 0.176959, 0.062789, 0.559115, 0.201137,
 0.348239, 0.136079, 0.152388, 0.363294,
 0.344124, 0.157371, 0.216925,  0.28158,
 0.272254, 0.132118, 0.225586, 0.370043,
 0.245186, 0.137107, 0.334177, 0.283529,
 0.237867, 0.147216, 0.246104, 0.368812,
 0.279135, 0.315179, 0.234249, 0.171436,
 0.173065, 0.202037, 0.251198,   0.3737,
 0.202467, 0.094242, 0.377901,  0.32539,
 0.062407, 0.016784, 0.084122, 0.836687,
 0.101048, 0.003563, 0.032602, 0.862786,
 0.196066,  0.04614, 0.064948, 0.692845}
{0.144055, 0.001971, 0.741306, 0.112667,
 0.466775, 0.016014, 0.291818, 0.225393,
 0.432912, 0.003422, 0.365845, 0.197821,
 0.281868, 0.008587, 0.567365, 0.142179,
 0.411513,  0.06448, 0.315666, 0.208341,
 0.411655, 0.062186, 0.417857, 0.108302,
 0.304377, 0.151524,  0.23721, 0.306889,
  0.08814, 0.288827,   0.3422, 0.280833,
 0.035726, 0.265964, 0.193344, 0.504965,
 0.011468, 0.010572, 0.490889, 0.487071,
 0.028625, 0.003342, 0.083494,  0.88454,
 0.066583, 0.002895, 0.023335, 0.907187,
  0.01023,  0.00052,  0.03971,  0.94954} 


1 133.19715887794447
{0.051172, 0.059645, 0.759729, 0.129454,
 0.018011, 0.026549, 0.219045, 0.736395,
 0.352296, 0.131719, 0.151644, 0.364341,
 0.353655, 0.139186, 0.226708,  0.28045,
 0.272077, 0.132159, 0.226711, 0.369054,
 0.243285, 0.137797, 0.329799, 0.289119,
 0.239424, 0.150071, 0.243356,  0.36715,
 0.290638, 0.295771,  0.24643, 0.167161,
 0.172477, 0.203629, 0.250317, 0.373577,
 0.102701, 0.106572, 0.131943, 0.658784,
 0.079691, 0.021235,  0.15371, 0.745365,
 0.147445,  0.00976, 0.042465,  0.80033,
 0.554802, 0.052989, 0.069109,   0.3231}
{0.803943, 0.031801, 0.015247, 0.149009,
 0.690108, 0.009884, 0.179854, 0.120154,
 0.722377, 0.006683, 0.121152, 0.149788,
 0.788169, 0.012186, 0.129176, 0.070469,
 0.408994, 0.034436, 0.384133, 0.172437,
 0.385256, 0.056242, 0.462308, 0.096193,
  0.29657, 0.148019, 0.242389, 0.313022,
 0.095309, 0.299954, 0.332347,  0.27239,
 0.003054, 0.009973, 0.464217, 0.522756,
 0.000887, 0.000848, 0.038842, 0.959423,
 0.013926, 0.002165, 0.110562, 0.873347,
 0.023855, 0.001364, 0.125471,  0.84931,
 0.019181, 0.001936, 0.231389, 0.747494} 


1 152.3783743314231
{0.076575, 0.117376, 0.290237, 0.515813,
  0.17817, 0.645044, 0.109443, 0.067343,
 0.353984, 0.125734, 0.152736, 0.367547,
 0.360905, 0.120885, 0.230606, 0.287603,
 0.268686, 0.131905, 0.230405, 0.369004,
 0.234898, 0.165029, 0.313788, 0.286285,
 0.238311, 0.154865, 0.240814,  0.36601,
 0.270221, 0.284944, 0.250554, 0.194281,
 0.163195, 0.196729, 0.257034, 0.383043,
  0.13774, 0.141917, 0.093153,  0.62719,
 0.065991, 0.045676, 0.148515, 0.739818,
 0.227772, 0.006528, 0.054581, 0.711119,
 0.025528,  0.00653, 0.096169, 0.871772}
{0.488639, 0.014416, 0.070685, 0.426261,
 0.201673, 0.031643, 0.342868, 0.423816,
 0.200551, 0.011905, 0.354069, 0.433475,
 0.485106, 0.022435, 0.180716, 0.311744,
 0.398388, 0.024683, 0.382154, 0.194775,
 0.374526, 0.114821, 0.435097, 0.075556,
 0.326758, 0.144198, 0.231229, 0.297816,
 0.104858, 0.287786, 0.337288, 0.270067,
  0.00885, 0.176068, 0.196467, 0.618616,
 0.023096, 0.010356, 0.116074, 0.850474,
  0.04704,  0.01885, 0.117971,  0.81614,
 0.027629, 0.008023, 0.167022, 0.797325,
 0.008919, 0.002676, 0.005464, 0.982941} 


1 113.13956862996837
{0.075808, 0.118277, 0.371564, 0.434351,
  0.35657, 0.048842, 0.278861, 0.315726,
 0.356311, 0.123601, 0.152589, 0.367499,
 0.360944, 0.120037, 0.227235, 0.291783,
 0.276884, 0.125805, 0.238747, 0.358564,
  0.23727, 0.140963, 0.343461, 0.278306,
 0.231381, 0.162971, 0.251134, 0.354515,
 0.188344, 0.324831, 0.270403, 0.216422,
  0.14633, 0.201301,  0.26066, 0.391709,
 0.071023, 0.056281, 0.159806,  0.71289,
 0.074925, 0.047035, 0.172183, 0.705857,
 0.278065, 0.066174, 0.088311,  0.56745,
  0.43045, 0.026108, 0.047147, 0.496295}
{0.034288, 0.016645, 0.535089, 0.413978,
 0.206135, 0.040789, 0.381215, 0.371862,
 0.281123, 0.002819,  0.18189, 0.534169,
 0.626771, 0.005041, 0.141102, 0.227086,
 0.411181,  0.02449,  0.37342,  0.19091,
 0.481956,  0.12038, 0.320067, 0.077597,
 0.333581, 0.149433, 0.214265, 0.302721,
 0.086467, 0.346551, 0.341722,  0.22526,
 0.189114,  0.19824, 0.211568, 0.401078,
 0.217074, 0.238298, 0.119569, 0.425059,
