2055 documents , 1 concepts , 4913 context features (115193) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 10


map[]

===============  per type  ===============
0.08147443613204258   T=0,K=0:  84494 (0.046) ; 22209 (0.024) ; 85306 (0.020) ; 22100 (0.016) ;  (0.016) ; 90504 (0.013) ; 84234 (0.012) ; nlsj2087 (0.012) ; 61791 (0.011) ; 47007 (0.010) ; 
0.1312682240457303   T=1,K=0:  84494 (0.039) ; 22209 (0.033) ; 85306 (0.020) ; 61791 (0.017) ; 90504 (0.015) ;  (0.013) ; 45996 (0.012) ; 47007 (0.012) ; 22100 (0.010) ; 84234 (0.010) ; 
0.08100813609631731   T=2,K=0:  84494 (0.043) ; 22209 (0.021) ; 85306 (0.020) ;  (0.016) ; 90504 (0.014) ; 84234 (0.013) ; 61791 (0.012) ; 45996 (0.012) ; 47007 (0.011) ; 52571 (0.010) ; 
0.10134016126935967   T=3,K=0:  84494 (0.049) ; 85306 (0.033) ; 22209 (0.019) ; 45996 (0.016) ; 11583 (0.013) ;  (0.013) ; 47007 (0.012) ; 52571 (0.009) ; 90504 (0.009) ; 65552 (0.009) ; 
0.09151220641322937   T=4,K=0:  85306 (0.036) ; 45996 (0.035) ; 84494 (0.028) ; 22209 (0.022) ;  (0.017) ; 61791 (0.010) ; 85736 (0.009) ; 65552 (0.009) ; 112720 (0.008) ; 115193 (0.008) ; 
0.08178944606428556   T=5,K=0:  85306 (0.034) ; 45996 (0.030) ; 22209 (0.020) ; 84494 (0.015) ;  (0.015) ; 112720 (0.012) ; 65552 (0.010) ; 61791 (0.009) ; 115193 (0.008) ; 90504 (0.007) ; 
0.12956466169558076   T=6,K=0:  85306 (0.032) ; 45996 (0.027) ; 22209 (0.027) ; 84494 (0.016) ; 112720 (0.014) ;  (0.013) ; 65552 (0.009) ; nlsj56179 (0.009) ; 61791 (0.008) ; 115193 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  84494 (0.034) ; 85306 (0.028) ; 22209 (0.024) ; 45996 (0.020) ;  (0.015) ; 61791 (0.010) ; 90504 (0.010) ; 84234 (0.009) ; 65552 (0.009) ; 47007 (0.008) ; 

0.08131503467085469   T=0,K=1:  84494 (0.060) ; 84234 (0.049) ;  (0.049) ; 22209 (0.039) ; 85306 (0.037) ; 19546 (0.026) ; 11583 (0.018) ; 84422 (0.017) ; 29883 (0.016) ; 45996 (0.015) ; 
0.06567138821121678   T=1,K=1:  84234 (0.043) ; 84494 (0.042) ; 22209 (0.040) ;  (0.038) ; 85306 (0.032) ; 45996 (0.032) ; 19546 (0.020) ; 11583 (0.018) ; 106974 (0.014) ; 62204 (0.012) ; 
0.09279990251430845   T=2,K=1:  22209 (0.048) ; 84494 (0.047) ; 45996 (0.041) ; 85306 (0.033) ;  (0.030) ; 84234 (0.020) ; 62204 (0.016) ; 84422 (0.016) ; 11583 (0.014) ; 106974 (0.012) ; 
0.0876425711008463   T=3,K=1:  84494 (0.031) ;  (0.020) ; 84234 (0.015) ; 11583 (0.014) ; 84422 (0.013) ; 85306 (0.013) ; 62204 (0.012) ; 19546 (0.011) ; 22209 (0.011) ; 45996 (0.010) ; 
0.09739813949881644   T=4,K=1:  84494 (0.015) ;  (0.014) ; 84234 (0.013) ; 11583 (0.010) ; 19546 (0.010) ; 45996 (0.009) ; 84422 (0.008) ; 33956 (0.007) ; 106974 (0.006) ; 22209 (0.006) ; 
0.09365048396249175   T=5,K=1:  11583 (0.012) ; 84494 (0.011) ; 19546 (0.010) ; 33956 (0.009) ; 15893 (0.008) ; 84422 (0.008) ; 45996 (0.008) ; 110598 (0.008) ; 84234 (0.008) ;  (0.007) ; 
0.04010729143723687   T=6,K=1:  15893 (0.022) ; 45996 (0.011) ; 19546 (0.011) ; 84422 (0.009) ; 33956 (0.008) ; 84234 (0.007) ; 110598 (0.007) ; 84494 (0.006) ; 72273 (0.006) ; 34522 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  84494 (0.030) ;  (0.023) ; 84234 (0.022) ; 22209 (0.022) ; 85306 (0.018) ; 45996 (0.018) ; 19546 (0.014) ; 11583 (0.013) ; 84422 (0.012) ; 106974 (0.009) ; 

0.06249031079878927   T=0,K=2:  84234 (0.016) ; 65552 (0.015) ; 84494 (0.015) ; 90504 (0.014) ; 52035 (0.013) ;  (0.012) ; 47735 (0.011) ; 45996 (0.011) ; 27847 (0.011) ; 106974 (0.011) ; 
0.08249022694958684   T=1,K=2:  84494 (0.017) ;  (0.016) ; 84234 (0.015) ; 65552 (0.015) ; 85306 (0.014) ; 90504 (0.014) ; 27847 (0.014) ; 22209 (0.012) ; 45996 (0.011) ; 62204 (0.010) ; 
0.12137360472892057   T=2,K=2:   (0.025) ; 84494 (0.023) ; 85306 (0.018) ; 65552 (0.015) ; 45996 (0.013) ; 22209 (0.011) ; 84234 (0.011) ; 90504 (0.011) ; 104355 (0.011) ; 19546 (0.010) ; 
0.0910056460074187   T=3,K=2:  85306 (0.042) ; 45996 (0.036) ; 84494 (0.032) ;  (0.026) ; 65552 (0.020) ; 19546 (0.018) ; 84234 (0.012) ; 22209 (0.011) ; 73064 (0.009) ; 90504 (0.009) ; 
0.09789532072936646   T=4,K=2:  84494 (0.038) ; 85306 (0.037) ; 65552 (0.026) ; 45996 (0.023) ; 84234 (0.022) ;  (0.021) ; 75552 (0.016) ; 22209 (0.012) ; 90504 (0.010) ; 85736 (0.009) ; 
0.1482613612158734   T=5,K=2:  45996 (0.025) ;  (0.020) ; 75552 (0.018) ; 65552 (0.016) ; 84494 (0.015) ; 85306 (0.015) ; 84234 (0.015) ; 22209 (0.013) ; 33819 (0.009) ; 90504 (0.009) ; 
0.22489051688021153   T=6,K=2:   (0.030) ; 45996 (0.029) ; 75552 (0.018) ; 84234 (0.013) ; 65552 (0.013) ; 22209 (0.012) ; 85306 (0.011) ; 84422 (0.011) ; 85736 (0.010) ; 90504 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  84494 (0.021) ;  (0.021) ; 45996 (0.021) ; 85306 (0.021) ; 65552 (0.017) ; 84234 (0.015) ; 22209 (0.012) ; 90504 (0.011) ; 75552 (0.011) ; 85736 (0.009) ; 

0.04933894882734429   T=0,K=3:  84494 (0.048) ; 22209 (0.017) ; 26447 (0.017) ; 85306 (0.016) ; 85736 (0.016) ;  (0.016) ; 45996 (0.014) ; 28569 (0.010) ; 84434 (0.010) ; 47735 (0.010) ; 
0.05485166502700222   T=1,K=3:  84494 (0.034) ; 45996 (0.023) ; 85306 (0.023) ; 22209 (0.022) ;  (0.017) ; 84434 (0.015) ; 26447 (0.013) ; 98358 (0.011) ; 19546 (0.011) ; 28569 (0.008) ; 
0.0852992266242081   T=2,K=3:  84494 (0.037) ; 45996 (0.027) ; 85306 (0.023) ;  (0.021) ; 22209 (0.019) ; 19546 (0.012) ; 26447 (0.011) ; 84234 (0.010) ; 84434 (0.009) ; 28569 (0.008) ; 
0.09793931714187076   T=3,K=3:  85306 (0.048) ; 84494 (0.040) ; 45996 (0.032) ; 22209 (0.020) ;  (0.019) ; 84234 (0.016) ; 26447 (0.012) ; 19546 (0.011) ; 85736 (0.011) ; 84434 (0.010) ; 
