2055 documents , 1 concepts , 4913 context features (115193) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.23548797910682293   T=0,K=0:  84494 (0.020) ; 110639 (0.011) ; 26447 (0.011) ; 10251 (0.011) ; 68641 (0.010) ; 116416 (0.009) ; 90504 (0.009) ; nlsj2087 (0.009) ; 100693 (0.009) ; 31725 (0.008) ; 
0.11669826123130903   T=1,K=0:  84494 (0.026) ; 90504 (0.015) ; 110639 (0.010) ; 76703 (0.009) ; 106974 (0.009) ; 100693 (0.009) ; 45996 (0.009) ; 68641 (0.009) ; 50093 (0.008) ; 19346 (0.007) ; 
0.1147567972141376   T=2,K=0:  84494 (0.023) ; 68641 (0.015) ; 90504 (0.011) ; 50093 (0.010) ; 45996 (0.010) ; 106974 (0.010) ; 110639 (0.010) ; 116416 (0.008) ;  (0.008) ; 26447 (0.008) ; 
0.08533912507948548   T=3,K=0:  84494 (0.023) ; 68641 (0.011) ; 110639 (0.010) ;  (0.010) ; 90504 (0.009) ; 65552 (0.009) ; 106974 (0.008) ; 116416 (0.008) ; 76703 (0.008) ; 84434 (0.008) ; 
0.075935286770841   T=4,K=0:  84494 (0.036) ;  (0.013) ; 68641 (0.011) ; 110639 (0.010) ; 85306 (0.010) ; 61791 (0.010) ; 106974 (0.007) ; 84434 (0.007) ; 76703 (0.007) ; 37818 (0.007) ; 
0.07499345115867703   T=5,K=0:  84494 (0.029) ;  (0.016) ; 110639 (0.009) ; 85306 (0.009) ; 68641 (0.008) ; 61791 (0.008) ; 70050 (0.008) ; 84234 (0.008) ; 45996 (0.008) ; 90504 (0.007) ; 
0.04591771607380339   T=6,K=0:  84494 (0.028) ;  (0.011) ; 22209 (0.010) ; 65552 (0.009) ; 45996 (0.008) ; 90504 (0.008) ; 61791 (0.008) ; 50616 (0.007) ; 85306 (0.007) ; 106974 (0.007) ; 
0.08707379514960141   T=7,K=0:  84494 (0.018) ;  (0.013) ; 75552 (0.009) ; 65552 (0.009) ; 84234 (0.009) ; 68641 (0.008) ; 85306 (0.008) ; 22209 (0.007) ; 83774 (0.007) ; 50616 (0.007) ; 
0.090963864598389   T=8,K=0:  84494 (0.013) ; 22209 (0.012) ;  (0.012) ; 75552 (0.011) ; 70050 (0.009) ; 61791 (0.009) ; 45996 (0.008) ; 85306 (0.008) ; 84234 (0.007) ; 50616 (0.006) ; 
0.12149203637595266   T=9,K=0:  22209 (0.020) ; 84494 (0.020) ; 45996 (0.010) ; 75552 (0.009) ; 61791 (0.009) ;  (0.009) ; 68641 (0.009) ; 85306 (0.008) ; 16051 (0.008) ; 62204 (0.007) ; 
0.10492925381000083   T=10,K=0:   (0.018) ; 84494 (0.013) ; 22209 (0.011) ; 68641 (0.011) ; 16051 (0.010) ; 85306 (0.008) ; nlsj2087 (0.008) ; 84234 (0.008) ; 75552 (0.008) ; 61791 (0.008) ; 
0.09376074245390446   T=11,K=0:   (0.022) ; 84494 (0.014) ; 84234 (0.013) ; 68641 (0.013) ; 85306 (0.012) ; 22209 (0.009) ; 84422 (0.007) ; 86371 (0.007) ; 62204 (0.007) ; 64374 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  84494 (0.022) ;  (0.012) ; 68641 (0.010) ; 90504 (0.008) ; 110639 (0.007) ; 22209 (0.007) ; 85306 (0.007) ; 45996 (0.007) ; 61791 (0.007) ; 106974 (0.006) ; 

