96 documents , 1 concepts , 613 context features (17483) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
4.3110382997196484e-05   T=0,K=0:  65552 (0.031) ; 58429 (0.030) ; nlsj59172 (0.024) ; 104421 (0.024) ; 22943 (0.023) ; 102736 (0.023) ; 109757 (0.021) ; 102000 (0.021) ; 106974 (0.020) ; 73277 (0.019) ; 
1.2368348702223494e-07   T=1,K=0:  58429 (0.033) ; nlsj59172 (0.031) ; 46123 (0.025) ; 65552 (0.025) ; 106974 (0.023) ; 73277 (0.022) ; 41082 (0.020) ; 104421 (0.019) ; 42648 (0.019) ; 102736 (0.018) ; 
0.03377600729140728   T=2,K=0:  nlsj2558 (0.027) ; 58429 (0.026) ; 106974 (0.026) ; 42648 (0.025) ; 46123 (0.024) ; 72322 (0.022) ; 104421 (0.022) ; nlsj59172 (0.022) ; 28569 (0.020) ; 65552 (0.020) ; 
0.039698667787544946   T=3,K=0:  nlsj2558 (0.037) ; 42648 (0.034) ; 72322 (0.029) ; nlsj59172 (0.025) ; 58429 (0.022) ; 110722 (0.020) ; 105829 (0.019) ; 46123 (0.017) ; 24619 (0.017) ; nlsj61372 (0.016) ; 
0.38364793536268904   T=4,K=0:  42648 (0.028) ; 110722 (0.027) ; nlsj2558 (0.027) ; nlsj61372 (0.026) ; 72322 (0.026) ; 46123 (0.021) ; nlsj59172 (0.020) ; 63845 (0.020) ; 51259 (0.019) ; 24619 (0.017) ; 
0.27910010358610177   T=5,K=0:  nlsj2558 (0.046) ; 110722 (0.040) ; nlsj61372 (0.026) ; 42648 (0.026) ; 72322 (0.025) ; nlsj59172 (0.021) ; 65552 (0.020) ; 102000 (0.019) ; 58429 (0.019) ; 46123 (0.017) ; 
5.803379282645365e-07   T=6,K=0:  nlsj2558 (0.048) ; 110722 (0.030) ; nlsj61372 (0.026) ; 28569 (0.023) ; 58429 (0.022) ; 42648 (0.021) ; 45996 (0.020) ; 46123 (0.018) ; nlsj59172 (0.018) ; 76516 (0.016) ; 
0.06426381657972673   T=7,K=0:  110722 (0.045) ; nlsj2558 (0.035) ; 47917 (0.029) ; 42648 (0.024) ; 45996 (0.023) ; 102832 (0.019) ; 28569 (0.018) ; 104698 (0.018) ; 75152 (0.018) ; 41798 (0.018) ; 
0.10387706487347874   T=8,K=0:  42648 (0.034) ; nlsj2558 (0.026) ; 106974 (0.025) ; 104698 (0.023) ; 47917 (0.020) ; nlsj59172 (0.020) ; 110722 (0.019) ; 45996 (0.019) ; 102832 (0.019) ; 75152 (0.019) ; 
0.08044210675376738   T=9,K=0:  42648 (0.046) ; 68641 (0.028) ; 104698 (0.028) ; 41798 (0.023) ; 45996 (0.023) ; 75152 (0.022) ; nlsj2558 (0.020) ; 110722 (0.018) ; 72322 (0.018) ; 47917 (0.017) ; 
2.7496589704010025e-05   T=10,K=0:  nlsj2558 (0.032) ; 41798 (0.031) ; 42648 (0.030) ; 110722 (0.029) ; 68641 (0.028) ; 104698 (0.025) ; 106974 (0.025) ; 45996 (0.023) ; 75152 (0.022) ; 47917 (0.019) ; 
1.1091368334642046e-08   T=11,K=0:  nlsj2558 (0.054) ; 106974 (0.029) ; 68641 (0.028) ; 104698 (0.028) ; 110722 (0.027) ; 41798 (0.026) ; 42648 (0.025) ; nlsj59172 (0.024) ; 45996 (0.022) ; 72322 (0.020) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  nlsj2558 (0.032) ; 42648 (0.027) ; 110722 (0.024) ; nlsj59172 (0.021) ; 72322 (0.019) ; 58429 (0.019) ; 106974 (0.019) ; nlsj61372 (0.017) ; 65552 (0.017) ; 46123 (0.016) ; 

