207 documents , 1 concepts , 985 context features (15281) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
1.5254816749105387e-06   T=0,K=0:  nlsj61372 (0.108) ; 115887 (0.032) ; 49780 (0.023) ; 15281 (0.023) ; 90504 (0.022) ; 114684 (0.022) ; 92783 (0.021) ; 15274 (0.020) ; 12485 (0.020) ; 19412 (0.019) ; 
1.470035329645505e-06   T=1,K=0:  nlsj61372 (0.078) ; 92783 (0.026) ; 115887 (0.025) ; 49780 (0.024) ; 90504 (0.024) ; 19412 (0.023) ; 15281 (0.023) ; 114684 (0.023) ; 15274 (0.022) ; 112832 (0.019) ; 
1.6214033532455513e-06   T=2,K=0:  nlsj61372 (0.086) ; 92783 (0.038) ; 114684 (0.030) ; 112832 (0.021) ; 15274 (0.021) ; 65975 (0.019) ; 49780 (0.018) ; 15281 (0.018) ; 75595 (0.018) ; 63772 (0.015) ; 
2.267490305376197e-06   T=3,K=0:  nlsj61372 (0.053) ; 92783 (0.039) ; 49780 (0.024) ; 114684 (0.022) ; 65975 (0.021) ; 76570 (0.020) ; 15281 (0.019) ; 75595 (0.017) ; 112832 (0.017) ; 15274 (0.016) ; 
3.1636435598121646e-06   T=4,K=0:  nlsj61372 (0.061) ; 92783 (0.049) ; 15281 (0.026) ; 76570 (0.019) ; 32544 (0.018) ; 114684 (0.018) ; 59098 (0.016) ; 49780 (0.016) ; 75595 (0.016) ; 12829 (0.015) ; 
2.9817662758198683e-06   T=5,K=0:  nlsj61372 (0.102) ; 92783 (0.051) ; 15281 (0.030) ; 76570 (0.019) ; 65975 (0.015) ; 12829 (0.015) ; 60209 (0.014) ; 115887 (0.014) ; 114684 (0.013) ; 90122 (0.013) ; 
4.058058974162559e-06   T=6,K=0:  nlsj61372 (0.068) ; 92783 (0.050) ; 15281 (0.024) ; 21802 (0.023) ; 12829 (0.019) ; 115887 (0.018) ; 60209 (0.017) ; 110598 (0.016) ; 15274 (0.014) ; 65975 (0.014) ; 
4.428912520264344e-06   T=7,K=0:  nlsj61372 (0.050) ; 115887 (0.025) ; 92783 (0.022) ; 21802 (0.021) ; 15281 (0.018) ; 15274 (0.018) ; 110598 (0.016) ; 75595 (0.015) ; 76570 (0.015) ; 28906 (0.014) ; 
2.933628318252364e-06   T=8,K=0:  nlsj61372 (0.041) ; 15274 (0.034) ; 115887 (0.023) ; 75595 (0.021) ; 92783 (0.018) ; 21802 (0.017) ; 30921 (0.014) ; 112832 (0.014) ; 60209 (0.014) ; 30040 (0.014) ; 
2.691512337422856e-06   T=9,K=0:  nlsj61372 (0.044) ; 115887 (0.028) ; 15274 (0.026) ; 75595 (0.022) ; 74621 (0.019) ; 30040 (0.019) ; 92783 (0.019) ; 112832 (0.016) ; 14023 (0.014) ; 21802 (0.014) ; 
3.0621560472305907e-06   T=10,K=0:  nlsj61372 (0.055) ; 75595 (0.031) ; 115887 (0.028) ; 30040 (0.025) ; 59098 (0.019) ; 74602 (0.019) ; 14023 (0.018) ; 15274 (0.018) ; 30921 (0.018) ; 49780 (0.016) ; 
