1265 documents , 1 concepts , 3956 context features (23726) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.1547021957812151   T=0,K=0:  52332 (0.009) ; nlsj561 (0.008) ; nlsj8802 (0.005) ; 51241 (0.005) ; 61177 (0.004) ; nlsj76696 (0.003) ; 103701 (0.003) ; 2244 (0.003) ; 51424 (0.003) ; 112559 (0.002) ; 
0.13388319701497176   T=1,K=0:  nlsj561 (0.006) ; 52332 (0.006) ;  (0.004) ; 85306 (0.004) ; nlsj8802 (0.004) ; 62204 (0.003) ; 2244 (0.003) ; 28002 (0.003) ; 103701 (0.003) ; 112559 (0.003) ; 
0.19248431518081738   T=2,K=0:  85306 (0.013) ; 62204 (0.008) ; 42159 (0.007) ; 84494 (0.006) ; 12641 (0.005) ; 84234 (0.005) ; 116416 (0.004) ; nlsj561 (0.004) ;  (0.004) ; 45996 (0.004) ; 
0.17974562721811504   T=3,K=0:  84494 (0.022) ; 85306 (0.017) ; 116416 (0.013) ; 62204 (0.011) ; 84234 (0.009) ; 12641 (0.007) ;  (0.007) ; 42159 (0.005) ; 45996 (0.004) ; 22209 (0.004) ; 
0.1381293029459248   T=4,K=0:  85306 (0.010) ; 84494 (0.009) ; 116416 (0.006) ; 84234 (0.006) ; 62204 (0.006) ; 72627 (0.004) ;  (0.004) ; 86112 (0.004) ; 22209 (0.004) ; 64866 (0.004) ; 
0.08577612159241778   T=5,K=0:  85306 (0.011) ;  (0.010) ; 62204 (0.010) ; 84494 (0.009) ; 79983 (0.007) ; 8909 (0.004) ; 45996 (0.004) ; 19546 (0.004) ; 84234 (0.004) ; 20621 (0.004) ; 
0.09765723492735003   T=6,K=0:  79983 (0.021) ;  (0.014) ; 62204 (0.013) ; 8909 (0.009) ; 84494 (0.008) ; 85306 (0.006) ; 45996 (0.006) ; 48291 (0.005) ; 75552 (0.005) ; 23726 (0.004) ; 
0.11978266612963075   T=7,K=0:  79983 (0.041) ; 62204 (0.016) ; 8909 (0.015) ; 45996 (0.014) ; 84434 (0.013) ; 48291 (0.013) ;  (0.009) ; 84422 (0.006) ; 52332 (0.006) ; 20621 (0.005) ; 
0.09509133824387446   T=8,K=0:  84434 (0.055) ; 79983 (0.020) ; 74735 (0.011) ; 45996 (0.010) ; 52332 (0.009) ; 22209 (0.009) ; 65552 (0.009) ;  (0.008) ; 48291 (0.007) ; nlsj32160 (0.007) ; 
0.09700495938911138   T=9,K=0:  79983 (0.021) ; 84434 (0.017) ; 63713 (0.009) ; 45996 (0.009) ; 74735 (0.008) ; 22209 (0.008) ; 70958 (0.007) ; 80043 (0.006) ; 110639 (0.005) ; 48291 (0.005) ; 
0.08054067333353054   T=10,K=0:  79983 (0.011) ; 22209 (0.011) ; 80043 (0.010) ; 8665 (0.009) ; 74735 (0.009) ; 84434 (0.007) ; 80327 (0.006) ;  (0.005) ; 49875 (0.005) ; 85306 (0.005) ; 
0.04656549835463033   T=11,K=0:  8665 (0.013) ; 80043 (0.013) ; 79983 (0.012) ; 22209 (0.008) ; 74735 (0.006) ; 49875 (0.005) ; 260 (0.005) ; 70958 (0.004) ; 85306 (0.004) ; 84434 (0.004) ; 
0.04997278141843747   T=12,K=0:  80043 (0.012) ; 8665 (0.011) ; 79983 (0.010) ; 22209 (0.007) ; 49875 (0.007) ; 70958 (0.005) ; 48291 (0.005) ; 74735 (0.005) ; 72610 (0.005) ; 260 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  79983 (0.011) ; 84434 (0.008) ; 85306 (0.007) ;  (0.006) ; 62204 (0.006) ; 45996 (0.005) ; 84494 (0.005) ; 22209 (0.005) ; 8665 (0.004) ; 74735 (0.004) ; 

0.09861798728432918   T=0,K=1:  59227 (0.021) ; nlsj1653 (0.014) ; 12169 (0.011) ; 67278 (0.003) ; 45996 (0.003) ; 85962 (0.003) ; 57991 (0.003) ; 23726 (0.002) ; 80610 (0.002) ; 62204 (0.002) ; 
0.1153457936085481   T=1,K=1:  59227 (0.014) ; nlsj1653 (0.007) ; 23726 (0.005) ; 45996 (0.004) ; 62204 (0.004) ; 12169 (0.003) ; 57991 (0.003) ; 114624 (0.002) ; 22209 (0.002) ; 85962 (0.002) ; 
