42 documents , 1 concepts , 257 context features (14967) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 5, max_docs_per_slice 2000, start -335, end 200, times 27, dT 20, I 100


map[]

===============  per type  ===============
0.37765597685000024   T=0,K=0:  260 (0.059) ; 72627 (0.034) ; nlsj9034 (0.034) ; 100990 (0.029) ; 70413 (0.026) ; 11583 (0.021) ; 14967 (0.019) ; 79013 (0.019) ; 46568 (0.018) ; unknown (0.018) ; 
0.4865993217665328   T=1,K=0:  72627 (0.064) ; 260 (0.057) ; nlsj9034 (0.052) ; 100990 (0.034) ; 70413 (0.032) ; 56090 (0.024) ; 11583 (0.019) ; 79013 (0.017) ; 113388 (0.016) ; nlsj4677 (0.014) ; 
0.5477470502169238   T=2,K=0:  nlsj9034 (0.058) ; 260 (0.055) ; 72627 (0.042) ; 56090 (0.035) ; 70413 (0.035) ; 100990 (0.026) ; 82862 (0.019) ; 11583 (0.019) ; 79013 (0.017) ; 90922 (0.014) ; 
0.20551423072429034   T=3,K=0:  nlsj9034 (0.092) ; 70413 (0.043) ; 72627 (0.038) ; 260 (0.029) ; 100990 (0.028) ; 11583 (0.025) ; 56090 (0.022) ; nlsj4677 (0.017) ; 58429 (0.017) ; 113388 (0.016) ; 
0.1169413788185594   T=4,K=0:  nlsj9034 (0.075) ; 72627 (0.042) ; 56090 (0.033) ; 70413 (0.031) ; nlsj9493 (0.025) ; 11583 (0.025) ; 260 (0.024) ; 14967 (0.023) ; 90922 (0.021) ; 100524 (0.016) ; 
0.2714807213382351   T=5,K=0:  nlsj9034 (0.085) ; 72627 (0.044) ; 56090 (0.028) ; 70413 (0.025) ; nlsj4677 (0.025) ; 100990 (0.022) ; nlsj9493 (0.022) ; 82862 (0.022) ; 14967 (0.022) ; 98234 (0.020) ; 
0.4067000285907327   T=6,K=0:  72627 (0.058) ; nlsj9034 (0.056) ; 70413 (0.032) ; 100990 (0.029) ; nlsj4677 (0.025) ; nlsj9493 (0.021) ; 56090 (0.021) ; 45372 (0.020) ; 82862 (0.019) ; 90922 (0.019) ; 
0.41987518348974195   T=7,K=0:  72627 (0.059) ; nlsj9034 (0.041) ; nlsj4677 (0.031) ; 100990 (0.029) ; nlsj9493 (0.028) ; 79013 (0.022) ; 98234 (0.020) ; 31159 (0.020) ; 70413 (0.019) ; 90922 (0.019) ; 
0.4524159645340022   T=8,K=0:  72627 (0.063) ; nlsj9034 (0.038) ; 46568 (0.038) ; nlsj4677 (0.035) ; 100990 (0.033) ; 98234 (0.025) ; nlsj9493 (0.022) ; 70413 (0.018) ; 56090 (0.018) ; 45372 (0.016) ; 
0.362640341901092   T=9,K=0:  nlsj9034 (0.044) ; 72627 (0.044) ; nlsj4677 (0.041) ; 100990 (0.032) ; 98234 (0.027) ; 46568 (0.023) ; 45372 (0.019) ; nlsj71743 (0.019) ; 56090 (0.018) ; 11583 (0.016) ; 
0.34254512979761237   T=10,K=0:  nlsj9034 (0.049) ; 72627 (0.032) ; nlsj71743 (0.030) ; 100990 (0.028) ; nlsj4677 (0.027) ; 11583 (0.023) ; 45372 (0.022) ; 46568 (0.021) ; 98234 (0.021) ; 82862 (0.019) ; 
0.4617780094003758   T=11,K=0:  11583 (0.038) ; nlsj9034 (0.034) ; nlsj71743 (0.029) ; 72627 (0.028) ; 100990 (0.026) ; 98234 (0.024) ; 46568 (0.022) ; 45372 (0.020) ; 82862 (0.020) ; nlsj4677 (0.020) ; 
0.3953887810961436   T=12,K=0:  11583 (0.035) ; nlsj71743 (0.030) ; 46568 (0.024) ; 72627 (0.022) ; 98234 (0.021) ; nlsj9034 (0.019) ; 56090 (0.018) ; 82862 (0.017) ; 45372 (0.017) ; 79013 (0.016) ; 
0.3004356604060392   T=13,K=0:  11583 (0.032) ; 65552 (0.023) ; 46568 (0.022) ; 45235 (0.019) ; 58429 (0.019) ; 98234 (0.017) ; nlsj71743 (0.017) ; 79013 (0.017) ; nlsj9034 (0.016) ; 37212 (0.016) ; 
0.2646733322182289   T=14,K=0:  11583 (0.037) ; 46568 (0.036) ; 45235 (0.028) ; 98234 (0.019) ; nlsj9034 (0.017) ; 106974 (0.016) ; 79013 (0.016) ; 71542 (0.015) ; 4490 (0.014) ; 90922 (0.014) ; 
0.2830053114595194   T=15,K=0:  11583 (0.035) ; 46568 (0.035) ; 45235 (0.026) ; 67868 (0.018) ; nlsj9493 (0.017) ; 98234 (0.016) ; 79013 (0.016) ; 106974 (0.015) ; 71542 (0.014) ; 110243 (0.014) ; 
0.12936958173552585   T=16,K=0:  46568 (0.027) ; 82862 (0.023) ; nlsj9034 (0.023) ; 106974 (0.021) ; 11583 (0.021) ; 67868 (0.020) ; nlsj9493 (0.019) ; 86122 (0.017) ; 71882 (0.017) ; nlsj71743 (0.017) ; 
0.08147734118979882   T=17,K=0:  11583 (0.029) ; 46568 (0.024) ; nlsj71743 (0.023) ; nlsj9493 (0.018) ; 31598 (0.017) ; 98234 (0.016) ; 45235 (0.016) ; 48579 (0.015) ; 67868 (0.015) ; 92384 (0.014) ; 
0.08741970267669373   T=18,K=0:  11583 (0.025) ; 45372 (0.021) ; 98234 (0.020) ; 48579 (0.019) ; 17154 (0.019) ; nlsj9493 (0.018) ; 4490 (0.018) ; 92384 (0.017) ; 71882 (0.017) ; 45235 (0.016) ; 
0.04780337254944796   T=19,K=0:  67868 (0.026) ; 45235 (0.021) ; 45372 (0.019) ; 79013 (0.019) ; 71882 (0.019) ; 98234 (0.018) ; nlsj9493 (0.017) ; 48579 (0.016) ; 7915 (0.015) ; 46568 (0.015) ; 
0.04078409130367969   T=20,K=0:  71882 (0.028) ; 67868 (0.024) ; 45372 (0.024) ; nlsj9493 (0.023) ; 50492 (0.020) ; 92384 (0.019) ; 45235 (0.017) ; 83490 (0.017) ; 48579 (0.015) ; 98234 (0.014) ; 
0.013869814317107052   T=21,K=0:  71882 (0.036) ; 50492 (0.032) ; 92384 (0.024) ; 45372 (0.019) ; 46568 (0.019) ; 48579 (0.018) ; 4490 (0.018) ; 67868 (0.018) ; nlsj9493 (0.017) ; 83490 (0.016) ; 
0.04688984253524943   T=22,K=0:  71882 (0.040) ; 92384 (0.024) ; nlsj9493 (0.023) ; 50492 (0.023) ; 45235 (0.022) ; 67868 (0.021) ; 48579 (0.019) ; 45372 (0.018) ; 28002 (0.016) ; 106974 (0.016) ; 
0.03987459721833648   T=23,K=0:  71882 (0.048) ; 7915 (0.034) ; 92384 (0.029) ; 50492 (0.026) ; 90504 (0.024) ; 45637 (0.021) ; nlsj9493 (0.018) ; 28002 (0.017) ; nlsj8790 (0.017) ; 45372 (0.016) ; 
0.04488474396938568   T=24,K=0:  71882 (0.054) ; 90504 (0.037) ; 50492 (0.031) ; 7915 (0.027) ; nlsj8790 (0.026) ; 45372 (0.020) ; 45637 (0.020) ; 45235 (0.019) ; nlsj71743 (0.017) ; 92384 (0.016) ; 
0.018217968957498686   T=25,K=0:  71882 (0.054) ; 50492 (0.048) ; nlsj8790 (0.027) ; 48579 (0.023) ; 101714 (0.022) ; 90504 (0.022) ; 93702 (0.021) ; 45372 (0.020) ; 7915 (0.020) ; 101498 (0.019) ; 
0.009910141594216585   T=26,K=0:  71882 (0.050) ; 48579 (0.041) ; 50492 (0.038) ; 7915 (0.036) ; 101498 (0.033) ; 4490 (0.030) ; 101714 (0.023) ; nlsj8790 (0.022) ; 92384 (0.022) ; 28002 (0.019) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  nlsj9034 (0.030) ; 72627 (0.024) ; 11583 (0.018) ; 46568 (0.017) ; 71882 (0.017) ; nlsj9493 (0.016) ; 100990 (0.016) ; 98234 (0.016) ; 45372 (0.015) ; 56090 (0.015) ; 

0.21788212108182756   T=0,K=1:  63772 (0.037) ; 58429 (0.029) ; 3466 (0.027) ; 67798 (0.022) ; 65468 (0.022) ; 45321 (0.019) ; 41018 (0.019) ; nlsj61372 (0.018) ; 106974 (0.018) ; 24369 (0.015) ; 
0.06378200727822206   T=1,K=1:  63772 (0.035) ; 45321 (0.028) ; 58429 (0.027) ; 3466 (0.024) ; 106974 (0.019) ; 77591 (0.019) ; 48579 (0.016) ; 46612 (0.014) ; 67798 (0.014) ; 41018 (0.013) ; 
0.12124084624252708   T=2,K=1:  58429 (0.042) ; 63772 (0.039) ; 3466 (0.028) ; 45321 (0.019) ; 88670 (0.018) ; 41018 (0.017) ; nlsj61372 (0.017) ; nlsj76626 (0.015) ; 67798 (0.015) ; 65552 (0.015) ; 
0.3127579181731282   T=3,K=1:  58429 (0.040) ; 63772 (0.027) ; 37885 (0.022) ; 41018 (0.021) ; 3466 (0.021) ; 65552 (0.020) ; nlsj76626 (0.018) ; nlsj61372 (0.015) ; 102000 (0.015) ; 67798 (0.014) ; 
0.4724678546254498   T=4,K=1:  58429 (0.045) ; 3466 (0.024) ; 63772 (0.023) ; 106974 (0.022) ; 37885 (0.020) ; 102000 (0.018) ; nlsj76626 (0.016) ; 62204 (0.016) ; 65565 (0.014) ; 65552 (0.014) ; 
0.3461404188547688   T=5,K=1:  58429 (0.041) ; 106974 (0.033) ; 3466 (0.024) ; nlsj76626 (0.021) ; 26761 (0.020) ; 37885 (0.018) ; 63772 (0.015) ; 104698 (0.014) ; 65552 (0.013) ; 81325 (0.012) ; 
0.17115894064424328   T=6,K=1:  58429 (0.044) ; 106974 (0.022) ; nlsj76626 (0.021) ; 67798 (0.020) ; 26761 (0.019) ; 65552 (0.015) ; 81325 (0.015) ; 715 (0.014) ; 3466 (0.014) ; nlsj61372 (0.014) ; 
0.1510963751973034   T=7,K=1:  106974 (0.028) ; 67798 (0.025) ; 88670 (0.023) ; 81325 (0.022) ; 3466 (0.022) ; 65565 (0.018) ; 26761 (0.018) ; 38466 (0.017) ; 58429 (0.016) ; 37885 (0.015) ; 
0.16125250711107905   T=8,K=1:  106974 (0.044) ; 67798 (0.031) ; 88670 (0.027) ; 715 (0.024) ; nlsj9034 (0.020) ; 81325 (0.020) ; 41018 (0.017) ; 62203 (0.017) ; 65565 (0.015) ; 3466 (0.015) ; 
0.08655341024708803   T=9,K=1:  106974 (0.044) ; 88670 (0.027) ; nlsj9034 (0.025) ; 81325 (0.022) ; 67798 (0.022) ; 715 (0.022) ; 102000 (0.019) ; 55139 (0.016) ; 65469 (0.014) ; 17562 (0.014) ; 
0.10007640125434211   T=10,K=1:  106974 (0.052) ; 102000 (0.029) ; 88670 (0.020) ; 38422 (0.019) ; 715 (0.018) ; 65565 (0.017) ; 65469 (0.017) ; nlsj9034 (0.016) ; 62204 (0.015) ; 67798 (0.015) ; 
0.09657291137489818   T=11,K=1:  106974 (0.035) ; 102000 (0.033) ; 715 (0.026) ; 81325 (0.024) ; 65469 (0.022) ; 88670 (0.018) ; 77591 (0.015) ; 62204 (0.015) ; 65565 (0.015) ; 3591 (0.013) ; 
0.15746571905968665   T=12,K=1:  106974 (0.031) ; 102000 (0.031) ; 81325 (0.028) ; 715 (0.025) ; 88670 (0.023) ; 65469 (0.022) ; nlsj9034 (0.021) ; 3466 (0.018) ; 65565 (0.017) ; 77591 (0.015) ; 
0.14956164927572307   T=13,K=1:  106974 (0.033) ; 102000 (0.027) ; 81325 (0.024) ; 38422 (0.024) ; 88670 (0.024) ; 26602 (0.023) ; 65565 (0.020) ; 3466 (0.017) ; 62204 (0.015) ; 715 (0.015) ; 
0.09458221983489608   T=14,K=1:  102000 (0.028) ; 88670 (0.028) ; 106974 (0.023) ; 38422 (0.023) ; 81325 (0.022) ; 77591 (0.019) ; 3466 (0.017) ; 62204 (0.016) ; 114553 (0.016) ; 26602 (0.015) ; 
0.15189403102013949   T=15,K=1:  38422 (0.038) ; 88670 (0.034) ; 102000 (0.025) ; 106974 (0.024) ; 715 (0.021) ; 77591 (0.018) ; 81325 (0.017) ; 37885 (0.017) ; 65552 (0.016) ; 103975 (0.016) ; 
0.0445763702565376   T=16,K=1:  38422 (0.046) ; 88670 (0.039) ; 715 (0.027) ; 77591 (0.025) ; 106974 (0.025) ; 102000 (0.022) ; 37885 (0.020) ; 3591 (0.015) ; 26602 (0.014) ; 114553 (0.014) ; 
0.017383554333053136   T=17,K=1:  38422 (0.066) ; 88670 (0.037) ; 77591 (0.023) ; 37885 (0.022) ; 715 (0.021) ; 106974 (0.019) ; 4860 (0.018) ; 62204 (0.018) ; 102000 (0.016) ; 81325 (0.016) ; 
0.005871960730741806   T=18,K=1:  38422 (0.067) ; 88670 (0.029) ; 106974 (0.028) ; 49173 (0.027) ; 4860 (0.027) ; 114553 (0.021) ; 715 (0.017) ; 77591 (0.016) ; 37885 (0.016) ; 103975 (0.015) ; 
0.002576350238004856   T=19,K=1:  38422 (0.062) ; 4860 (0.040) ; 106974 (0.031) ; 715 (0.030) ; 88670 (0.028) ; 114553 (0.019) ; 49173 (0.019) ; 37885 (0.018) ; 74767 (0.018) ; 43837 (0.017) ; 
0.002760857605311131   T=20,K=1:  4860 (0.077) ; 38422 (0.071) ; 715 (0.042) ; 106974 (0.030) ; 88670 (0.022) ; 43837 (0.022) ; 49173 (0.019) ; 37885 (0.017) ; 114553 (0.016) ; 62204 (0.012) ; 
0.0031933578015249735   T=21,K=1:  4860 (0.068) ; 38422 (0.061) ; 715 (0.056) ; 43837 (0.026) ; 88670 (0.023) ; 77591 (0.020) ; 106974 (0.017) ; 37885 (0.015) ; 65362 (0.015) ; 103975 (0.013) ; 
0.002071291625190972   T=22,K=1:  715 (0.084) ; 4860 (0.078) ; 43837 (0.030) ; 88670 (0.029) ; 38422 (0.024) ; 37885 (0.022) ; 106974 (0.020) ; 103975 (0.015) ; 114553 (0.014) ; 74767 (0.014) ; 
0.00424466671485042   T=23,K=1:  4860 (0.077) ; 715 (0.071) ; 114553 (0.022) ; 37885 (0.021) ; 38422 (0.021) ; 106974 (0.020) ; 88670 (0.019) ; 43837 (0.019) ; 62204 (0.018) ; 81325 (0.016) ; 
0.005350728504902529   T=24,K=1:  715 (0.071) ; 4860 (0.071) ; 37885 (0.032) ; 88670 (0.032) ; 65362 (0.027) ; 38422 (0.018) ; 62204 (0.017) ; 17353 (0.016) ; 114553 (0.015) ; 106974 (0.015) ; 
0.0017703305242384646   T=25,K=1:  715 (0.069) ; 4860 (0.066) ; 88670 (0.045) ; 37885 (0.034) ; 65362 (0.031) ; 81325 (0.029) ; 62204 (0.021) ; 43837 (0.014) ; 114553 (0.014) ; 56090 (0.013) ; 
0.0021631337769052556   T=26,K=1:  4860 (0.090) ; 715 (0.071) ; 37885 (0.037) ; 65362 (0.031) ; 81325 (0.028) ; 56090 (0.026) ; 88670 (0.026) ; 62204 (0.023) ; 74735 (0.018) ; 43837 (0.015) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  715 (0.030) ; 4860 (0.026) ; 106974 (0.025) ; 38422 (0.025) ; 88670 (0.023) ; 37885 (0.017) ; 58429 (0.016) ; 81325 (0.016) ; 102000 (0.015) ; 62204 (0.013) ; 

0.3058353997531475   T=0,K=2:  7915 (0.044) ; 65469 (0.038) ; 72627 (0.031) ; 43837 (0.024) ; 67798 (0.023) ; 46568 (0.022) ; 86122 (0.021) ; 4962 (0.020) ; 63772 (0.019) ; 114553 (0.016) ; 
0.3178526638578224   T=1,K=2:  7915 (0.075) ; 65469 (0.041) ; 4962 (0.033) ; 67798 (0.023) ; 72627 (0.021) ; 43837 (0.020) ; 85600 (0.019) ; 114553 (0.019) ; 63772 (0.018) ; 46568 (0.016) ; 
0.20858752992977087   T=2,K=2:  4962 (0.061) ; 7915 (0.050) ; 65469 (0.034) ; 72627 (0.030) ; 67798 (0.021) ; 43837 (0.020) ; 63772 (0.020) ; 114553 (0.019) ; 85600 (0.018) ; 45321 (0.014) ; 
0.16025626143016108   T=3,K=2:  7915 (0.049) ; 65469 (0.037) ; 4962 (0.033) ; 85600 (0.025) ; 72627 (0.024) ; 86122 (0.022) ; 63772 (0.021) ; 67798 (0.020) ; 28566 (0.019) ; 45321 (0.017) ; 
0.14894581237093676   T=4,K=2:  65469 (0.039) ; 7915 (0.035) ; 4962 (0.028) ; 86122 (0.027) ; 72627 (0.022) ; 45321 (0.021) ; 85600 (0.018) ; 28566 (0.017) ; 28002 (0.017) ; 67250 (0.015) ; 
0.15076184017510993   T=5,K=2:  7915 (0.041) ; 4962 (0.025) ; 86122 (0.023) ; 65469 (0.022) ; 85600 (0.021) ; 72627 (0.020) ; 28002 (0.017) ; 67250 (0.017) ; 31598 (0.016) ; 90933 (0.015) ; 
0.12984953250277548   T=6,K=2:  7915 (0.048) ; 28002 (0.027) ; 86122 (0.024) ; 67250 (0.024) ; 4962 (0.019) ; 85600 (0.018) ; 72627 (0.017) ; 24103 (0.016) ; 63772 (0.014) ; 47928 (0.014) ; 
0.16968060257365528   T=7,K=2:  7915 (0.043) ; 86122 (0.035) ; 85600 (0.020) ; 28002 (0.018) ; 24103 (0.018) ; 67250 (0.016) ; 34678 (0.015) ; 90933 (0.015) ; 45996 (0.015) ; 63772 (0.014) ; 
0.15730270421652628   T=8,K=2:  7915 (0.038) ; 86122 (0.035) ; 63772 (0.022) ; 24103 (0.015) ; 45321 (0.015) ; 45996 (0.014) ; nlsj8790 (0.014) ; 85600 (0.013) ; 67250 (0.013) ; 110639 (0.013) ; 
0.22622592230982352   T=9,K=2:  7915 (0.054) ; 86122 (0.028) ; 63772 (0.022) ; 45321 (0.020) ; 24103 (0.018) ; 4962 (0.016) ; 110639 (0.015) ; 66507 (0.015) ; 47617 (0.015) ; 85600 (0.015) ; 
0.23032954656342988   T=10,K=2:  7915 (0.056) ; 24103 (0.025) ; 63772 (0.023) ; 45321 (0.020) ; 66507 (0.017) ; 4962 (0.017) ; 84494 (0.016) ; 65552 (0.016) ; 45996 (0.015) ; 110639 (0.015) ; 
0.1601055492301162   T=11,K=2:  7915 (0.032) ; 24103 (0.030) ; 63772 (0.027) ; 4962 (0.021) ; 45321 (0.021) ; 65552 (0.021) ; 86122 (0.016) ; 84494 (0.013) ; 45996 (0.013) ; 43842 (0.012) ; 
0.10686788167297143   T=12,K=2:  63772 (0.048) ; 24103 (0.040) ; 4962 (0.026) ; 7915 (0.023) ; 65552 (0.020) ; 45321 (0.016) ; 66507 (0.016) ; 86122 (0.014) ; 100524 (0.013) ; 36008 (0.012) ; 
0.14278157324085616   T=13,K=2:  24103 (0.050) ; 63772 (0.045) ; 7915 (0.032) ; 4962 (0.028) ; 65552 (0.025) ; 66507 (0.022) ; 86122 (0.015) ; 100524 (0.014) ; 46612 (0.013) ; 52774 (0.012) ; 
0.12928111522866015   T=14,K=2:  24103 (0.057) ; 4962 (0.032) ; 63772 (0.028) ; 7915 (0.024) ; 66507 (0.023) ; 65552 (0.022) ; 46612 (0.017) ; 65469 (0.016) ; 52774 (0.013) ; 102930 (0.013) ; 
0.150836315703   T=15,K=2:  24103 (0.046) ; 63772 (0.030) ; 65552 (0.029) ; 4962 (0.026) ; 66507 (0.022) ; 65469 (0.018) ; 7915 (0.018) ; 46612 (0.017) ; nlsj4709 (0.016) ; 12409 (0.014) ; 
0.3720245680124086   T=16,K=2:  24103 (0.041) ; 65552 (0.035) ; 63772 (0.027) ; 65469 (0.027) ; 4962 (0.018) ; nlsj4709 (0.016) ; 33819 (0.016) ; 102930 (0.016) ; 66507 (0.016) ; 7915 (0.014) ; 
0.40284403783766215   T=17,K=2:  65469 (0.042) ; 65552 (0.040) ; 63772 (0.029) ; 24103 (0.027) ; 102930 (0.021) ; 66507 (0.017) ; nlsj4709 (0.016) ; 84434 (0.015) ; 4962 (0.015) ; 33819 (0.013) ; 
0.44617230410205677   T=18,K=2:  65552 (0.047) ; 65469 (0.046) ; 24103 (0.026) ; 4962 (0.025) ; nlsj4709 (0.020) ; 63772 (0.020) ; 102930 (0.020) ; 103701 (0.019) ; 67250 (0.015) ; 84434 (0.012) ; 
