42 documents , 1 concepts , 257 context features (14967) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 5, max_docs_per_slice 2000, start -335, end 200, times 27, dT 20, I 100


map[]

===============  per type  ===============
0.239028209622362   T=0,K=0:  14967 (0.068) ; 52680 (0.033) ; 24917 (0.026) ; 114651 (0.023) ; nlsj8790 (0.022) ; 67250 (0.021) ; 84250 (0.019) ; 62204 (0.018) ; 43842 (0.018) ; 37212 (0.017) ; 
0.07070815649683805   T=1,K=0:  114651 (0.038) ; 14967 (0.032) ; 98211 (0.024) ; 52680 (0.024) ; 105344 (0.023) ; 63772 (0.022) ; 28581 (0.019) ; 24917 (0.019) ; 1108 (0.019) ; 84250 (0.019) ; 
0.0216360145055291   T=2,K=0:  98211 (0.028) ; 24917 (0.026) ; 114651 (0.023) ; 84250 (0.021) ; 52680 (0.021) ; 28581 (0.020) ; 67250 (0.020) ; 14967 (0.020) ; 1108 (0.019) ; 62204 (0.019) ; 
0.03979515465714991   T=3,K=0:  24917 (0.034) ; 28581 (0.026) ; 84250 (0.026) ; 14967 (0.022) ; 98211 (0.022) ; 31236 (0.020) ; 105344 (0.019) ; 47617 (0.018) ; 114651 (0.018) ; nlsj9493 (0.017) ; 
0.029079388171450723   T=4,K=0:  28581 (0.027) ; 24917 (0.027) ; 14967 (0.026) ; 114651 (0.022) ; 105344 (0.018) ; 62204 (0.017) ; nlsj9493 (0.015) ; 65565 (0.015) ; 31236 (0.014) ; 84250 (0.013) ; 
0.018968300225277054   T=5,K=0:  24917 (0.033) ; 14967 (0.030) ; 28581 (0.029) ; 65565 (0.018) ; 11072 (0.017) ; 114651 (0.016) ; 62204 (0.015) ; nlsj8790 (0.014) ; 31236 (0.013) ; 63772 (0.013) ; 
0.03368438271065149   T=6,K=0:  14967 (0.026) ; 114651 (0.025) ; 24917 (0.024) ; 65565 (0.022) ; 67798 (0.021) ; 62204 (0.018) ; 11072 (0.017) ; 84250 (0.016) ; 33059 (0.014) ; nlsj8790 (0.013) ; 
0.04412600733945984   T=7,K=0:  11072 (0.028) ; 14967 (0.023) ; 84250 (0.021) ; 65468 (0.021) ; 67798 (0.019) ; 62204 (0.019) ; 114651 (0.018) ; 24917 (0.016) ; nlsj8790 (0.016) ; 104274 (0.014) ; 
0.035454828994557444   T=8,K=0:  14967 (0.029) ; 11072 (0.028) ; 114651 (0.021) ; 12210 (0.019) ; 65468 (0.019) ; nlsj8790 (0.017) ; 62204 (0.016) ; 67798 (0.015) ; 84506 (0.015) ; 104274 (0.015) ; 
0.01137166018172418   T=9,K=0:  114651 (0.030) ; 12210 (0.025) ; 14967 (0.022) ; 11072 (0.022) ; 104274 (0.020) ; 65468 (0.019) ; 107349 (0.016) ; 37212 (0.016) ; 48910 (0.015) ; 102676 (0.014) ; 
0.021789541273126635   T=10,K=0:  114651 (0.030) ; 12210 (0.028) ; 37212 (0.022) ; 62204 (0.020) ; 65468 (0.020) ; 14967 (0.020) ; 84506 (0.018) ; 11072 (0.017) ; nlsj71743 (0.016) ; 102676 (0.015) ; 
0.015440798045683893   T=11,K=0:  14967 (0.035) ; 114651 (0.032) ; 12210 (0.027) ; 65468 (0.023) ; 37212 (0.021) ; 62204 (0.020) ; 104274 (0.014) ; 24369 (0.014) ; 102676 (0.013) ; nlsj9493 (0.013) ; 
0.018449036127832944   T=12,K=0:  114651 (0.023) ; 14967 (0.023) ; 12210 (0.019) ; 21187 (0.018) ; 65468 (0.018) ; 37212 (0.017) ; 62204 (0.017) ; 103975 (0.016) ; 104274 (0.015) ; 83490 (0.013) ; 
0.023773450609496823   T=13,K=0:  65468 (0.023) ; 14967 (0.020) ; 62204 (0.020) ; 114651 (0.019) ; 37212 (0.017) ; 83490 (0.017) ; 24369 (0.017) ; 46782 (0.016) ; 103975 (0.016) ; 104274 (0.015) ; 
0.025713123508142546   T=14,K=0:  83490 (0.030) ; 103975 (0.024) ; 36008 (0.021) ; 65468 (0.020) ; 63772 (0.017) ; 107349 (0.016) ; 45321 (0.015) ; 12210 (0.014) ; 67798 (0.013) ; 114651 (0.013) ; 
0.0444806785025357   T=15,K=0:  83490 (0.029) ; 36008 (0.021) ; 67798 (0.018) ; 45321 (0.018) ; 63772 (0.016) ; 103975 (0.016) ; 92384 (0.015) ; 73064 (0.015) ; 114651 (0.014) ; 65565 (0.014) ; 
0.0640574653714226   T=16,K=0:  83490 (0.022) ; 98234 (0.021) ; 92384 (0.019) ; 73064 (0.017) ; 65565 (0.017) ; 63772 (0.016) ; 37212 (0.015) ; 22209 (0.015) ; 45235 (0.015) ; 28581 (0.015) ; 
0.11870378459505812   T=17,K=0:  92384 (0.028) ; 98234 (0.021) ; 36008 (0.019) ; 103975 (0.017) ; 73064 (0.016) ; 45235 (0.016) ; 65565 (0.015) ; 63772 (0.015) ; 62383 (0.015) ; 81634 (0.014) ; 
0.2543624589204459   T=18,K=0:  92384 (0.029) ; 98234 (0.024) ; 36008 (0.021) ; 28581 (0.020) ; 22209 (0.017) ; 81634 (0.017) ; 103975 (0.016) ; 1108 (0.015) ; 73064 (0.014) ; 11072 (0.014) ; 
0.09969842940013068   T=19,K=0:  98234 (0.039) ; 28581 (0.028) ; 81634 (0.026) ; 36008 (0.026) ; 92384 (0.024) ; 22209 (0.022) ; 103975 (0.020) ; 65565 (0.016) ; 65469 (0.016) ; 45235 (0.015) ; 
0.09676004400013903   T=20,K=0:  28581 (0.054) ; 98234 (0.044) ; 92384 (0.024) ; 22209 (0.024) ; 81634 (0.024) ; 65565 (0.023) ; 36008 (0.021) ; 45235 (0.019) ; 25130 (0.018) ; 62383 (0.017) ; 
0.13118513602149165   T=21,K=0:  28581 (0.041) ; 98234 (0.038) ; 36008 (0.034) ; 92384 (0.026) ; 31537 (0.023) ; 25130 (0.020) ; 83490 (0.017) ; 45235 (0.017) ; 81634 (0.017) ; 103975 (0.017) ; 
0.09212957675232025   T=22,K=0:  28581 (0.042) ; 92384 (0.035) ; 31537 (0.034) ; 98234 (0.032) ; 103975 (0.030) ; 36008 (0.024) ; 45235 (0.023) ; 25130 (0.021) ; 65469 (0.017) ; 72427 (0.017) ; 
0.07323277179472368   T=23,K=0:  28581 (0.049) ; 45235 (0.033) ; 92384 (0.029) ; 31537 (0.028) ; 25130 (0.027) ; 72427 (0.024) ; 113356 (0.024) ; 36008 (0.020) ; 98234 (0.020) ; 65469 (0.019) ; 
0.0322341896598795   T=24,K=0:  28581 (0.054) ; 98234 (0.036) ; 31537 (0.034) ; 65469 (0.025) ; nlsj9493 (0.023) ; 92384 (0.023) ; 103975 (0.022) ; 25130 (0.021) ; 45235 (0.020) ; 36008 (0.020) ; 
0.08835544870151112   T=25,K=0:  28581 (0.054) ; 31537 (0.052) ; 83490 (0.030) ; 65469 (0.027) ; 103975 (0.027) ; 36008 (0.026) ; 98234 (0.023) ; 81808 (0.023) ; 26761 (0.022) ; 92384 (0.022) ; 
0.21755846969568343   T=26,K=0:  31537 (0.064) ; 36008 (0.032) ; 28581 (0.030) ; 92384 (0.028) ; 26761 (0.027) ; 103975 (0.025) ; 65469 (0.024) ; nlsj9493 (0.023) ; 81808 (0.023) ; 83490 (0.018) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  28581 (0.024) ; 14967 (0.019) ; 98234 (0.017) ; 114651 (0.015) ; 92384 (0.014) ; 36008 (0.014) ; 65565 (0.013) ; 103975 (0.012) ; 11072 (0.012) ; 31537 (0.012) ; 

0.06669327205667873   T=0,K=1:  114553 (0.088) ; 73277 (0.060) ; 61791 (0.038) ; 63772 (0.025) ; 46612 (0.023) ; 33819 (0.020) ; 65565 (0.015) ; 67299 (0.015) ; 50492 (0.015) ; 28569 (0.015) ; 
0.03772768079381723   T=1,K=1:  114553 (0.066) ; 73277 (0.065) ; 61791 (0.032) ; 46612 (0.026) ; 63772 (0.024) ; 50492 (0.023) ; 65565 (0.020) ; 28569 (0.019) ; 81634 (0.019) ; 62347 (0.016) ; 
0.030413482177325413   T=2,K=1:  114553 (0.063) ; 73277 (0.059) ; 61791 (0.035) ; 63772 (0.026) ; 46612 (0.023) ; 81634 (0.020) ; 65565 (0.018) ; 67299 (0.015) ; 50492 (0.013) ; 47617 (0.013) ; 
0.03463201327965112   T=3,K=1:  73277 (0.065) ; 114553 (0.063) ; 63772 (0.029) ; 61791 (0.028) ; 67299 (0.028) ; 65565 (0.026) ; 81634 (0.020) ; 46612 (0.019) ; 16933 (0.017) ; 98234 (0.015) ; 
0.03831099332417625   T=4,K=1:  73277 (0.064) ; 114553 (0.045) ; 16933 (0.031) ; 67299 (0.026) ; 81634 (0.025) ; 65565 (0.024) ; 61791 (0.021) ; 63772 (0.019) ; 47928 (0.018) ; 47617 (0.017) ; 
