sanctus : 2086 documents
=================
 2 sanctus 
==================

2086 documents , 1 concepts , 5446 context features (sanctus) 
kappaF 1000.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -1, end 1, times 2, dT 2, I 2500


map[]


...ready to estimate
{0.401978,  0.13726, 0.202195, 0.258568,
 0.265037, 0.251454, 0.229295, 0.254214} 

{ 0.41062, 0.121566, 0.197104,  0.27071,
 0.265375,  0.25119, 0.229764,  0.25367} 

{0.401972, 0.148283, 0.187561, 0.262184,
   0.2657, 0.251156, 0.229951, 0.253194} 

{0.412149, 0.138502, 0.206053, 0.243297,
 0.265755,  0.25092, 0.229718, 0.253607} 

{ 0.40379, 0.149671,  0.20358, 0.242959,
 0.266222, 0.251714, 0.229255, 0.252808} 

{0.402674, 0.151456, 0.204224, 0.241646,
 0.266966,  0.25203, 0.229464,  0.25154} 

{0.403855, 0.168258, 0.195063, 0.232824,
 0.267118,  0.25294, 0.229148, 0.250793} 

{0.403536,  0.17177, 0.206151, 0.218543,
 0.267388, 0.253012,  0.22886,  0.25074} 

{0.401145, 0.173013, 0.207853, 0.217989,
 0.267334, 0.253479, 0.228152, 0.251036} 

{0.373321, 0.194211,  0.20655, 0.225918,
 0.267812, 0.253451, 0.228873, 0.249863} 

{0.389274, 0.171992, 0.210275, 0.228459,
 0.268386, 0.254764, 0.228555, 0.248294} 

{0.432309, 0.178915, 0.177417, 0.211359,
 0.268713, 0.254612, 0.228795, 0.247881} 

{0.411166,  0.19119, 0.180319, 0.217325,
 0.268659, 0.256139, 0.227942, 0.247259} 

{0.455055,   0.1722, 0.187059, 0.185686,
 0.268349, 0.256257, 0.227646, 0.247748} 

{0.443752, 0.170991, 0.180731, 0.204526,
 0.268032,  0.25619, 0.228679,   0.2471} 

{0.430503,  0.15928, 0.181372, 0.228845,
 0.268045,  0.25557, 0.229131, 0.247253} 

{ 0.43234, 0.160453,  0.18465, 0.222558,
 0.268214, 0.255376, 0.228901, 0.247509} 

{0.423035, 0.162898, 0.190822, 0.223245,
  0.26798, 0.256134, 0.228082, 0.247804} 

{ 0.42217, 0.161718, 0.188695, 0.227417,
 0.268198, 0.255931, 0.227937, 0.247935} 

{0.425848, 0.145852, 0.195472, 0.232829,
 0.268348, 0.255187, 0.228404, 0.248061} 

{0.383025, 0.179804, 0.195391,  0.24178,
 0.268392, 0.255477, 0.228708, 0.247423} 

{0.386441, 0.173316,  0.19976, 0.240483,
 0.267932, 0.254849, 0.230231, 0.246987} 

{0.372142, 0.183223, 0.199296, 0.245339,
 0.267899, 0.255648, 0.230764, 0.245689} 

{0.365494, 0.184519, 0.204751, 0.245237,
 0.268208, 0.254673, 0.231012, 0.246108} 

{0.354959, 0.182274, 0.214469, 0.248297,
 0.268405, 0.254473, 0.230989, 0.246133} 

{0.381484, 0.189449, 0.234761, 0.194307,
 0.268678, 0.254584, 0.230877, 0.245861} 

{0.385336, 0.202998, 0.226507, 0.185159,
 0.267825, 0.255174,  0.23183, 0.245172} 

{0.382847, 0.189838, 0.236493, 0.190821,
 0.267757, 0.256188, 0.231184,  0.24487} 

{0.371966, 0.187962, 0.234017, 0.206055,
 0.267879, 0.255344, 0.231418, 0.245358} 

{0.377086, 0.190489, 0.226123, 0.206302,
 0.268155, 0.255624, 0.231887, 0.244333} 

{0.381199, 0.187898, 0.240091, 0.190812,
 0.269233, 0.256398, 0.230425, 0.243945} 

{ 0.37863, 0.164137, 0.235878, 0.221356,
 0.269491, 0.256358, 0.230514, 0.243638} 

{0.377602, 0.155484, 0.230473, 0.236442,
 0.269992,  0.25623, 0.230291, 0.243487} 

{0.389089, 0.164789, 0.230034, 0.216088,
 0.270545, 0.256409,  0.23023, 0.242815} 

{0.404654, 0.148886, 0.236322, 0.210137,
 0.269836, 0.257115, 0.230465, 0.242584} 

{0.417427, 0.154862, 0.211905, 0.215805,
 0.268892, 0.256732, 0.230487,  0.24389} 

{ 0.39169, 0.168496, 0.226112, 0.213701,
 0.268688,  0.25689, 0.230147, 0.244274} 

{0.386369, 0.165131, 0.222178, 0.226322,
  0.26887, 0.257021, 0.229694, 0.244415} 

{0.398424, 0.148196, 0.209359, 0.244021,
  0.27006, 0.257111, 0.229361, 0.243468} 

{0.412102, 0.154564, 0.210965, 0.222369,
 0.269963, 0.256318, 0.228891, 0.244829} 

{0.414677, 0.149854, 0.216322, 0.219147,
 0.268594, 0.256563,  0.22944, 0.245403} 

{0.402181, 0.152044, 0.206022, 0.239754,
 0.268541, 0.256692, 0.230702, 0.244066} 

{0.391685, 0.149431, 0.209295, 0.249589,
 0.268488, 0.257255, 0.230307,  0.24395} 

{0.383974, 0.152661,  0.21245, 0.250914,
 0.268298, 0.257795, 0.230221, 0.243686} 

{0.375602, 0.146811, 0.234292, 0.243295,
 0.268364, 0.257948, 0.229564, 0.244124} 

{ 0.37312, 0.153188, 0.225042,  0.24865,
 0.268839, 0.257834, 0.229125, 0.244201} 

{0.368216, 0.151291, 0.217477, 0.263016,
 0.268589, 0.259179, 0.228925, 0.243308} 

{0.360618, 0.149027, 0.212612, 0.277743,
 0.268194,  0.25907, 0.228834, 0.243903} 

{0.357991, 0.139538, 0.225438, 0.277032,
 0.267322, 0.259763, 0.228622, 0.244293} 

{0.360334, 0.142729, 0.224599, 0.272338,
  0.26775, 0.259675, 0.228542, 0.244033} 

{ 0.35218, 0.146143, 0.207371, 0.294306,
 0.268212, 0.259391, 0.228585, 0.243811} 

{0.345546, 0.135537, 0.222401, 0.296515,
 0.267217, 0.260621, 0.228216, 0.243946} 

{0.360478, 0.117995, 0.209224, 0.312303,
 0.267472, 0.260705, 0.228182, 0.243641} 

{ 0.36018, 0.117074, 0.214458, 0.308289,
