poena : 1075 documents
=================
 15 poena 
==================

1075 documents , 1 concepts , 3746 context features (poena) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -2, end 10, times 13, dT 1, I 1500


map[]


...ready to estimate
{0.017363, 0.026795, 0.904185, 0.051657,
 0.037546, 0.041767,  0.66957, 0.251116,
 0.306784, 0.224976, 0.294597, 0.173643,
 0.207344, 0.295287,  0.29211,  0.20526,
  0.23552, 0.305085, 0.259932, 0.199463,
 0.153657, 0.337358, 0.257545,  0.25144,
 0.238497, 0.295369, 0.251936, 0.214198,
 0.325829, 0.127568, 0.291801, 0.254803,
 0.171433, 0.250467, 0.361563, 0.216537,
 0.377768, 0.179102, 0.330088, 0.113042,
 0.134928,  0.05972, 0.785558, 0.019794,
 0.017979,  0.00942, 0.966439, 0.006162,
 0.050314, 0.000878, 0.945318,  0.00349} 

{0.002355, 0.004178, 0.955504, 0.037962,
 0.114204, 0.131502, 0.634179, 0.120114,
 0.306203, 0.233463,  0.28822, 0.172115,
 0.216888, 0.289041, 0.290849, 0.203221,
 0.225799, 0.300989, 0.271132,  0.20208,
  0.14684, 0.319664, 0.294779, 0.238717,
 0.238933, 0.292109,  0.25208, 0.216878,
 0.275245, 0.141826, 0.271674, 0.311254,
 0.163642, 0.250061, 0.370294, 0.216003,
 0.572458, 0.128601, 0.217042,   0.0819,
 0.147494, 0.137188, 0.688531, 0.026787,
 0.069489, 0.040591, 0.879455, 0.010465,
  0.06858, 0.027891, 0.898843, 0.004686} 

{0.331008, 0.019202, 0.469834, 0.179956,
 0.109247, 0.168963, 0.177079, 0.544712,
 0.304043, 0.225346,  0.29408, 0.176531,
 0.217414, 0.287853, 0.287291, 0.207443,
 0.221977, 0.295969, 0.280532, 0.201522,
 0.146953, 0.328954, 0.286345, 0.237748,
 0.230368, 0.291606, 0.258753, 0.219273,
  0.27749, 0.142745, 0.246066, 0.333699,
 0.163325, 0.253121, 0.371023, 0.212531,
 0.072293, 0.081161, 0.823121, 0.023426,
 0.191038, 0.161562, 0.637879, 0.009521,
 0.187431, 0.069552, 0.739368, 0.003649,
 0.057077, 0.080617,  0.85879, 0.003516} 

{0.131795, 0.018931, 0.707147, 0.142126,
  0.31679, 0.217978, 0.369924, 0.095309,
 0.309914, 0.226979, 0.297531, 0.165576,
 0.209123, 0.287721, 0.288273, 0.214883,
 0.221675, 0.300543, 0.280793, 0.196989,
 0.153556, 0.299609, 0.280652, 0.266183,
 0.225219, 0.287621, 0.264662, 0.222498,
 0.315487,  0.12149, 0.257599, 0.305424,
 0.164414, 0.256095,     0.37, 0.209492,
 0.147765, 0.289027, 0.536059, 0.027149,
 0.189954, 0.159137, 0.627646, 0.023263,
  0.09262, 0.292794, 0.609763, 0.004823,
  0.07306, 0.099754, 0.821001, 0.006185} 

{0.086874, 0.590285, 0.177389, 0.145453,
 0.079531, 0.548405, 0.225846, 0.146218,
 0.313903,  0.23048, 0.290458, 0.165159,
  0.20916, 0.291562, 0.286398,  0.21288,
 0.204364, 0.315442, 0.283627, 0.196567,
 0.150521, 0.300073,  0.29164, 0.257766,
 0.231199, 0.287425, 0.265578, 0.215799,
 0.367483,  0.08449, 0.225522, 0.322505,
 0.166746, 0.256424, 0.370165, 0.206664,
 0.115854, 0.440538, 0.374276, 0.069333,
 0.184618, 0.186979, 0.564559, 0.063844,
 0.038367, 0.058699, 0.899258, 0.003675,
  0.04162, 0.700673, 0.256699, 0.001008} 

{0.020459, 0.616455, 0.336985, 0.026101,
 0.288807, 0.336177, 0.189403, 0.185612,
 0.311273, 0.232119, 0.292377, 0.164231,
 0.211941, 0.297678, 0.276107, 0.214274,
 0.203461, 0.315683,  0.28671, 0.194146,
 0.148864, 0.297093, 0.287948, 0.266095,
 0.229384,  0.28902, 0.265711, 0.215884,
 0.336687, 0.087458,  0.26324, 0.312615,
 0.166691, 0.257988, 0.369096, 0.206225,
 0.031288, 0.512215, 0.269766, 0.186732,
 0.066286, 0.195372, 0.587014, 0.151328,
 0.022191, 0.303976, 0.670688, 0.003145,
 0.028266, 0.183807, 0.783766, 0.004161} 

{0.057684, 0.438292, 0.416813, 0.087211,
 0.109684, 0.098911, 0.576172, 0.215233,
 0.297278, 0.236466, 0.301038, 0.165218,
 0.212577, 0.296271, 0.276719, 0.214433,
 0.223743, 0.312737, 0.279678, 0.183841,
 0.124737, 0.293886, 0.246688, 0.334689,
 0.230874, 0.289025, 0.266595, 0.213505,
 0.321818, 0.095328, 0.251301, 0.331553,
 0.165552, 0.269531, 0.361168, 0.203749,
  0.19546, 0.228505, 0.409854, 0.166182,
 0.061876, 0.169143, 0.756328, 0.012653,
 0.026713, 0.224609, 0.743682, 0.004996,
 0.154307, 0.358318, 0.480576, 0.006799} 

{ 0.14777, 0.176074, 0.615242, 0.060915,
 0.170549, 0.129977, 0.618435,  0.08104,
 0.293126, 0.239243, 0.305509, 0.162122,
 0.223859, 0.290688, 0.268568, 0.216885,
 0.218395, 0.309864, 0.283483, 0.188258,
 0.111689, 0.279024, 0.245061, 0.364227,
 0.228172, 0.291429, 0.266901, 0.213498,
 0.346522, 0.082742,  0.22652, 0.344217,
 0.166594, 0.270159, 0.360802, 0.202445,
 0.045567, 0.487083, 0.379654, 0.087697,
 0.086907, 0.143885, 0.730956, 0.038251,
 0.037072,  0.02711, 0.931491, 0.004326,
 0.056481, 0.018892, 0.918032, 0.006595} 

{0.078128, 0.211445, 0.615972, 0.094454,
 0.415857, 0.098534, 0.402603, 0.083006,
 0.292074, 0.232418,  0.30443, 0.171078,
 0.223062, 0.290301,  0.26719, 0.219448,
 0.216395, 0.327208, 0.277456, 0.178941,
 0.111708, 0.307642, 0.256879, 0.323771,
 0.229632, 0.290931, 0.265457,  0.21398,
  0.36182, 0.087121, 0.219183, 0.331876,
 0.169599,  0.26989, 0.358188, 0.202323,
 0.062946, 0.308401, 0.474855, 0.153798,
 0.115623,  0.11359, 0.700505, 0.070282,
 0.030051, 0.002435, 0.966275, 0.001239,
  0.60856, 0.003174, 0.386183, 0.002083} 

{0.328545, 0.124676, 0.521629,  0.02515,
 0.538691, 0.218863, 0.183973, 0.058472,
  0.29254, 0.231183, 0.301395, 0.174881,
 0.222815, 0.296247, 0.266225, 0.214713,
 0.208075, 0.332265,  0.27597, 0.183691,
 0.094046, 0.304958, 0.269078, 0.331918,
  0.22813, 0.284579, 0.269762, 0.217529,
 0.359326, 0.088529, 0.199939, 0.352206,
 0.175515, 0.267906, 0.356675, 0.199905,
 0.255548, 0.221695, 0.279867, 0.242891,
 0.084118, 0.070325, 0.809991, 0.035566,
 0.041032, 0.003029, 0.947901, 0.008039,
 0.030098, 0.001392, 0.954569, 0.013941} 

{0.160395,  0.33963, 0.467383, 0.032592,
 0.501723, 0.050134, 0.419236, 0.028907,
  0.30388, 0.228421, 0.309728, 0.157971,
 0.227923, 0.290403, 0.266191, 0.215483,
 0.207573, 0.339047, 0.273623, 0.179756,
  0.08865, 0.309377, 0.253036, 0.348937,
 0.227897, 0.284121, 0.272532,  0.21545,
 0.343201, 0.155782, 0.191529, 0.309488,
 0.176748, 0.270616, 0.360467,  0.19217,
 0.113832, 0.394761, 0.301273, 0.190133,
 0.097736, 0.110882, 0.651703, 0.139679,
 0.065743, 0.018869, 0.864381, 0.051007,
 0.043335, 0.008296, 0.910374, 0.037995} 

{0.346372, 0.265911, 0.379642, 0.008075,
 0.299874, 0.254741, 0.410458, 0.034927,
 0.300711, 0.226728, 0.310211,  0.16235,
 0.232893, 0.279737, 0.267431,  0.21994,
   0.2099, 0.341025, 0.272474,   0.1766,
 0.097964, 0.284509, 0.265347, 0.352181,
 0.238486, 0.277209,  0.27227, 0.212034,
 0.366287, 0.135726, 0.201942, 0.296045,
  0.17699, 0.267766, 0.362114,  0.19313,
 0.094028, 0.150589, 0.636275, 0.119109,
 0.106695,  0.17744, 0.575208, 0.140656,
 0.070544, 0.076636, 0.629195, 0.223626,
 0.353166,  0.06402, 0.325705, 0.257109} 

{0.391924, 0.216787, 0.257666, 0.133623,
 0.289048, 0.418827, 0.187055, 0.105071,
 0.292779, 0.234408,   0.3129, 0.159913,
 0.237541, 0.278117, 0.266698, 0.217643,
  0.21353, 0.337096, 0.256985, 0.192389,
  0.10356, 0.254748, 0.294114, 0.347579,
 0.234949, 0.275177, 0.273871, 0.216002,
 0.407788, 0.128979, 0.158642, 0.304592,
  0.18118, 0.263885, 0.363432, 0.191503,
 0.071449, 0.199038, 0.374447, 0.355066,
 0.102287, 0.215228, 0.525365,  0.15712,
 0.091332, 0.177148, 0.464421,   0.2671,
 0.296334, 0.452651, 0.080566, 0.170449} 

{0.417211, 0.214494, 0.237959, 0.130336,
 0.575318, 0.135589, 0.240385, 0.048707,
 0.295224, 0.226875, 0.315506, 0.162395,
 0.235772,  0.29301, 0.262501, 0.208717,
 0.209911, 0.338802, 0.251933, 0.199354,
 0.110127, 0.266683, 0.253207, 0.369983,
 0.233128, 0.272464, 0.276334, 0.218075,
 0.366409, 0.149972, 0.150931, 0.332688,
  0.18643, 0.261426, 0.364846, 0.187298,
 0.239577, 0.145204, 0.337913, 0.277307,
 0.040613, 0.179878, 0.620879, 0.158631,
 0.061239, 0.569435, 0.258711, 0.110615,
 0.057493, 0.611195, 0.080914, 0.250398} 

{0.380756, 0.256795, 0.280237, 0.082211,
 0.456688, 0.246126, 0.226914, 0.070272,
 0.310007, 0.226404, 0.306468, 0.157121,
 0.245908, 0.293349, 0.255334, 0.205409,
 0.204195,  0.33132, 0.268439, 0.196046,
 0.095411, 0.248358, 0.213147, 0.443085,
 0.231058, 0.274197, 0.280048, 0.214697,
 0.332768, 0.156275, 0.179285, 0.331672,
 0.183554, 0.258463, 0.370664,  0.18732,
 0.102487, 0.173239, 0.400658, 0.323616,
  0.08263, 0.241589, 0.602467, 0.073314,
 0.131735,  0.47648, 0.363025,  0.02876,
 0.030329, 0.177996, 0.609568, 0.182107} 

{0.376663, 0.226328,  0.36863, 0.028379,
 0.257938, 0.108797, 0.588884,  0.04438,
 0.314542,  0.21349, 0.310221, 0.161747,
  0.25867, 0.279787, 0.254547, 0.206997,
 0.210064, 0.325786,  0.25217,  0.21198,
 0.159305, 0.270496, 0.200873, 0.369326,
 0.229988, 0.272766, 0.286035, 0.211212,
 0.328617, 0.176673, 0.168485, 0.326225,
 0.180499, 0.252915, 0.368814, 0.197772,
 0.196419, 0.135508, 0.480069, 0.188004,
 0.111109, 0.164479, 0.640053,  0.08436,
 0.016164, 0.114935, 0.834872, 0.034029,
 0.004169, 0.262856, 0.716859, 0.016116} 

{0.431703, 0.222706, 0.326303, 0.019289,
 0.115382,  0.07981, 0.779963, 0.024844,
 0.304971, 0.215664, 0.314367, 0.164998,
 0.257953, 0.285127, 0.249371, 0.207549,
  0.21002,  0.32539, 0.253423, 0.211168,
 0.135592, 0.265962,  0.21668, 0.381767,
 0.246887, 0.265189, 0.280767, 0.207157,
 0.324138, 0.178533, 0.171777, 0.325552,
 0.179835, 0.252558, 0.368547,  0.19906,
 0.229505,  0.27225,  0.42285, 0.075395,
 0.116027, 0.164811,  0.64733, 0.071832,
 0.033692,  0.34756, 0.527019, 0.091729,
 0.004176, 0.627628, 0.361034, 0.007163} 

{ 0.24158,  0.20037, 0.542804, 0.015247,
  0.21032, 0.099434, 0.667439, 0.022807,
