45 documents , 1 concepts , 308 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 8, dT 100, I 1000


map[]

===============  per type  ===============
0.0001620796782089587   T=0,K=0:  26499 (0.303) ; 52571 (0.150) ; 73672 (0.132) ; 19268 (0.066) ; 69419 (0.037) ; 2392 (0.034) ; 69469 (0.032) ; 113881 (0.032) ; 34848 (0.025) ; 7245 (0.025) ; 
0.0001154112236923403   T=1,K=0:  26499 (0.305) ; 73672 (0.148) ; 52571 (0.122) ; 19268 (0.063) ; 113881 (0.049) ; 34848 (0.040) ; 2392 (0.036) ; 7245 (0.031) ; 69469 (0.020) ; 19282 (0.020) ; 
0.0010506750832465104   T=2,K=0:  26499 (0.291) ; 52571 (0.153) ; 73672 (0.129) ; 113881 (0.064) ; 34848 (0.057) ; 19268 (0.043) ; 69469 (0.033) ; 2392 (0.030) ; 7245 (0.024) ; 15380 (0.024) ; 
0.004707000292266632   T=3,K=0:  26499 (0.295) ; 34848 (0.123) ; 73672 (0.092) ; 52571 (0.090) ; 69469 (0.059) ; 113881 (0.057) ; 19282 (0.038) ; 2392 (0.034) ; 19268 (0.027) ; 15380 (0.024) ; 
0.014564228362302535   T=4,K=0:  26499 (0.397) ; 34848 (0.127) ; 52571 (0.092) ; 69469 (0.049) ; 73672 (0.043) ; 113881 (0.041) ; 19268 (0.030) ; 2392 (0.025) ; 19282 (0.023) ; 15380 (0.018) ; 
0.01708770200839441   T=5,K=0:  26499 (0.269) ; 52571 (0.165) ; 34848 (0.081) ; 69469 (0.057) ; 73672 (0.054) ; 19282 (0.043) ; 19268 (0.042) ; 113881 (0.041) ; 15380 (0.038) ; 7245 (0.035) ; 
0.027524774899069834   T=6,K=0:  26499 (0.248) ; 52571 (0.240) ; 34848 (0.105) ; 113881 (0.049) ; 15380 (0.036) ; 19268 (0.035) ; 69469 (0.034) ; 19282 (0.031) ; 73672 (0.030) ; 7245 (0.030) ; 
0.013838079743199916   T=7,K=0:  52571 (0.279) ; 26499 (0.238) ; 34848 (0.123) ; 69469 (0.040) ; 73672 (0.038) ; 113881 (0.036) ; 19282 (0.033) ; 19268 (0.026) ; 1199 (0.024) ; 7245 (0.023) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  26499 (0.293) ; 52571 (0.161) ; 34848 (0.085) ; 73672 (0.083) ; 113881 (0.046) ; 19268 (0.042) ; 69469 (0.040) ; 19282 (0.028) ; 2392 (0.027) ; 7245 (0.026) ; 

0.00900847565917474   T=0,K=1:  57460 (0.167) ; 39847 (0.103) ; 111764 (0.079) ; 51647 (0.075) ; 83212 (0.065) ; 34476 (0.052) ; 71308 (0.050) ; 62258 (0.045) ; 57466 (0.033) ; 94365 (0.032) ; 
0.025419413396724534   T=1,K=1:  57460 (0.206) ; 39847 (0.113) ; 51647 (0.084) ; 111764 (0.068) ; 83212 (0.052) ; 34476 (0.048) ; 71308 (0.037) ; 94365 (0.037) ; 62258 (0.033) ; 57466 (0.027) ; 
0.028966993631301296   T=2,K=1:  57460 (0.188) ; 39847 (0.084) ; 51647 (0.076) ; 71308 (0.071) ; 111764 (0.067) ; 83212 (0.049) ; 94365 (0.038) ; 62258 (0.037) ; 34476 (0.028) ; 61245 (0.027) ; 
0.12719509239714216   T=3,K=1:  57460 (0.181) ; 51647 (0.076) ; 71308 (0.075) ; 83212 (0.050) ; 57466 (0.049) ; 39847 (0.046) ; 111764 (0.043) ; 34476 (0.040) ; 22100 (0.037) ; 94365 (0.035) ; 
0.21506147525467506   T=4,K=1:  57460 (0.140) ; 71308 (0.104) ; 22100 (0.085) ; 51647 (0.060) ; 39847 (0.047) ; 34476 (0.045) ; 111764 (0.043) ; 57466 (0.038) ; 83212 (0.032) ; 76157 (0.030) ; 
0.3385061977307821   T=5,K=1:  57460 (0.197) ; 22100 (0.088) ; 71308 (0.077) ; 39847 (0.070) ; 51647 (0.042) ; 111764 (0.040) ; 57466 (0.036) ; 76157 (0.035) ; 34476 (0.034) ; 94365 (0.026) ; 
0.0954874888890437   T=6,K=1:  57460 (0.130) ; 22100 (0.086) ; 76157 (0.074) ; 39847 (0.071) ; 71308 (0.051) ; 111764 (0.050) ; 51647 (0.046) ; 57466 (0.042) ; 34476 (0.033) ; 94365 (0.032) ; 
0.14625356657964375   T=7,K=1:  76157 (0.117) ; 57460 (0.111) ; 39847 (0.107) ; 111764 (0.063) ; 71308 (0.059) ; 22100 (0.057) ; 51647 (0.055) ; 57466 (0.044) ; 94365 (0.033) ; 34476 (0.026) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  57460 (0.165) ; 39847 (0.080) ; 71308 (0.066) ; 51647 (0.064) ; 111764 (0.056) ; 22100 (0.048) ; 83212 (0.039) ; 34476 (0.038) ; 76157 (0.038) ; 57466 (0.037) ; 

0.005828245893936186   T=0,K=2:  59005 (0.218) ; 110639 (0.066) ; 75316 (0.063) ; nlsj9526 (0.063) ; 11229 (0.054) ; 83251 (0.044) ; 61016 (0.041) ; 106566 (0.036) ; 12349 (0.034) ; 61056 (0.031) ; 
0.008734060433609712   T=1,K=2:  59005 (0.186) ; 75316 (0.130) ; 110639 (0.076) ; nlsj9526 (0.046) ; 11229 (0.042) ; 83251 (0.038) ; 51727 (0.032) ; 61016 (0.031) ; 21487 (0.030) ; 70105 (0.029) ; 
0.020171919110031255   T=2,K=2:  59005 (0.174) ; 110639 (0.103) ; 75316 (0.100) ; 70105 (0.042) ; 11229 (0.041) ; 83251 (0.037) ; nlsj9526 (0.034) ; 61056 (0.033) ; 7182 (0.033) ; 61016 (0.032) ; 
0.016099349768776788   T=3,K=2:  110639 (0.131) ; 59005 (0.115) ; 75316 (0.089) ; 70105 (0.056) ; 8909 (0.041) ; 11229 (0.038) ; 61056 (0.037) ; 61016 (0.037) ; 72275 (0.033) ; 83251 (0.032) ; 
0.05680165969231908   T=4,K=2:  110639 (0.112) ; 59005 (0.108) ; 75316 (0.068) ; 8909 (0.066) ; 70105 (0.056) ; 72275 (0.051) ; 11229 (0.037) ; 61056 (0.033) ; 7182 (0.032) ; 51727 (0.030) ; 
0.037819868731576875   T=5,K=2:  59005 (0.128) ; 75316 (0.122) ; 110639 (0.095) ; 70105 (0.085) ; 8909 (0.069) ; 7182 (0.036) ; 72275 (0.035) ; 11229 (0.028) ; nlsj9526 (0.024) ; 21487 (0.024) ; 
0.011267759183425177   T=6,K=2:  110639 (0.144) ; 70105 (0.126) ; 59005 (0.115) ; 75316 (0.092) ; 8909 (0.058) ; 7182 (0.033) ; 61016 (0.029) ; 436 (0.029) ; 72275 (0.028) ; nlsj9526 (0.024) ; 
0.01707633975735604   T=7,K=2:  70105 (0.161) ; 75316 (0.105) ; 59005 (0.094) ; 8909 (0.092) ; 110639 (0.066) ; 61016 (0.038) ; 7182 (0.036) ; 11229 (0.034) ; 436 (0.025) ; 12349 (0.024) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  59005 (0.142) ; 110639 (0.099) ; 75316 (0.096) ; 70105 (0.072) ; 8909 (0.049) ; 11229 (0.037) ; nlsj9526 (0.032) ; 61016 (0.032) ; 7182 (0.030) ; 83251 (0.029) ; 

0.06247533989106061   T=0,K=3:  70495 (0.146) ; 83174 (0.084) ; 15609 (0.059) ; 38966 (0.053) ; nlsj76740 (0.053) ; 111764 (0.048) ; 14362 (0.037) ; 23283 (0.029) ; 75595 (0.028) ; 106676 (0.028) ; 
0.11972895059648174   T=1,K=3:  70495 (0.129) ; 83174 (0.067) ; 23283 (0.053) ; 15609 (0.048) ; nlsj76740 (0.046) ; 14362 (0.045) ; nlsj79694 (0.041) ; 38966 (0.041) ; 111764 (0.034) ; 97266 (0.030) ; 
0.12020163544652437   T=2,K=3:  70495 (0.113) ; 23283 (0.066) ; 15609 (0.062) ; 83174 (0.051) ; nlsj79694 (0.050) ; 38966 (0.044) ; 14362 (0.038) ; 75263 (0.035) ; nlsj76740 (0.033) ; 106676 (0.030) ; 
0.1046088054002182   T=3,K=3:  70495 (0.136) ; 83174 (0.081) ; 23283 (0.054) ; 15609 (0.046) ; 74126 (0.042) ; 14362 (0.040) ; nlsj79694 (0.039) ; 97266 (0.037) ; 111764 (0.035) ; nlsj76740 (0.035) ; 
0.1753394008928823   T=4,K=3:  70495 (0.121) ; 23283 (0.061) ; 83174 (0.057) ; nlsj76740 (0.053) ; 15609 (0.050) ; 111764 (0.049) ; 14362 (0.045) ; 74126 (0.039) ; 63550 (0.034) ; 97266 (0.033) ; 
0.1340396937810986   T=5,K=3:  23283 (0.077) ; 70495 (0.067) ; 83174 (0.054) ; 97266 (0.050) ; 111764 (0.049) ; 63550 (0.044) ; nlsj76740 (0.044) ; 14362 (0.043) ; 74126 (0.041) ; 2392 (0.039) ; 
0.07942455055892166   T=6,K=3:  97266 (0.076) ; 70495 (0.064) ; 74126 (0.058) ; 111764 (0.050) ; 23283 (0.049) ; 15609 (0.045) ; nlsj76740 (0.044) ; 38966 (0.043) ; 2392 (0.041) ; nlsj79694 (0.035) ; 
