2392 documents , 1 concepts , 4562 context features (nlsj76838) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 10


map[]

===============  per type  ===============
0.1348281499426007   T=0,K=0:  22209 (0.063) ;  (0.044) ; nlsj76838 (0.029) ; 84234 (0.027) ; 61056 (0.025) ; 103922 (0.024) ; 98894 (0.022) ; 45996 (0.020) ; 21920 (0.018) ; 16051 (0.016) ; 
0.1621176534559055   T=1,K=0:  22209 (0.095) ; 103922 (0.042) ;  (0.040) ; 61056 (0.031) ; nlsj76838 (0.031) ; 84234 (0.021) ; 114548 (0.017) ; 48291 (0.014) ; 22825 (0.014) ; 16051 (0.014) ; 
0.08576098031496542   T=2,K=0:  103922 (0.089) ; 22209 (0.071) ; 84234 (0.062) ;  (0.040) ; 61056 (0.022) ; 16051 (0.022) ; nlsj76838 (0.018) ; 22825 (0.016) ; 62204 (0.014) ; 84505 (0.012) ; 
0.10722423868499785   T=3,K=0:  84234 (0.044) ; 22209 (0.037) ; 103922 (0.032) ;  (0.025) ; 16051 (0.018) ; 45996 (0.018) ; 90504 (0.017) ; nlsj76838 (0.014) ; 84505 (0.013) ; 61056 (0.013) ; 
0.09214983503953547   T=4,K=0:  84234 (0.019) ; 22209 (0.018) ; 110639 (0.016) ; 103922 (0.014) ;  (0.013) ; 90504 (0.011) ; 84494 (0.010) ; 22825 (0.009) ; 16051 (0.009) ; 45996 (0.009) ; 
0.08106097744538927   T=5,K=0:  110639 (0.028) ; 22209 (0.020) ; 84234 (0.020) ; 62204 (0.010) ; 51849 (0.010) ; 112720 (0.008) ; 90504 (0.008) ; 45996 (0.008) ; 8665 (0.007) ; 61056 (0.007) ; 
0.14320556745956145   T=6,K=0:  110639 (0.026) ; 84234 (0.018) ; 22209 (0.017) ; 22825 (0.013) ; 51849 (0.011) ; 62204 (0.010) ; nlsj76838 (0.009) ; 61056 (0.009) ; 84505 (0.008) ; 102000 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  22209 (0.046) ; 103922 (0.031) ; 84234 (0.030) ;  (0.025) ; 61056 (0.017) ; nlsj76838 (0.016) ; 110639 (0.015) ; 16051 (0.013) ; 22825 (0.012) ; 45996 (0.012) ; 

0.1258201310823518   T=0,K=1:  45996 (0.072) ; 22209 (0.064) ; 24436 (0.029) ; 63772 (0.015) ; 110639 (0.013) ; 114615 (0.013) ; 20621 (0.011) ; 61072 (0.010) ; 84494 (0.010) ;  (0.009) ; 
0.06255562432543126   T=1,K=1:  45996 (0.075) ; 22209 (0.034) ; 56496 (0.015) ; 24436 (0.015) ; 84494 (0.014) ; 84234 (0.014) ; 63772 (0.013) ; 61791 (0.010) ; 110639 (0.010) ; 85306 (0.010) ; 
0.10317721299058735   T=2,K=1:  45996 (0.033) ; 22209 (0.026) ; 84234 (0.016) ; 84494 (0.016) ; 24436 (0.013) ; 110639 (0.012) ; 61791 (0.012) ; 63772 (0.011) ; 26447 (0.011) ; 114615 (0.010) ; 
0.12003764313979669   T=3,K=1:  45996 (0.022) ; 84234 (0.021) ;  (0.016) ; 26886 (0.011) ; 84494 (0.011) ; 63772 (0.010) ; 85306 (0.010) ; 48291 (0.009) ; 70958 (0.009) ; 110639 (0.009) ; 
0.08746120267418592   T=4,K=1:   (0.048) ; 45996 (0.017) ; 26943 (0.013) ; 84234 (0.012) ; 80042 (0.012) ; 103922 (0.010) ; 63772 (0.010) ; 90504 (0.009) ; 70958 (0.008) ; 22825 (0.008) ; 
0.10104945184475272   T=5,K=1:   (0.015) ; 45996 (0.012) ; 103922 (0.012) ; 80042 (0.012) ; 51849 (0.011) ; 26943 (0.010) ; 26886 (0.010) ; 22825 (0.009) ; 90504 (0.009) ; 85306 (0.008) ; 
0.19573989563527472   T=6,K=1:  22825 (0.017) ; 45996 (0.016) ; 51849 (0.015) ; 103922 (0.014) ;  (0.013) ; 8665 (0.011) ; 90504 (0.011) ; 26943 (0.010) ; 85306 (0.009) ; 114753 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  45996 (0.035) ; 22209 (0.021) ;  (0.017) ; 84234 (0.013) ; 24436 (0.010) ; 63772 (0.010) ; 84494 (0.009) ; 103922 (0.009) ; 26943 (0.009) ; 22825 (0.009) ; 

0.2121203153653595   T=0,K=2:  84234 (0.056) ; 22209 (0.037) ; 84494 (0.021) ; 26447 (0.018) ; nlsj76838 (0.015) ; 56393 (0.014) ; 62204 (0.012) ;  (0.011) ; 58429 (0.011) ; 24292 (0.010) ; 
