464 documents , 1 concepts , 1900 context features (59339) 
kappaF 100.000000, kappaK 2.000000, a0 1.000000, b0 1.000000, K 12, max_docs_per_slice 2000, start -700, end 142, times 9, dT 100, I 10000


map[]

===============  per type  ===============
0.0015071868207920474   T=0,K=0:  59295 (0.051) ; 89676 (0.034) ; 93634 (0.027) ; 22209 (0.026) ; 72254 (0.021) ; 73277 (0.020) ; 46892 (0.018) ; nlsj11071 (0.016) ; 75954 (0.013) ; 45996 (0.012) ; 
0.002678242341769411   T=1,K=0:  59295 (0.048) ; 89676 (0.036) ; 22209 (0.030) ; 93634 (0.024) ; 72254 (0.020) ; 46892 (0.019) ; 73277 (0.017) ; nlsj11071 (0.015) ; 102669 (0.013) ; 75954 (0.013) ; 
0.060197802850691935   T=2,K=0:  59295 (0.043) ; 89676 (0.035) ; 22209 (0.030) ; 93634 (0.020) ; 46892 (0.019) ; 72254 (0.018) ; 73277 (0.017) ; nlsj11071 (0.015) ; 75954 (0.014) ; 22100 (0.013) ; 
0.16835628321173984   T=3,K=0:  59295 (0.042) ; 89676 (0.035) ; 22209 (0.026) ; 46892 (0.020) ; 93634 (0.019) ; 72254 (0.018) ; 73277 (0.017) ; 75954 (0.015) ; nlsj11071 (0.013) ; 102669 (0.013) ; 
0.4102282915691427   T=4,K=0:  59295 (0.040) ; 89676 (0.034) ; 22209 (0.024) ; 93634 (0.020) ; 46892 (0.019) ; 73277 (0.018) ; 75954 (0.016) ; 72254 (0.015) ; nlsj11071 (0.014) ; 22100 (0.013) ; 
0.11617104903846474   T=5,K=0:  89676 (0.033) ; 59295 (0.032) ; 22209 (0.027) ; 93634 (0.025) ; 46892 (0.018) ; 75954 (0.016) ; 73277 (0.015) ; nlsj11071 (0.015) ; 72254 (0.015) ; 22100 (0.014) ; 
0.13654993103847188   T=6,K=0:  59295 (0.032) ; 89676 (0.030) ; 22209 (0.026) ; 93634 (0.023) ; 46892 (0.020) ; nlsj11071 (0.016) ; 75954 (0.015) ; 22100 (0.015) ; 72254 (0.013) ; 73277 (0.013) ; 
0.05433115909748626   T=7,K=0:  22209 (0.031) ; 59295 (0.028) ; 89676 (0.027) ; 46892 (0.023) ; 93634 (0.023) ; 22100 (0.016) ; nlsj11071 (0.014) ; 75954 (0.014) ; 45996 (0.013) ; 73277 (0.012) ; 
0.08359011784892362   T=8,K=0:  22209 (0.036) ; 59295 (0.025) ; 89676 (0.025) ; 93634 (0.023) ; 46892 (0.022) ; 22100 (0.017) ; nlsj11071 (0.015) ; 73277 (0.015) ; 75954 (0.013) ; 45996 (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  59295 (0.038) ; 89676 (0.032) ; 22209 (0.028) ; 93634 (0.023) ; 46892 (0.020) ; 73277 (0.016) ; 72254 (0.016) ; nlsj11071 (0.015) ; 75954 (0.014) ; 22100 (0.013) ; 

0.03161895837476051   T=0,K=1:  114816 (0.024) ; 114548 (0.022) ; 8909 (0.018) ; 84234 (0.018) ; 72202 (0.018) ; 88870 (0.017) ; 18298 (0.017) ; 45996 (0.016) ; 19546 (0.016) ; 50451 (0.016) ; 
0.10923060528257053   T=1,K=1:  114816 (0.023) ; 84234 (0.019) ; 45996 (0.018) ; 88870 (0.018) ; 72202 (0.018) ; 114548 (0.018) ; 18298 (0.016) ; 8909 (0.016) ; 83774 (0.016) ; 50451 (0.015) ; 
0.12252428011842117   T=2,K=1:  114816 (0.025) ; 84234 (0.020) ; 45996 (0.019) ; 88870 (0.019) ; 8909 (0.018) ; 83774 (0.017) ; 114548 (0.017) ; 18298 (0.016) ; 72202 (0.015) ; 78757 (0.015) ; 
0.04191598606949626   T=3,K=1:  114816 (0.026) ; 84234 (0.021) ; 88870 (0.019) ; 45996 (0.018) ; 83774 (0.017) ; 78757 (0.017) ; 18298 (0.017) ; 8909 (0.016) ; 114548 (0.016) ; 98584 (0.015) ; 
