2176 documents , 1 concepts , 4824 context features (112720) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.08187070363739075   T=0,K=0:  42890 (0.002) ; 5112 (0.001) ; 111700 (0.001) ; 4470 (0.001) ; 111728 (0.001) ; 95849 (0.001) ; 106197 (0.001) ; nlsj4709 (0.001) ; 86371 (0.001) ; 98894 (0.001) ; 
0.03832807359570015   T=1,K=0:  106197 (0.002) ; 45996 (0.002) ; 22209 (0.002) ; 98894 (0.002) ; 51358 (0.002) ; nlsj177 (0.002) ; 110639 (0.001) ; 43598 (0.001) ; 6325 (0.001) ; 103701 (0.001) ; 
0.06244773075195114   T=2,K=0:  106197 (0.011) ; 45996 (0.007) ; 22209 (0.006) ; 103701 (0.006) ; 110639 (0.004) ; 51358 (0.004) ; 43598 (0.003) ; 6325 (0.003) ; 112794 (0.003) ; 85306 (0.003) ; 
0.07538544730628799   T=3,K=0:  22209 (0.028) ; 106197 (0.016) ; 45996 (0.016) ; 85306 (0.014) ; 6325 (0.007) ; 110639 (0.007) ;  (0.006) ; 22210 (0.004) ; 103701 (0.004) ; 51358 (0.004) ; 
0.09594951142372377   T=4,K=0:  22209 (0.047) ; 45996 (0.034) ; 85306 (0.023) ; 15893 (0.019) ; 62204 (0.016) ;  (0.014) ; 8865 (0.011) ; 6325 (0.009) ; 61791 (0.008) ; 98234 (0.008) ; 
0.13854057358374686   T=5,K=0:  22209 (0.032) ; 15893 (0.019) ; 62204 (0.016) ;  (0.015) ; 45996 (0.014) ; 104355 (0.013) ; 85306 (0.010) ; 110639 (0.008) ; 65552 (0.007) ; 86112 (0.006) ; 
0.17039112938330372   T=6,K=0:  22209 (0.037) ; 45996 (0.020) ; 85306 (0.018) ;  (0.016) ; 62204 (0.015) ; 65552 (0.014) ; 15893 (0.013) ; 43206 (0.009) ; 104355 (0.009) ; 86112 (0.007) ; 
0.10249129772096462   T=7,K=0:  45996 (0.041) ;  (0.033) ; 22209 (0.026) ; 85306 (0.021) ; 65552 (0.013) ; 104355 (0.012) ; 43206 (0.012) ; 62204 (0.011) ; 84234 (0.011) ; 63772 (0.010) ; 
0.10924015683634533   T=8,K=0:   (0.064) ; 45996 (0.050) ; 63772 (0.021) ; 84234 (0.019) ; 65552 (0.018) ; 22209 (0.017) ; 85306 (0.016) ; 102000 (0.015) ; 73277 (0.014) ; 31161 (0.014) ; 
0.12853269904317663   T=9,K=0:   (0.030) ; 85306 (0.029) ; 45996 (0.029) ; 73277 (0.022) ; 8909 (0.018) ; 84234 (0.018) ; 112720 (0.018) ; 102000 (0.017) ; 63772 (0.013) ; 28566 (0.012) ; 
0.0992997173529861   T=10,K=0:  112720 (0.065) ; 73277 (0.037) ; 85306 (0.016) ; 110598 (0.010) ; 76029 (0.008) ; 45996 (0.008) ; 48051 (0.008) ;  (0.007) ; 114548 (0.007) ; 63772 (0.007) ; 
0.07007302620086213   T=11,K=0:  112720 (0.036) ; 73277 (0.013) ; 85306 (0.013) ; 48051 (0.008) ; 110598 (0.008) ; 63772 (0.006) ; 114548 (0.006) ; 76029 (0.006) ; 6339 (0.006) ; 45996 (0.005) ; 
0.06669975236681067   T=12,K=0:  112720 (0.031) ; 85306 (0.013) ; 73277 (0.012) ; 48051 (0.012) ; 110598 (0.009) ; 6339 (0.008) ; 72254 (0.007) ; 58429 (0.006) ; 70910 (0.006) ; 110114 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  45996 (0.018) ; 22209 (0.016) ;  (0.015) ; 85306 (0.014) ; 112720 (0.013) ; 73277 (0.008) ; 62204 (0.006) ; 63772 (0.006) ; 15893 (0.005) ; 84234 (0.005) ; 

0.03453090863516998   T=0,K=1:  3436 (0.001) ; 27261 (0.001) ; 30700 (0.001) ; 47745 (0.001) ; 21904 (0.001) ; 75595 (0.001) ; 69336 (0.001) ; 28569 (0.001) ; 28566 (0.001) ; 69100 (0.001) ; 
0.0314025650185015   T=1,K=1:  28566 (0.002) ; 30700 (0.002) ; 84234 (0.002) ; 27261 (0.002) ; 112720 (0.001) ; 25003 (0.001) ; 114615 (0.001) ; 28569 (0.001) ; 16171 (0.001) ; 43060 (0.001) ; 
0.03853243386870823   T=2,K=1:  84234 (0.005) ; 28566 (0.003) ; 8909 (0.003) ; 112720 (0.003) ; 75552 (0.003) ;  (0.002) ; 63772 (0.002) ; 28569 (0.002) ; 110639 (0.001) ; 114615 (0.001) ; 
0.07282327080509154   T=3,K=1:  75552 (0.011) ; 84234 (0.010) ; 8909 (0.010) ; 16051 (0.006) ; nlsj32160 (0.006) ; 63772 (0.005) ; 66342 (0.005) ; 105829 (0.004) ; 110639 (0.004) ; 65552 (0.004) ; 
0.1035017664603672   T=4,K=1:  84234 (0.034) ; 8909 (0.026) ; nlsj32160 (0.018) ; 63772 (0.017) ; 16051 (0.015) ; 110639 (0.014) ; 66342 (0.013) ; 21920 (0.010) ; 105829 (0.009) ; 22209 (0.009) ; 
0.09813732063450356   T=5,K=1:  84234 (0.026) ; 8909 (0.020) ; nlsj32160 (0.017) ; 63772 (0.014) ; 22209 (0.012) ; 8665 (0.008) ; 105829 (0.007) ; 45996 (0.006) ; 65552 (0.005) ; 110639 (0.005) ; 
0.047659471172175866   T=6,K=1:  84234 (0.025) ; 22209 (0.021) ; 45996 (0.019) ; 8909 (0.018) ; 105829 (0.014) ; 63772 (0.013) ; nlsj32160 (0.011) ; 62204 (0.011) ; 85306 (0.011) ; 102000 (0.010) ; 
0.12726231290880505   T=7,K=1:  45996 (0.032) ; 22209 (0.026) ; 85306 (0.022) ; 62204 (0.020) ; 102000 (0.018) ; 110114 (0.018) ; 8909 (0.018) ; 63772 (0.013) ;  (0.012) ; 84234 (0.010) ; 
0.12113577702109787   T=8,K=1:  45996 (0.076) ; 85306 (0.041) ; 102000 (0.041) ; 22209 (0.039) ; 8909 (0.036) ; 63772 (0.027) ;  (0.026) ; 86112 (0.022) ; 110598 (0.017) ; 15893 (0.013) ; 
0.08969826595190092   T=9,K=1:  8909 (0.036) ;  (0.032) ; 45996 (0.030) ; 102000 (0.030) ; 48291 (0.026) ; 22209 (0.026) ; 28569 (0.018) ; 61791 (0.016) ; 112720 (0.016) ; 15893 (0.015) ; 
0.12211056907728111   T=10,K=1:  8909 (0.043) ; 102000 (0.021) ; 22209 (0.016) ; 260 (0.013) ; 115887 (0.012) ; 15893 (0.011) ; nlsj61372 (0.010) ; 110639 (0.009) ; 48291 (0.008) ; 62204 (0.008) ; 
0.14995099696787403   T=11,K=1:  8909 (0.017) ; 22209 (0.009) ; 31236 (0.006) ; 260 (0.006) ; 115887 (0.006) ; 15893 (0.006) ; nlsj76838 (0.005) ; 102000 (0.005) ; 48291 (0.005) ; 114548 (0.005) ; 
0.12673652859587917   T=12,K=1:  8909 (0.018) ; 22209 (0.017) ; 28569 (0.008) ; 15893 (0.006) ; 62204 (0.006) ; 31236 (0.005) ; 48291 (0.005) ; 115887 (0.004) ; 102000 (0.004) ; 260 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  8909 (0.019) ; 45996 (0.014) ; 22209 (0.014) ; 102000 (0.010) ; 84234 (0.009) ; 63772 (0.008) ;  (0.007) ; 85306 (0.007) ; 62204 (0.006) ; 48291 (0.005) ; 

