756 documents , 1 concepts , 2613 context features (59339) 
kappaF 100.000000, kappaK 2.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -700, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.43832047679781067   T=0,K=0:  59295 (0.013) ; 45996 (0.011) ; 102000 (0.009) ; 85306 (0.009) ; 23069 (0.007) ; 29883 (0.007) ; 72627 (0.007) ; 43206 (0.007) ; 112720 (0.007) ; 73277 (0.007) ; 
0.9897709174966032   T=1,K=0:  59295 (0.016) ; 45996 (0.010) ; 85306 (0.009) ; 102000 (0.008) ; 72627 (0.007) ; 23069 (0.007) ; 73277 (0.007) ; 29883 (0.007) ; 93634 (0.006) ; 43206 (0.006) ; 
0.010134140104075819   T=2,K=0:  59295 (0.017) ; 102000 (0.009) ; 45996 (0.009) ; 85306 (0.008) ; 112720 (0.007) ; 73277 (0.007) ; 23069 (0.007) ; 72627 (0.007) ; 43206 (0.006) ; 75954 (0.006) ; 
0.982309582264004   T=3,K=0:  59295 (0.016) ; 102000 (0.010) ; 73277 (0.008) ; 85306 (0.008) ; 112720 (0.008) ; 45996 (0.007) ; 23069 (0.007) ; 75954 (0.006) ; 93634 (0.006) ; 72627 (0.006) ; 
0.9072221045414135   T=4,K=0:  59295 (0.014) ; 102000 (0.009) ; 85306 (0.009) ; 23069 (0.008) ; 73277 (0.008) ; 112720 (0.008) ; 75954 (0.007) ; 45996 (0.007) ; 93634 (0.006) ; 48291 (0.006) ; 
0.8365109546328067   T=5,K=0:  59295 (0.012) ; 112720 (0.009) ; 102000 (0.009) ; 85306 (0.009) ; 23069 (0.009) ; 73277 (0.009) ; 45996 (0.007) ; 93634 (0.006) ; 48291 (0.006) ; 75954 (0.006) ; 
0.05115455258384807   T=6,K=0:  73277 (0.011) ; 102000 (0.010) ; 59295 (0.009) ; 85306 (0.009) ; 23069 (0.008) ; 112720 (0.008) ; 75954 (0.006) ; 45996 (0.006) ; 93634 (0.006) ; 18107 (0.006) ; 
0.7994291118661395   T=7,K=0:  73277 (0.011) ; 102000 (0.010) ; 23069 (0.009) ; 112720 (0.009) ; 85306 (0.008) ; 59295 (0.008) ; 75954 (0.006) ; 18107 (0.006) ; 93634 (0.006) ; 45996 (0.006) ; 
0.8075573457893982   T=8,K=0:  102000 (0.010) ; 73277 (0.010) ; 112720 (0.009) ; 23069 (0.008) ; 75954 (0.008) ; 85306 (0.007) ; 59295 (0.007) ; 48291 (0.006) ; 93634 (0.006) ; 18107 (0.006) ; 
0.3544491202321963   T=9,K=0:  102000 (0.011) ; 73277 (0.010) ; 112720 (0.009) ; 23069 (0.008) ; 75954 (0.007) ; 59295 (0.006) ; 48291 (0.006) ; 85306 (0.006) ; 45996 (0.006) ; 93634 (0.006) ; 
0.2305488917914645   T=10,K=0:  73277 (0.011) ; 102000 (0.010) ; 112720 (0.008) ; 23069 (0.008) ; 75954 (0.008) ; 59295 (0.007) ; 45996 (0.007) ; 48291 (0.006) ; 58429 (0.006) ; 93634 (0.006) ; 
0.0031286361526218285   T=11,K=0:  102000 (0.011) ; 73277 (0.010) ; 75954 (0.009) ; 112720 (0.008) ; 59295 (0.008) ; 23069 (0.007) ; 45996 (0.007) ; 48291 (0.006) ; 85306 (0.006) ; 58429 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  59295 (0.011) ; 102000 (0.010) ; 73277 (0.009) ; 112720 (0.008) ; 23069 (0.008) ; 85306 (0.008) ; 45996 (0.007) ; 75954 (0.007) ; 93634 (0.006) ; 48291 (0.006) ; 

0.08799647356422007   T=0,K=1:  84494 (0.011) ; 84234 (0.010) ; 22100 (0.008) ; 65552 (0.008) ; 8909 (0.008) ; 72627 (0.007) ; 45996 (0.007) ; 22209 (0.007) ; 48291 (0.006) ; 62204 (0.006) ; 
0.009842643367204843   T=1,K=1:  84494 (0.010) ; 72627 (0.009) ; 84234 (0.009) ; 45996 (0.008) ; 22100 (0.008) ; 8909 (0.007) ; 48291 (0.007) ; 62204 (0.006) ; 65552 (0.006) ; 73277 (0.006) ; 
0.3288474995296898   T=2,K=1:  84494 (0.010) ; 45996 (0.009) ; 72627 (0.009) ; 84234 (0.008) ; 22100 (0.008) ; 48291 (0.007) ; 8909 (0.007) ; 62204 (0.007) ; 114816 (0.006) ; 65552 (0.006) ; 
0.004378174001471275   T=3,K=1:  84494 (0.011) ; 72627 (0.009) ; 45996 (0.008) ; 22100 (0.008) ; 48291 (0.007) ; 8909 (0.007) ; 62204 (0.007) ; 84234 (0.007) ; 61791 (0.006) ; 22209 (0.006) ; 
0.00011661551343337396   T=4,K=1:  84494 (0.011) ; 72627 (0.009) ; 45996 (0.008) ; 22100 (0.008) ; 48291 (0.008) ; 22209 (0.007) ; 62204 (0.007) ; 84234 (0.007) ; 8909 (0.006) ; 65552 (0.006) ; 
0.042570554726696415   T=5,K=1:  84494 (0.011) ; 22209 (0.009) ; 45996 (0.009) ; 22100 (0.009) ; 72627 (0.008) ; 62204 (0.007) ; 48291 (0.007) ; 84234 (0.007) ; 65552 (0.007) ; 8909 (0.006) ; 
0.24850304270050602   T=6,K=1:  84494 (0.011) ; 45996 (0.009) ; 22209 (0.009) ; 72627 (0.009) ; 22100 (0.008) ; 62204 (0.007) ; 84234 (0.007) ; 48291 (0.007) ; 65552 (0.007) ; 8909 (0.006) ; 
0.0629497417878442   T=7,K=1:  84494 (0.012) ; 22209 (0.009) ; 72627 (0.009) ; 45996 (0.009) ; 22100 (0.009) ; nlsj61372 (0.007) ; 63772 (0.007) ; 84234 (0.006) ; 62204 (0.006) ; 48291 (0.006) ; 
0.004780721227118196   T=8,K=1:  45996 (0.010) ; 72627 (0.010) ; 84494 (0.010) ; 22100 (0.009) ; 22209 (0.009) ; nlsj61372 (0.007) ; 84234 (0.006) ; 65552 (0.006) ; 8909 (0.006) ; 48291 (0.006) ; 
0.517671200288139   T=9,K=1:  45996 (0.012) ; 84494 (0.010) ; 22100 (0.009) ; 72627 (0.009) ; 22209 (0.007) ; 48291 (0.007) ; nlsj61372 (0.007) ; 75552 (0.006) ; 62204 (0.006) ; 84234 (0.006) ; 
