473 documents , 1 concepts , 1928 context features (κόσμος) 
kappaF 100.000000, kappaK 2.000000, a0 1.000000, b0 1.000000, K 12, max_docs_per_slice 2000, start -700, end 150, times 9, dT 100, I 10000


map[]

===============  per type  ===============
0.21519425205672382   T=0,K=0:  φανότης (0.020) ; λέγω (0.020) ; εἶπον (0.015) ; πατήρ (0.015) ; εὐθύς (0.014) ; ἴδιος (0.014) ; ταυτός (0.013) ; ἥλιος (0.013) ; ἄνθρωπος (0.012) ; τίθημι (0.012) ; 
0.17751819128292273   T=1,K=0:  λέγω (0.022) ; φανότης (0.020) ; εἶπον (0.015) ; πατήρ (0.014) ; εὐθύς (0.014) ; γῆ (0.014) ; ἥλιος (0.014) ; σελήνη (0.013) ; ταυτός (0.013) ; ἴδιος (0.013) ; 
0.1373508457166383   T=2,K=0:  λέγω (0.023) ; φανότης (0.020) ; γῆ (0.015) ; ἥλιος (0.015) ; ταυτός (0.015) ; εἶπον (0.014) ; ἄξων (0.014) ; πατήρ (0.013) ; ἄνθρωπος (0.013) ; σελήνη (0.013) ; 
0.11970825409852288   T=3,K=0:  λέγω (0.024) ; φανότης (0.018) ; ἥλιος (0.016) ; εἶπον (0.015) ; ταυτός (0.015) ; γῆ (0.014) ; λάπτω (0.014) ; εὐθύς (0.013) ; μεταβαίνω (0.013) ; πατήρ (0.013) ; 
0.09801910247627833   T=4,K=0:  λέγω (0.021) ; ἥλιος (0.017) ; φανότης (0.016) ; λάπτω (0.015) ; γῆ (0.014) ; ταυτός (0.014) ; εἶπον (0.014) ; τίθημι (0.013) ; ἴδιος (0.013) ; πατήρ (0.013) ; 
0.08134561181159164   T=5,K=0:  λέγω (0.021) ; φανότης (0.018) ; ἥλιος (0.017) ; ταυτός (0.014) ; εὐθύς (0.014) ; λάπτω (0.014) ; εἶπον (0.014) ; τίθημι (0.013) ; πατήρ (0.013) ; ἄνθρωπος (0.012) ; 
0.07152554232778684   T=6,K=0:  ἥλιος (0.018) ; λέγω (0.018) ; φανότης (0.016) ; λάπτω (0.014) ; ταυτός (0.014) ; εἶπον (0.013) ; γῆ (0.013) ; εὐθύς (0.013) ; ἄνθρωπος (0.012) ; ἀποφαίνω (0.011) ; 
0.09528840334451968   T=7,K=0:  ἥλιος (0.019) ; λέγω (0.018) ; λάπτω (0.016) ; γῆ (0.016) ; εὐθύς (0.015) ; φανότης (0.015) ; εἶπον (0.015) ; ταυτός (0.014) ; ἀποφαίνω (0.012) ; τίθημι (0.012) ; 
0.09412906363651925   T=8,K=0:  ἥλιος (0.019) ; φανότης (0.018) ; γῆ (0.017) ; λάπτω (0.016) ; λέγω (0.016) ; εὐθύς (0.014) ; εἶπον (0.014) ; ταυτός (0.013) ; τίθημι (0.013) ; ἀποφαίνω (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  λέγω (0.020) ; φανότης (0.018) ; ἥλιος (0.016) ; εἶπον (0.014) ; γῆ (0.014) ; ταυτός (0.014) ; εὐθύς (0.013) ; λάπτω (0.013) ; πατήρ (0.012) ; τίθημι (0.012) ; 

0.08667555771684785   T=0,K=1:  πρότερος (0.045) ; θεός (0.025) ; ἐκλέγω (0.022) ; ἥμερος (0.022) ; ἀναλαμβάνω (0.017) ; ἡγέομαι (0.015) ; ξένος (0.015) ; γίγνομαι (0.014) ; λόγος (0.013) ; συγγεννάω (0.013) ; 
0.05447546695314695   T=1,K=1:  πρότερος (0.049) ; θεός (0.025) ; ἥμερος (0.023) ; ἐκλέγω (0.020) ; ἡγέομαι (0.016) ; γίγνομαι (0.015) ; ἀναλαμβάνω (0.015) ; λόγος (0.014) ; ξένος (0.013) ; καταισχύνω (0.013) ; 
0.09607134475351853   T=2,K=1:  πρότερος (0.051) ; θεός (0.026) ; ἥμερος (0.019) ; ἐκλέγω (0.019) ; γίγνομαι (0.015) ; ἡγέομαι (0.015) ; ξένος (0.014) ; ἀναλαμβάνω (0.014) ; λόγος (0.013) ; παρέχω (0.012) ; 
0.10269182636914613   T=3,K=1:  πρότερος (0.048) ; θεός (0.028) ; ἐκλέγω (0.019) ; γίγνομαι (0.018) ; ἥμερος (0.018) ; ἀναλαμβάνω (0.013) ; ξένος (0.013) ; λόγος (0.013) ; καταισχύνω (0.013) ; ἡγέομαι (0.013) ; 
0.0721609725005167   T=4,K=1:  πρότερος (0.050) ; θεός (0.029) ; γίγνομαι (0.017) ; ἐκλέγω (0.016) ; ἥμερος (0.016) ; ξένος (0.013) ; ἀναλαμβάνω (0.013) ; καταισχύνω (0.012) ; ταυτός (0.012) ; ἡγέομαι (0.011) ; 
