dubius : 944 documents
=================
 32 dubius 
==================

944 documents , 1 concepts , 3598 context features (dubius) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -2, end 21, times 8, dT 3, I 1500


map[]


...ready to estimate
{0.286062, 0.175551,  0.23075, 0.307637,
  0.28208, 0.305315, 0.173783, 0.238822,
 0.239516, 0.225515,  0.21712, 0.317849,
 0.263458, 0.154565, 0.214078, 0.367898,
 0.247264, 0.299238, 0.240687, 0.212811,
 0.430182, 0.316087, 0.114873, 0.138858,
 0.321708, 0.345941, 0.170233, 0.162118,
 0.108765, 0.257105, 0.287358, 0.346772} 

{0.283028, 0.181902, 0.216659, 0.318411,
 0.282897, 0.296528, 0.171981, 0.248594,
 0.231452, 0.224734, 0.223449, 0.320365,
 0.287057, 0.172494, 0.229521, 0.310928,
 0.249922, 0.299074, 0.231118, 0.219886,
 0.484128, 0.287626, 0.088792, 0.139455,
 0.332964, 0.312773, 0.194318, 0.159945,
 0.085746, 0.270002,  0.29287, 0.351382} 

{0.283982, 0.180868, 0.214865, 0.320285,
 0.283044, 0.299348, 0.169929, 0.247679,
 0.229917, 0.225578, 0.227061, 0.317444,
 0.282962, 0.130115, 0.228743,  0.35818,
 0.238509, 0.301794, 0.235615, 0.224082,
 0.440013, 0.295835, 0.092561, 0.171591,
 0.275798, 0.320928, 0.221849, 0.181424,
 0.087497, 0.270518, 0.314404, 0.327581} 

{0.284822, 0.175045, 0.217998, 0.322135,
 0.280816, 0.303076, 0.166033, 0.250075,
 0.236594, 0.232025, 0.220168, 0.311213,
 0.217241,  0.12696, 0.237946, 0.417853,
 0.253625, 0.294232, 0.248437, 0.203706,
 0.424461,  0.28728, 0.126528, 0.161732,
 0.277464, 0.326871,  0.21747, 0.178195,
 0.086573, 0.281303, 0.312087, 0.320038} 

{0.285665, 0.179977, 0.210677, 0.323682,
 0.284578, 0.301091, 0.163964, 0.250367,
 0.236373, 0.233223, 0.222234,  0.30817,
 0.242346, 0.113482, 0.259749, 0.384423,
 0.236681, 0.287421, 0.274284, 0.201614,
  0.44484, 0.282358,  0.12664, 0.146161,
  0.26143, 0.330621, 0.199209,  0.20874,
 0.081232, 0.304373, 0.304224, 0.310171} 

{0.288496, 0.180285, 0.205536, 0.325683,
 0.282959, 0.303418, 0.161599, 0.252025,
 0.244156, 0.240372, 0.205244, 0.310227,
 0.239883, 0.103148, 0.253373, 0.403595,
 0.244317, 0.283599, 0.275026, 0.197059,
 0.434598, 0.305574, 0.123658, 0.136171,
 0.273785, 0.312515, 0.197191, 0.216509,
 0.079227, 0.291185, 0.326981, 0.302607} 

{0.296303, 0.184017, 0.205755, 0.313925,
 0.287388, 0.301114, 0.162091, 0.249407,
 0.246619, 0.240089, 0.204227, 0.309064,
 0.239479, 0.124742, 0.222775, 0.413004,
 0.225162, 0.283687,  0.28338, 0.207771,
 0.414093, 0.336622, 0.113897, 0.135389,
 0.264444, 0.315499, 0.183419, 0.236639,
 0.080125, 0.259913, 0.346934, 0.313029} 

{0.290453, 0.181858, 0.205159,  0.32253,
 0.284752, 0.298583, 0.161093, 0.255573,
 0.255385, 0.224452, 0.208225, 0.311938,
 0.250219, 0.118453,  0.23553, 0.395797,
 0.220608, 0.286832, 0.288529, 0.204032,
  0.40809, 0.348927, 0.110112, 0.132872,
 0.283413, 0.319189, 0.177936, 0.219463,
 0.074992, 0.283559, 0.333118, 0.308331} 

{0.296894, 0.177316, 0.199006, 0.326784,
  0.28197, 0.298483, 0.158481, 0.261066,
 0.251834, 0.223227, 0.213042, 0.311897,
 0.242589, 0.146922, 0.245045, 0.365444,
 0.224148,  0.31377,   0.2672, 0.194882,
 0.375814, 0.355474, 0.095647, 0.173065,
 0.226906, 0.351315, 0.183462, 0.238317,
 0.121458, 0.276089, 0.315051, 0.287401} 

{0.306914, 0.173825, 0.198739, 0.320522,
 0.279765, 0.297924, 0.161865, 0.260445,
 0.252688, 0.230113, 0.214559,  0.30264,
 0.290239, 0.154982, 0.273285, 0.281494,
 0.235329, 0.300907, 0.265582, 0.198183,
 0.365576, 0.392185, 0.079542, 0.162697,
 0.219084, 0.376106, 0.178845, 0.225965,
 0.115172, 0.304255, 0.291803,  0.28877} 

{ 0.31123, 0.175699, 0.187964, 0.325107,
   0.2792, 0.299342, 0.162742, 0.258717,
 0.250061, 0.231834, 0.212697, 0.305409,
  0.34683, 0.158841, 0.251693, 0.242636,
 0.237185, 0.282957, 0.254777,  0.22508,
 0.363968, 0.375023, 0.091232, 0.169777,
 0.233621, 0.362151, 0.191251, 0.212977,
  0.11736,  0.30555,  0.30432,  0.27277} 

{ 0.31833, 0.180977, 0.180892,   0.3198,
 0.280603, 0.294196, 0.164379, 0.260823,
 0.250588, 0.229933, 0.219135, 0.300344,
  0.32691, 0.175403, 0.253778, 0.243908,
 0.237632, 0.286713,  0.25138, 0.224275,
 0.336884, 0.343427, 0.113841, 0.205848,
 0.214328, 0.377828, 0.207198, 0.200646,
 0.115677, 0.307376, 0.306531, 0.270416} 

{ 0.33202, 0.175504, 0.177597, 0.314879,
 0.285091, 0.297139, 0.155034, 0.262736,
 0.242929, 0.234993, 0.223945, 0.298133,
 0.337734, 0.174578, 0.230193, 0.257495,
 0.213406, 0.292437, 0.262451, 0.231706,
 0.345969, 0.342835, 0.113839, 0.197357,
 0.215161, 0.375687,   0.2042, 0.204953,
 0.113397, 0.310288, 0.300747, 0.275569} 

{0.327019, 0.177691, 0.183891, 0.311398,
 0.281179, 0.296707, 0.155921, 0.266193,
 0.242702, 0.240214,  0.22124, 0.295844,
  0.39242, 0.121453, 0.173946, 0.312181,
 0.193333, 0.323874, 0.240398, 0.242396,
 0.351065, 0.285896, 0.119544, 0.243496,
 0.305962,  0.34566, 0.184923, 0.163456,
 0.114584, 0.252775, 0.322164, 0.310477} 

{0.330225, 0.177776, 0.183156, 0.308843,
 0.279165, 0.290019, 0.164834, 0.265982,
 0.233264, 0.236244, 0.224969, 0.305522,
   0.2477, 0.135284, 0.221913, 0.395103,
 0.194643, 0.321044, 0.243727, 0.240587,
 0.335262,  0.26588, 0.154653, 0.244205,
 0.334196,  0.29135, 0.200649, 0.173805,
 0.115698, 0.258091,  0.32765, 0.298561} 

{0.329395, 0.175327,  0.18919, 0.306088,
 0.274687, 0.292489, 0.165631, 0.267193,
 0.236477, 0.232792, 0.226202, 0.304529,
 0.264653, 0.159585, 0.251079, 0.324682,
  0.21079, 0.322902, 0.237841, 0.228467,
 0.316717, 0.338734, 0.114057, 0.230492,
 0.309785, 0.328813, 0.220585, 0.140817,
 0.120474, 0.247563, 0.332495, 0.299468} 

{0.333558, 0.170505, 0.186637, 0.309301,
 0.279276, 0.291338, 0.164835, 0.264551,
 0.243661, 0.233406, 0.222064, 0.300869,
 0.279403, 0.179445, 0.271934, 0.269217,
 0.196443, 0.332172, 0.237441, 0.233945,
 0.315042, 0.342421, 0.113889, 0.228648,
 0.316369, 0.327018, 0.209408, 0.147205,
 0.127353, 0.270942, 0.322765,  0.27894} 

{0.333965, 0.169911, 0.186291, 0.309833,
