775 documents , 1 concepts , 2614 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -700, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.1302416129879369   T=0,K=0:  47617 (0.045) ; 79595 (0.025) ; 31236 (0.025) ; 22209 (0.024) ; 66573 (0.021) ; 64866 (0.016) ; 4845 (0.014) ; 73277 (0.011) ; 16954 (0.011) ; 32322 (0.009) ; 
0.09891256368822626   T=1,K=0:  31236 (0.037) ; 47617 (0.029) ; 22209 (0.020) ; 32322 (0.019) ; 66573 (0.019) ; 64866 (0.014) ; 16954 (0.013) ; 4845 (0.012) ; 73277 (0.011) ; 79595 (0.011) ; 
0.10293917023713954   T=2,K=0:  31236 (0.028) ; 22209 (0.022) ; 4845 (0.019) ; 32322 (0.018) ; 47617 (0.018) ; 80011 (0.016) ; 66573 (0.013) ; 75552 (0.013) ; 23069 (0.011) ; 64866 (0.011) ; 
0.1410261837947172   T=3,K=0:  22209 (0.027) ; 4845 (0.026) ; 64866 (0.019) ; 31236 (0.018) ; 47617 (0.016) ; 32322 (0.015) ; 80011 (0.013) ; 72287 (0.011) ; 57460 (0.011) ; 73277 (0.011) ; 
0.040273081203035584   T=4,K=0:  22209 (0.043) ; 31236 (0.021) ; 4845 (0.020) ; 72287 (0.014) ; 32322 (0.013) ; 75552 (0.013) ; 80011 (0.013) ; 64866 (0.012) ; 73277 (0.010) ; 77847 (0.010) ; 
0.01994289948943894   T=5,K=0:  22209 (0.033) ; 4845 (0.020) ; 80011 (0.015) ; 64866 (0.015) ; 68641 (0.013) ; 32322 (0.013) ; 31236 (0.012) ; 48291 (0.010) ; 45996 (0.009) ; 84434 (0.008) ; 
0.09223879669763722   T=6,K=0:  22209 (0.022) ; 4845 (0.021) ; 32322 (0.018) ; 68641 (0.014) ; 48291 (0.014) ; 31236 (0.012) ; 73335 (0.011) ; 80011 (0.011) ; 64866 (0.010) ; 84434 (0.010) ; 
0.10112021865351095   T=7,K=0:  48291 (0.016) ; 22209 (0.016) ; 59339 (0.015) ; 114816 (0.013) ; 32322 (0.013) ; 4845 (0.012) ; 64866 (0.010) ; 31236 (0.010) ; 65295 (0.009) ; 80011 (0.009) ; 
0.12953043189125588   T=8,K=0:  59339 (0.019) ; 31236 (0.017) ; 64866 (0.016) ; 22209 (0.015) ; 114816 (0.012) ; 70922 (0.011) ; 73277 (0.011) ; 48291 (0.010) ; 32322 (0.010) ; 65295 (0.010) ; 
0.14384811777369888   T=9,K=0:  59339 (0.036) ; 70922 (0.023) ; 64866 (0.020) ; 31236 (0.016) ; 116416 (0.015) ; 48291 (0.015) ; 73277 (0.013) ; 22209 (0.013) ; 114816 (0.012) ; 71023 (0.012) ; 
0.10548373192711848   T=10,K=0:  64866 (0.031) ; 59339 (0.030) ; 73277 (0.019) ; 31236 (0.018) ; 70922 (0.017) ; 116416 (0.016) ; 48291 (0.015) ; 22209 (0.012) ; 65295 (0.011) ; 38547 (0.011) ; 
0.07656694968121093   T=11,K=0:  59339 (0.031) ; 64866 (0.030) ; 73277 (0.019) ; 70922 (0.019) ; 38547 (0.018) ; 116416 (0.015) ; 65295 (0.013) ; 114816 (0.013) ; 71308 (0.013) ; 31236 (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  22209 (0.021) ; 31236 (0.019) ; 64866 (0.017) ; 59339 (0.015) ; 4845 (0.013) ; 47617 (0.012) ; 32322 (0.012) ; 73277 (0.012) ; 70922 (0.010) ; 48291 (0.009) ; 

0.09982267345544027   T=0,K=1:  45996 (0.032) ; 40816 (0.018) ; 102381 (0.018) ; 112720 (0.017) ; 31945 (0.017) ; 42827 (0.016) ; 11058 (0.014) ; 104355 (0.014) ; 80306 (0.014) ; 65628 (0.013) ; 
0.19544590876221743   T=1,K=1:  40816 (0.023) ; 102381 (0.019) ; 73277 (0.017) ; 45996 (0.016) ; 112720 (0.015) ; 72627 (0.014) ; 21920 (0.013) ; 105296 (0.011) ; 75552 (0.010) ; 31945 (0.010) ; 
0.09579732085769438   T=2,K=1:  45996 (0.028) ; 75552 (0.016) ; 40816 (0.016) ; 102381 (0.016) ; 112720 (0.013) ; 31945 (0.013) ; 11058 (0.013) ; 73277 (0.013) ; 105296 (0.011) ; 90504 (0.011) ; 
0.10087031570444814   T=3,K=1:  45996 (0.020) ; 65552 (0.015) ; 112720 (0.015) ; 16051 (0.013) ; 11058 (0.013) ; 75552 (0.012) ; 22100 (0.012) ; 40816 (0.011) ; 90504 (0.010) ; 73277 (0.010) ; 
0.04754275868007766   T=4,K=1:  65552 (0.018) ; 112720 (0.017) ; 45996 (0.014) ; 75552 (0.014) ; 11058 (0.012) ; 104355 (0.011) ; 115193 (0.010) ; 65628 (0.010) ; 73277 (0.010) ; 114548 (0.010) ; 
0.08385609600213975   T=5,K=1:  112720 (0.016) ; 65552 (0.014) ; 74571 (0.013) ; 72627 (0.012) ; 45996 (0.012) ; 104355 (0.012) ; 11058 (0.011) ; 22100 (0.010) ; 15682 (0.010) ; 1564 (0.009) ; 
0.13845397945221435   T=6,K=1:  nlsj177 (0.014) ; 74571 (0.014) ; 45996 (0.011) ; 104355 (0.011) ; 114548 (0.010) ; 15682 (0.010) ; 112720 (0.010) ; 22100 (0.010) ; 48291 (0.009) ; 72627 (0.009) ; 
0.13714612521377392   T=7,K=1:  nlsj177 (0.017) ; 48291 (0.015) ; 22100 (0.012) ; 104355 (0.012) ; 66494 (0.011) ; 84245 (0.010) ; 65552 (0.010) ; 74571 (0.009) ; 19554 (0.009) ; 55149 (0.009) ; 
0.07718237330672027   T=8,K=1:  48291 (0.016) ; nlsj177 (0.013) ; 74571 (0.013) ; 96960 (0.013) ; 114548 (0.012) ; 66494 (0.012) ; 40816 (0.011) ; 65552 (0.011) ; 52332 (0.010) ; 85306 (0.010) ; 
0.05874152023245093   T=9,K=1:  65552 (0.018) ; 74571 (0.017) ; 84295 (0.015) ; 52332 (0.014) ; 114428 (0.013) ; 48291 (0.013) ; 96960 (0.012) ; nlsj177 (0.011) ; 40816 (0.010) ; 58444 (0.010) ; 
0.014958106781836369   T=10,K=1:  74571 (0.027) ; 84295 (0.015) ; 114428 (0.015) ; 110598 (0.014) ; 58444 (0.014) ; 84245 (0.013) ; 19554 (0.013) ; 90504 (0.012) ; 85306 (0.012) ; 65552 (0.010) ; 
0.04792102955686964   T=11,K=1:  74571 (0.025) ; 96960 (0.018) ; 90504 (0.016) ; 85306 (0.013) ; 58444 (0.012) ; nlsj7765 (0.011) ; 19554 (0.011) ; 84295 (0.011) ; 16527 (0.011) ; 63845 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  74571 (0.013) ; 45996 (0.013) ; 112720 (0.012) ; 65552 (0.012) ; 40816 (0.011) ; 102381 (0.010) ; nlsj177 (0.009) ; 90504 (0.009) ; 22100 (0.009) ; 75552 (0.009) ; 

0.010328464970672593   T=0,K=2:  nlsj61372 (0.047) ; 63724 (0.028) ; 98584 (0.023) ; 45996 (0.019) ; 17301 (0.019) ; 11072 (0.018) ; 56991 (0.015) ; 115887 (0.014) ; 31565 (0.014) ; 73742 (0.014) ; 
0.0176269766031132   T=1,K=2:  nlsj61372 (0.057) ; 45996 (0.021) ; 11072 (0.017) ; 98584 (0.015) ; 63724 (0.014) ; 31565 (0.014) ; 73742 (0.012) ; 70839 (0.012) ; 56991 (0.012) ; 52774 (0.012) ; 
0.11191160108185882   T=2,K=2:  nlsj61372 (0.044) ; 45996 (0.024) ; 11072 (0.018) ; 98584 (0.018) ; 52774 (0.016) ; 102000 (0.015) ; 31565 (0.014) ; 27148 (0.014) ; 34744 (0.012) ; 17301 (0.012) ; 
0.06272635674448576   T=3,K=2:  nlsj61372 (0.048) ; 102000 (0.018) ; 31565 (0.017) ; 115887 (0.017) ; 45996 (0.016) ; 11072 (0.015) ; 17301 (0.015) ; 52774 (0.014) ; 27148 (0.013) ; 34744 (0.013) ; 
0.012135086527111028   T=4,K=2:  nlsj61372 (0.030) ; 115887 (0.024) ; 45996 (0.019) ; 52774 (0.018) ; 27148 (0.017) ; 102000 (0.015) ; 31565 (0.014) ; 98584 (0.012) ; 75552 (0.012) ; 11072 (0.011) ; 
0.06698386649628901   T=5,K=2:  nlsj61372 (0.019) ; 45996 (0.018) ; 102000 (0.018) ; 115887 (0.017) ; 75552 (0.016) ; 27148 (0.016) ; 52774 (0.014) ; 59339 (0.013) ; 31565 (0.011) ; 17301 (0.010) ; 
0.036450836973506553   T=6,K=2:  102000 (0.027) ; 52774 (0.023) ; 27148 (0.019) ; 45996 (0.018) ; 31565 (0.016) ; 115887 (0.013) ; 59339 (0.013) ; 85799 (0.011) ; 84234 (0.011) ; 17301 (0.011) ; 
0.04562113774986664   T=7,K=2:  45996 (0.023) ; 102000 (0.023) ; 115887 (0.018) ; 52774 (0.017) ; 59339 (0.015) ; 27148 (0.013) ; 8909 (0.013) ; 84234 (0.013) ; 19972 (0.011) ; 31565 (0.011) ; 
