1396 documents , 1 concepts , 3528 context features (nlsj14967) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.047762401818080634   T=0,K=0:  nlsj14552 (0.003) ; 8665 (0.002) ; 45794 (0.002) ; nlsj76811 (0.002) ; 70035 (0.002) ; 33791 (0.001) ; 55814 (0.001) ; 16052 (0.001) ; 74420 (0.001) ; 95641 (0.001) ; 
0.17819821320769455   T=1,K=0:  nlsj14552 (0.003) ; 1564 (0.003) ; 63772 (0.002) ; nlsj76811 (0.002) ; 8665 (0.002) ; 98707 (0.002) ; 4274 (0.002) ; 53290 (0.002) ; 31161 (0.002) ; 95641 (0.002) ; 
0.16055021100306874   T=2,K=0:  63772 (0.008) ; 8665 (0.006) ; 1564 (0.006) ; 85306 (0.004) ; nlsj14552 (0.004) ; 31161 (0.002) ; 98707 (0.002) ; 11583 (0.002) ; 95641 (0.002) ; 22209 (0.002) ; 
0.15626169141901247   T=3,K=0:  63772 (0.027) ; 8665 (0.020) ; 85306 (0.010) ; 22209 (0.006) ; 1564 (0.005) ; 2031 (0.005) ; nlsj76838 (0.004) ; 50073 (0.004) ; 31161 (0.003) ; 52093 (0.003) ; 
0.09568409082085726   T=4,K=0:  8665 (0.047) ; 22209 (0.012) ; 63772 (0.009) ; 1564 (0.004) ; 31236 (0.004) ; 8909 (0.004) ;  (0.004) ; 85306 (0.003) ; 52093 (0.003) ; 71308 (0.003) ; 
0.08530680696206631   T=5,K=0:  8665 (0.049) ; 22209 (0.022) ; 63772 (0.007) ;  (0.006) ; 11583 (0.005) ; nlsj76838 (0.005) ; 31236 (0.005) ; 85306 (0.005) ; 45996 (0.004) ; 86305 (0.004) ; 
0.10861558226537496   T=6,K=0:  22209 (0.046) ; 8665 (0.030) ; 63772 (0.015) ;  (0.013) ; 85306 (0.013) ; 45996 (0.013) ; 11583 (0.008) ; 7911 (0.007) ; 49875 (0.006) ; nlsj14967 (0.006) ; 
0.06994222014581154   T=7,K=0:  22209 (0.035) ;  (0.026) ; 45996 (0.025) ; 11583 (0.020) ; 85306 (0.019) ; 63772 (0.018) ; 8665 (0.018) ; 49875 (0.011) ; 8909 (0.010) ; 7911 (0.006) ; 
0.07656130114074851   T=8,K=0:  22209 (0.058) ;  (0.041) ; 11583 (0.041) ; 63772 (0.035) ; 45996 (0.017) ; 31161 (0.011) ; 62204 (0.010) ; 26887 (0.008) ; 105829 (0.006) ; 8909 (0.006) ; 
0.09941471678103032   T=9,K=0:  11583 (0.045) ; 45996 (0.025) ;  (0.023) ; 22209 (0.018) ; 63772 (0.010) ; 75552 (0.009) ; 46646 (0.009) ; 86184 (0.008) ; 20621 (0.008) ; 72627 (0.008) ; 
0.10613736149757393   T=10,K=0:  45996 (0.034) ; 86184 (0.026) ; 75552 (0.026) ;  (0.013) ; 11583 (0.010) ; 72627 (0.009) ; 66984 (0.009) ; 22209 (0.009) ; 73277 (0.008) ; 46646 (0.008) ; 
0.10070736321150531   T=11,K=0:  86184 (0.016) ;  (0.015) ; 75552 (0.013) ; 66984 (0.012) ; 45996 (0.012) ; 22209 (0.008) ; 112720 (0.008) ; 11583 (0.007) ; 102000 (0.006) ; 51241 (0.006) ; 
0.09576866787271052   T=12,K=0:  45996 (0.016) ; 75552 (0.015) ; 86184 (0.012) ; 22209 (0.011) ;  (0.011) ; 112720 (0.010) ; 102000 (0.009) ; 107349 (0.009) ; 73277 (0.008) ; 72627 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  22209 (0.017) ; 8665 (0.014) ;  (0.012) ; 45996 (0.012) ; 11583 (0.012) ; 63772 (0.010) ; 75552 (0.006) ; 86184 (0.005) ; 85306 (0.005) ; 72627 (0.004) ; 

0.02682897684620742   T=0,K=1:  26447 (0.002) ; 8665 (0.002) ; 260 (0.001) ; 37567 (0.001) ; 113388 (0.001) ; 16686 (0.001) ; 114624 (0.001) ; 16864 (0.001) ; 42648 (0.001) ; nlsj8598 (0.001) ; 
0.06144449106870678   T=1,K=1:  8665 (0.004) ; 260 (0.003) ; 11058 (0.002) ; 113388 (0.002) ;  (0.002) ; 14181 (0.001) ; 73350 (0.001) ; 26447 (0.001) ; nlsj76838 (0.001) ; 83669 (0.001) ; 
0.06347566141978736   T=2,K=1:  8665 (0.007) ;  (0.005) ; 260 (0.005) ; 11058 (0.003) ; nlsj76838 (0.003) ; nlsj61372 (0.002) ; 46892 (0.002) ; 84234 (0.002) ; 113388 (0.002) ; 71308 (0.002) ; 
0.08886429211883269   T=3,K=1:  8665 (0.014) ;  (0.008) ; 260 (0.006) ; 26197 (0.005) ; 11058 (0.004) ; nlsj61372 (0.003) ; 71308 (0.003) ; 22209 (0.003) ; 63772 (0.003) ; 19870 (0.003) ; 
0.08811258113944721   T=4,K=1:  26197 (0.025) ; 260 (0.008) ;  (0.008) ; 71308 (0.007) ; nlsj9582 (0.005) ; 8665 (0.005) ; 63772 (0.005) ; nlsj61372 (0.005) ; 8909 (0.004) ; 84505 (0.004) ; 
0.08441184448493189   T=5,K=1:   (0.019) ; 8665 (0.012) ; 63772 (0.011) ; 22209 (0.011) ; 45996 (0.009) ; 260 (0.009) ; 26197 (0.008) ; nlsj9582 (0.005) ; 31236 (0.005) ; 71308 (0.004) ; 
0.057869563196162176   T=6,K=1:   (0.034) ; 45996 (0.016) ; 8665 (0.016) ; 11583 (0.014) ; 113388 (0.012) ; 31236 (0.012) ; 63772 (0.011) ; 19972 (0.009) ; 42214 (0.009) ; 22209 (0.009) ; 
0.07205435254258467   T=7,K=1:  45996 (0.033) ;  (0.027) ; 31236 (0.025) ; 11583 (0.020) ; 19972 (0.018) ; 113388 (0.014) ; 8665 (0.014) ; 106094 (0.010) ; 63772 (0.010) ; 114553 (0.010) ; 
0.05667415255166806   T=8,K=1:  45996 (0.046) ;  (0.029) ; 113388 (0.025) ; 8665 (0.011) ; 15893 (0.009) ; 42214 (0.008) ; 102000 (0.008) ; 65552 (0.008) ; 31236 (0.007) ; 64866 (0.007) ; 
0.12510436211733447   T=9,K=1:  45996 (0.036) ;  (0.035) ; 8665 (0.019) ; 110639 (0.013) ; 65552 (0.010) ; 113388 (0.010) ; 21920 (0.009) ; 112934 (0.008) ; 11072 (0.008) ; 42214 (0.007) ; 
0.10892487021375492   T=10,K=1:  110639 (0.035) ; 112934 (0.025) ; 8665 (0.022) ;  (0.019) ; 26887 (0.012) ; 21920 (0.011) ; 45996 (0.010) ; 102115 (0.008) ; 16341 (0.007) ; 65552 (0.007) ; 
0.12759764160172438   T=11,K=1:  112934 (0.016) ;  (0.011) ; 8665 (0.011) ; 110639 (0.011) ; 26887 (0.008) ; 42214 (0.007) ; 21920 (0.007) ; 114615 (0.006) ; 73492 (0.006) ; 102115 (0.005) ; 
0.14801632117233768   T=12,K=1:  112934 (0.016) ; 8665 (0.013) ; 42214 (0.009) ; 26887 (0.008) ; 110639 (0.008) ; 73492 (0.007) ; 21920 (0.007) ;  (0.007) ; 7911 (0.006) ; 106094 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.016) ; 45996 (0.013) ; 8665 (0.012) ; 113388 (0.006) ; 110639 (0.006) ; 112934 (0.005) ; 31236 (0.005) ; 42214 (0.005) ; 260 (0.004) ; 21920 (0.004) ; 

0.37741078891860086   T=0,K=2:  73172 (0.002) ; 7712 (0.002) ; 86108 (0.001) ; 28002 (0.001) ; 18452 (0.001) ; 23242 (0.001) ; nlsj76721 (0.001) ; 24673 (0.001) ; 42840 (0.001) ; 43048 (0.001) ; 
0.13241110580299834   T=1,K=2:  30790 (0.003) ; 115193 (0.002) ; 86219 (0.002) ; 22100 (0.002) ; 65552 (0.002) ; 23242 (0.002) ; 27847 (0.002) ; 52774 (0.002) ; 28002 (0.002) ; 43048 (0.001) ; 
0.08677813475061845   T=2,K=2:  86219 (0.006) ; 52774 (0.004) ; 30790 (0.004) ; 65552 (0.004) ; 115193 (0.003) ; 28002 (0.003) ; 22100 (0.003) ; 43048 (0.002) ; 23242 (0.002) ; 31599 (0.002) ; 
0.06690207472364677   T=3,K=2:  65552 (0.009) ; 86219 (0.008) ; 115193 (0.005) ; 30790 (0.004) ; 28002 (0.004) ; 22100 (0.003) ;  (0.003) ; 52774 (0.003) ; 112472 (0.002) ; 64866 (0.002) ; 
0.0852864296570477   T=4,K=2:  115193 (0.005) ; 65552 (0.005) ; 28002 (0.005) ; 30790 (0.004) ; 86219 (0.004) ;  (0.004) ; 11583 (0.004) ; 63772 (0.003) ; 1899 (0.003) ; 90504 (0.003) ; 
0.14510770071377613   T=5,K=2:  65552 (0.013) ; 45996 (0.011) ; 115193 (0.011) ; 28002 (0.009) ; 22209 (0.008) ;  (0.006) ; 90504 (0.006) ; 85306 (0.005) ; 72202 (0.004) ; 86219 (0.004) ; 
0.1828830186513251   T=6,K=2:  45996 (0.017) ;  (0.017) ; 115193 (0.013) ; 22209 (0.012) ; 90504 (0.011) ; 65552 (0.010) ; 84494 (0.009) ; 28002 (0.009) ; 83987 (0.008) ; 103972 (0.006) ; 
0.12340348669684807   T=7,K=2:   (0.030) ; 8665 (0.020) ; 45996 (0.018) ; 90504 (0.017) ; 22209 (0.016) ; 260 (0.013) ; 103972 (0.012) ; 85306 (0.011) ; 84494 (0.010) ; 115193 (0.009) ; 
0.12900787103839137   T=8,K=2:   (0.040) ; 45996 (0.037) ; 63772 (0.024) ; 68641 (0.019) ; 260 (0.017) ; nlsj61372 (0.017) ; 52093 (0.016) ; 11058 (0.016) ; 84494 (0.015) ; 85306 (0.015) ; 
0.07688796572445486   T=9,K=2:  45996 (0.041) ; 63772 (0.040) ;  (0.027) ; 68641 (0.016) ; 260 (0.013) ; nlsj61372 (0.013) ; 85306 (0.012) ; 103972 (0.011) ; 90504 (0.009) ; 11058 (0.007) ; 
0.08141811328673847   T=10,K=2:  45996 (0.021) ; 63772 (0.014) ; 112356 (0.011) ; 260 (0.011) ;  (0.010) ; 102000 (0.009) ; 68641 (0.008) ; 85306 (0.008) ; 90504 (0.007) ; 103972 (0.007) ; 
0.09755448634135797   T=11,K=2:  63772 (0.024) ; 102000 (0.010) ; 45996 (0.009) ; 68641 (0.009) ; 260 (0.008) ; 112356 (0.007) ; 103972 (0.006) ; 85306 (0.006) ; 112720 (0.005) ; 75552 (0.005) ; 
0.07104605472526983   T=12,K=2:  68641 (0.014) ; 63772 (0.013) ; 102000 (0.013) ; 45996 (0.010) ; 112720 (0.008) ; 260 (0.007) ; 103972 (0.007) ; 85306 (0.006) ; 81297 (0.006) ; 80526 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  45996 (0.013) ;  (0.011) ; 63772 (0.010) ; 260 (0.006) ; 85306 (0.006) ; 68641 (0.006) ; 90504 (0.006) ; 65552 (0.005) ; 103972 (0.005) ; 115193 (0.004) ; 

0.037753059449060974   T=0,K=3:  110166 (0.002) ; 62204 (0.002) ; 92323 (0.002) ; 103852 (0.001) ; 50478 (0.001) ; 112307 (0.001) ; 35219 (0.001) ; 63845 (0.001) ; 35541 (0.001) ; 8665 (0.001) ; 
