2299 documents , 1 concepts , 4569 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.0815443724956394   T=0,K=0:  2764 (0.002) ; 42713 (0.001) ; 54345 (0.001) ; 19017 (0.001) ; 12621 (0.001) ; 76703 (0.001) ; nlsj4392 (0.001) ; 44534 (0.001) ; 18714 (0.001) ; 16658 (0.001) ; 
0.0798957263750812   T=1,K=0:  2764 (0.002) ; 28566 (0.002) ; 46646 (0.002) ; 43206 (0.002) ; 42713 (0.002) ; 21920 (0.002) ; 87148 (0.002) ; 21578 (0.001) ; 89366 (0.001) ; 76703 (0.001) ; 
0.1215053798618512   T=2,K=0:  62204 (0.005) ; 2764 (0.005) ; 28566 (0.004) ;  (0.004) ; 45948 (0.003) ; 45996 (0.003) ; 43206 (0.003) ; 4076 (0.003) ; 92010 (0.003) ; 76703 (0.003) ; 
0.0819578399556907   T=3,K=0:   (0.019) ; 62204 (0.016) ; 45996 (0.010) ; 84234 (0.006) ; 42214 (0.006) ; 43206 (0.006) ; 75552 (0.006) ; 92010 (0.005) ; 65552 (0.004) ; 84494 (0.004) ; 
0.09428119070095602   T=4,K=0:   (0.068) ; 45996 (0.026) ; 62204 (0.022) ; 8665 (0.017) ; 75552 (0.017) ; 84234 (0.016) ; 63772 (0.015) ; 84494 (0.015) ; 65552 (0.014) ; 42214 (0.013) ; 
0.06294278219858813   T=5,K=0:   (0.039) ; 62204 (0.021) ; 45996 (0.018) ; 84494 (0.014) ; 65552 (0.014) ; 63772 (0.013) ; 75552 (0.013) ; 84234 (0.012) ; 86219 (0.009) ; 42214 (0.009) ; 
0.05629038254892625   T=6,K=0:   (0.030) ; 45996 (0.021) ; 84494 (0.015) ; 65552 (0.014) ; 84234 (0.013) ; 62204 (0.013) ; 98894 (0.011) ; 63772 (0.009) ; 58429 (0.009) ; 85306 (0.009) ; 
0.10591558799843138   T=7,K=0:  84494 (0.030) ; 85306 (0.019) ;  (0.017) ; 26886 (0.015) ; 62204 (0.015) ; 45996 (0.015) ; 28566 (0.013) ; 98894 (0.013) ; 79983 (0.012) ; 22209 (0.012) ; 
0.11153178751870671   T=8,K=0:   (0.048) ; 85306 (0.041) ; 45996 (0.030) ; 26886 (0.021) ; 86219 (0.020) ; 63772 (0.014) ; 61791 (0.014) ; 8909 (0.012) ; 84494 (0.012) ; 62204 (0.010) ; 
0.09789344932855591   T=9,K=0:  86219 (0.041) ; 43309 (0.031) ; 45996 (0.026) ;  (0.024) ; 26886 (0.019) ; 85306 (0.016) ; 68641 (0.015) ; 114615 (0.014) ; 84494 (0.011) ; 75552 (0.010) ; 
0.10259249714489656   T=10,K=0:  86219 (0.067) ; 75552 (0.033) ; 85306 (0.027) ; 62204 (0.018) ;  (0.013) ; 43309 (0.009) ; 22209 (0.009) ; 84494 (0.007) ; 56496 (0.006) ; 68641 (0.006) ; 
0.14536252677771477   T=11,K=0:  86219 (0.020) ; 62204 (0.018) ; 75552 (0.014) ; 85306 (0.012) ;  (0.008) ; 43309 (0.008) ; 56496 (0.007) ; 51849 (0.007) ; 71308 (0.007) ; 15893 (0.006) ; 
0.12133192101261396   T=12,K=0:  86219 (0.027) ; 75552 (0.016) ; 85306 (0.013) ;  (0.012) ; 62204 (0.011) ; 51849 (0.010) ; 15893 (0.008) ; 43309 (0.007) ; 63772 (0.007) ; 71308 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:   (0.022) ; 86219 (0.017) ; 45996 (0.012) ; 62204 (0.012) ; 85306 (0.011) ; 75552 (0.009) ; 84494 (0.009) ; 63772 (0.007) ; 26886 (0.007) ; 43309 (0.005) ; 

0.0496672689754478   T=0,K=1:  16565 (0.002) ; 22968 (0.002) ; 12973 (0.002) ; 70607 (0.001) ; 84434 (0.001) ; 83495 (0.001) ; 45936 (0.001) ; 45996 (0.001) ; 43309 (0.001) ; nlsj68228 (0.001) ; 
0.08841361314597296   T=1,K=1:  84434 (0.003) ; 22968 (0.003) ; 45996 (0.003) ; 43309 (0.003) ; 42827 (0.002) ; 52332 (0.002) ;  (0.002) ; 5607 (0.002) ; 80011 (0.002) ; 260 (0.001) ; 
0.09215084434964899   T=2,K=1:   (0.009) ; 84434 (0.007) ; 45996 (0.006) ; 86917 (0.005) ; 27847 (0.005) ; 22968 (0.004) ; 67868 (0.004) ; 42827 (0.004) ; 84511 (0.004) ; 43309 (0.003) ; 
0.06535055323858482   T=3,K=1:   (0.023) ; 45996 (0.018) ; 22209 (0.017) ; 27847 (0.010) ; 84494 (0.010) ; 84511 (0.009) ; 90504 (0.007) ; 43977 (0.005) ; 110114 (0.005) ; 42827 (0.005) ; 
0.10947730232852597   T=4,K=1:   (0.071) ; 22209 (0.039) ; 27847 (0.023) ; 45996 (0.020) ; 20621 (0.020) ; 84494 (0.018) ; 110114 (0.016) ; 34855 (0.014) ; 8909 (0.013) ; 90504 (0.012) ; 
0.1242382214789297   T=5,K=1:  22209 (0.031) ;  (0.029) ; 63772 (0.015) ; 20621 (0.013) ; 61791 (0.011) ; 27847 (0.010) ; 8909 (0.010) ; 72627 (0.008) ; 90504 (0.008) ; 62204 (0.006) ; 
0.0887233192568234   T=6,K=1:  63772 (0.032) ; 22209 (0.027) ;  (0.025) ; 8909 (0.011) ; 20621 (0.011) ; 75552 (0.011) ; 62204 (0.011) ; 15893 (0.010) ; 28566 (0.010) ; 90504 (0.009) ; 
0.12544527045394321   T=7,K=1:  63772 (0.025) ; 62204 (0.024) ;  (0.019) ; 84494 (0.018) ; 15893 (0.018) ; 22209 (0.017) ; 26447 (0.017) ; 28566 (0.015) ; 24436 (0.011) ; 85306 (0.011) ; 
0.1266741013483782   T=8,K=1:  85306 (0.039) ; 22209 (0.038) ; 62204 (0.036) ;  (0.023) ; 84234 (0.023) ; 68641 (0.020) ; 84494 (0.016) ; 45996 (0.011) ; 116416 (0.011) ; 90504 (0.010) ; 
0.09967419966699324   T=9,K=1:   (0.030) ; 45996 (0.027) ; 22209 (0.026) ; 86219 (0.025) ; 68641 (0.017) ; 84234 (0.016) ; 85306 (0.015) ; nlsj61372 (0.014) ; 90504 (0.012) ; 42214 (0.008) ; 
0.14023516375820722   T=10,K=1:  43206 (0.015) ; 22209 (0.013) ;  (0.011) ; 27847 (0.011) ; 22502 (0.011) ; 45996 (0.009) ; 90504 (0.008) ; 97121 (0.008) ; 86219 (0.007) ; nlsj11198 (0.006) ; 
0.0890251857215898   T=11,K=1:  90504 (0.012) ; 27847 (0.012) ; 97121 (0.009) ; 20621 (0.008) ; 43206 (0.008) ; 22209 (0.008) ; 42827 (0.007) ; 22502 (0.007) ; nlsj11198 (0.006) ; 42214 (0.006) ; 
0.12899409490270194   T=12,K=1:  42827 (0.013) ; 90504 (0.012) ; 42214 (0.009) ; 27847 (0.008) ; 22502 (0.007) ; nlsj59172 (0.007) ; 97121 (0.006) ; 22209 (0.006) ; 48291 (0.006) ; 43206 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.019) ; 22209 (0.017) ; 45996 (0.009) ; 62204 (0.008) ; 90504 (0.008) ; 27847 (0.008) ; 63772 (0.008) ; 85306 (0.007) ; 84494 (0.007) ; 20621 (0.006) ; 

0.0746891183451304   T=0,K=2:  64866 (0.003) ; nlsj107632 (0.002) ; 60402 (0.002) ; 84548 (0.002) ; 38547 (0.002) ; 85306 (0.002) ; 84505 (0.001) ; nlsj6956 (0.001) ; 75005 (0.001) ; 22968 (0.001) ; 
0.05484236713435362   T=1,K=2:  64866 (0.002) ;  (0.002) ; nlsj6956 (0.002) ; 85306 (0.002) ; 23726 (0.002) ; nlsj107632 (0.002) ; 1564 (0.002) ; 55544 (0.002) ; 72627 (0.002) ; 73672 (0.002) ; 
0.09042641493866077   T=2,K=2:  1564 (0.007) ;  (0.006) ; 72627 (0.006) ; 52332 (0.004) ; 45996 (0.004) ; 72202 (0.004) ; 80011 (0.004) ; 64866 (0.003) ; 85306 (0.003) ; nlsj6956 (0.003) ; 
0.13930679410102972   T=3,K=2:  72627 (0.019) ; 52332 (0.015) ; 1564 (0.013) ;  (0.012) ; 86219 (0.011) ; 72202 (0.008) ; 45996 (0.007) ; 8665 (0.007) ; 20046 (0.007) ; 85306 (0.007) ; 
0.09454442871619778   T=4,K=2:   (0.037) ; 86219 (0.035) ; 62204 (0.022) ; 27847 (0.021) ; 45996 (0.019) ; 8665 (0.018) ; 28566 (0.017) ; 72202 (0.015) ; 116416 (0.014) ; 90504 (0.013) ; 
