1606 documents , 1 concepts , 2924 context features (51148) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.007549111327587865   T=0,K=0:  52332 (0.017) ; 43206 (0.016) ; 84494 (0.015) ; 106094 (0.013) ;  (0.013) ; 46249 (0.013) ; 15047 (0.010) ; 90504 (0.009) ; 85306 (0.009) ; 26886 (0.009) ; 
0.002327147545536492   T=1,K=0:   (0.015) ; 46249 (0.014) ; 43206 (0.014) ; 85306 (0.014) ; 52332 (0.013) ; 22209 (0.013) ; 84494 (0.011) ; 15047 (0.011) ; 45996 (0.011) ; 68641 (0.009) ; 
0.021766473281111278   T=2,K=0:   (0.018) ; 43206 (0.016) ; 45996 (0.015) ; 15047 (0.014) ; 84494 (0.012) ; 26886 (0.011) ; 22209 (0.010) ; 46249 (0.010) ; 52332 (0.009) ; 85306 (0.009) ; 
0.07605147666775898   T=3,K=0:   (0.014) ; 45996 (0.013) ; 43206 (0.012) ; 46249 (0.011) ; 15047 (0.011) ; 85306 (0.010) ; 84494 (0.010) ; 105829 (0.009) ; 22209 (0.009) ; 52332 (0.009) ; 
0.19837138021487058   T=4,K=0:  85306 (0.016) ; 43206 (0.014) ;  (0.014) ; 46249 (0.012) ; 84494 (0.011) ; 45996 (0.011) ; 15047 (0.011) ; 65552 (0.010) ; 26886 (0.010) ; 67762 (0.010) ; 
0.014100019320050616   T=5,K=0:  85306 (0.018) ; 84494 (0.015) ; 26886 (0.012) ; 45996 (0.011) ; 43206 (0.011) ; 33426 (0.010) ; 68641 (0.009) ; 114753 (0.009) ;  (0.009) ; 346 (0.008) ; 
0.12081257107012959   T=6,K=0:   (0.014) ; 114753 (0.013) ; 68641 (0.013) ; 84494 (0.011) ; 33426 (0.010) ; 85306 (0.009) ; 43206 (0.009) ; 346 (0.009) ; 33819 (0.008) ; 84234 (0.008) ; 
0.2720172279285359   T=7,K=0:  114753 (0.015) ; 85306 (0.013) ; 33426 (0.013) ; 68641 (0.012) ; 43206 (0.011) ;  (0.010) ; 346 (0.010) ; nlsj71743 (0.010) ; 105829 (0.009) ; 65552 (0.008) ; 
0.10478559337234072   T=8,K=0:  85306 (0.016) ; 346 (0.013) ; 43206 (0.011) ; 114753 (0.011) ; 33426 (0.011) ; nlsj71743 (0.009) ; 26886 (0.009) ;  (0.009) ; 57460 (0.009) ; 84234 (0.008) ; 
0.19488669686456997   T=9,K=0:  33426 (0.013) ; 22209 (0.012) ; 85306 (0.012) ; nlsj71743 (0.011) ; 84494 (0.010) ; 346 (0.009) ; 43206 (0.009) ; 26886 (0.009) ; 102090 (0.008) ;  (0.008) ; 
0.1648749720888234   T=10,K=0:  85306 (0.013) ; 22209 (0.012) ; 84494 (0.012) ;  (0.012) ; 65552 (0.011) ; 33426 (0.010) ; 43206 (0.010) ; 103012 (0.010) ; 114753 (0.009) ; nlsj71743 (0.009) ; 
0.26502941899611016   T=11,K=0:  43206 (0.022) ; 114753 (0.015) ; 84494 (0.013) ; 85306 (0.011) ;  (0.011) ; 33426 (0.010) ; 65552 (0.010) ; 22209 (0.009) ; 72610 (0.009) ; 27847 (0.009) ; 
