955 documents , 1 concepts , 2896 context features (75005) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.010752600433121894   T=0,K=0:  75552 (0.018) ; 84150 (0.018) ; 84234 (0.015) ; nlsj32160 (0.015) ; 42267 (0.014) ; 63772 (0.014) ; 1564 (0.013) ; 54465 (0.013) ; 30500 (0.013) ; 8665 (0.013) ; 
0.012777756661679695   T=1,K=0:  75552 (0.018) ; 84494 (0.017) ; 30500 (0.015) ; nlsj32160 (0.014) ; 54465 (0.014) ; 42267 (0.013) ; 7915 (0.013) ; 28566 (0.011) ; 63772 (0.011) ; 74735 (0.010) ; 
0.05493576383804727   T=2,K=0:  30500 (0.018) ; 7915 (0.015) ; 61791 (0.014) ; 75552 (0.014) ; 54465 (0.012) ; 28566 (0.011) ; 84494 (0.011) ; 74735 (0.011) ; 22209 (0.011) ; 84234 (0.010) ; 
0.12858925357274384   T=3,K=0:  63772 (0.018) ; 7915 (0.016) ; 61791 (0.013) ; 28566 (0.013) ; 22209 (0.011) ; 30500 (0.011) ; 84494 (0.010) ; 84234 (0.010) ; 54465 (0.010) ; 86112 (0.009) ; 
0.08589172165700966   T=4,K=0:  61791 (0.020) ; 7915 (0.017) ; 63772 (0.015) ; 30500 (0.013) ; 84494 (0.012) ; 28566 (0.010) ; 84234 (0.010) ; 1564 (0.009) ;  (0.008) ; 86112 (0.008) ; 
0.032047249471349876   T=5,K=0:  61791 (0.022) ; 7915 (0.017) ; 30500 (0.014) ; 63772 (0.012) ; 84494 (0.012) ; 28566 (0.011) ; nlsj32160 (0.010) ; 3046 (0.010) ; 40154 (0.009) ; 114548 (0.009) ; 
0.08512906521128794   T=6,K=0:  61791 (0.025) ; 45996 (0.014) ; 22209 (0.013) ; 40154 (0.012) ; 7915 (0.010) ; 47629 (0.010) ; 75552 (0.010) ; 84494 (0.010) ; 63772 (0.009) ; 30500 (0.009) ; 
0.08988567571804472   T=7,K=0:  61791 (0.031) ; nlsj96033 (0.013) ; 45996 (0.012) ; 30500 (0.012) ; 63772 (0.012) ; 3046 (0.011) ; 102115 (0.009) ; 47629 (0.009) ; 84494 (0.008) ; 53819 (0.008) ; 
0.045227578617987395   T=8,K=0:  45996 (0.019) ; 63772 (0.018) ; 61791 (0.017) ; nlsj96033 (0.013) ; 102115 (0.012) ; 40154 (0.012) ; 8909 (0.010) ; 101822 (0.009) ; 115212 (0.009) ; nlsj76838 (0.008) ; 
0.16133828389656307   T=9,K=0:  45996 (0.020) ; 61791 (0.018) ; 63772 (0.015) ; nlsj96033 (0.015) ; nlsj76838 (0.012) ; 114548 (0.011) ; 40154 (0.010) ; 101822 (0.009) ; 84494 (0.009) ; nlsj32160 (0.009) ; 
0.09968083364825116   T=10,K=0:  63772 (0.028) ; nlsj96033 (0.021) ; 8909 (0.012) ; nlsj76838 (0.012) ; 45996 (0.011) ; 115212 (0.011) ; 61791 (0.010) ; 46571 (0.009) ; 11583 (0.009) ; nlsj32160 (0.009) ; 
0.05749746586016883   T=11,K=0:  nlsj96033 (0.034) ; 63772 (0.026) ; nlsj76838 (0.015) ; nlsj32160 (0.013) ; 61791 (0.012) ; 8909 (0.012) ; 11583 (0.012) ; 91280 (0.010) ;  (0.010) ; 96981 (0.009) ; 
0.056377315487107574   T=12,K=0:  nlsj96033 (0.038) ; 63772 (0.025) ; 96981 (0.014) ; 61791 (0.013) ; 43260 (0.012) ; 34855 (0.012) ; nlsj76838 (0.012) ; 53819 (0.011) ; 33819 (0.010) ;  (0.010) ; 
