1461 documents , 1 concepts , 3508 context features (79983) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.03823600706231274   T=0,K=0:  79983 (0.043) ; 52332 (0.035) ; 90504 (0.023) ; 23726 (0.020) ; 74777 (0.018) ; 40154 (0.016) ; nlsj56179 (0.013) ; 85306 (0.013) ; 113388 (0.013) ; 72610 (0.013) ; 
0.049863982799929374   T=1,K=0:  52332 (0.041) ; 23726 (0.031) ; 79983 (0.030) ; 74777 (0.019) ; 85306 (0.016) ; 66173 (0.015) ; 90504 (0.014) ; nlsj56179 (0.014) ; 113388 (0.014) ; 40154 (0.012) ; 
0.4333353587239393   T=2,K=0:  52332 (0.042) ; 79983 (0.037) ; 23726 (0.029) ; 90504 (0.017) ; 72610 (0.015) ; 65552 (0.015) ; 74777 (0.014) ; nlsj56179 (0.014) ; 80327 (0.014) ; 85306 (0.014) ; 
0.22928772916717774   T=3,K=0:  52332 (0.044) ; 79983 (0.038) ; 23726 (0.026) ; 72610 (0.016) ; 85306 (0.016) ; 64866 (0.011) ; 65552 (0.011) ; 80327 (0.011) ; 74777 (0.010) ; 11583 (0.009) ; 
0.13692258408128388   T=4,K=0:  79983 (0.037) ; 52332 (0.030) ; 23726 (0.026) ; 85306 (0.016) ; 65552 (0.013) ; 64866 (0.013) ; 72610 (0.012) ; 104015 (0.010) ; 84422 (0.010) ; 66173 (0.010) ; 
0.2280528344179768   T=5,K=0:  79983 (0.029) ; 23726 (0.023) ; 52332 (0.023) ; 66173 (0.014) ; 85306 (0.013) ; 65552 (0.010) ; 110639 (0.010) ; 72610 (0.010) ; 64866 (0.010) ; 18331 (0.010) ; 
0.15928969717114094   T=6,K=0:  79983 (0.022) ; 85306 (0.019) ; 52332 (0.018) ; 65552 (0.013) ; 23726 (0.012) ; nlsj56179 (0.012) ; 64866 (0.012) ; 74735 (0.011) ; 66173 (0.011) ; 24292 (0.010) ; 
0.05756231351442526   T=7,K=0:  23726 (0.026) ; 85306 (0.026) ; 52332 (0.016) ; nlsj56179 (0.014) ; 79983 (0.013) ; 110639 (0.013) ; 24292 (0.012) ; 64866 (0.012) ; 74735 (0.011) ; 11583 (0.009) ; 
0.05958976251192268   T=8,K=0:  85306 (0.030) ; 23726 (0.023) ; 52332 (0.018) ; 11583 (0.015) ; 110639 (0.015) ; 71492 (0.014) ; 79983 (0.011) ; 24292 (0.011) ; 74735 (0.010) ; nlsj56179 (0.009) ; 
0.051735541962776764   T=9,K=0:  85306 (0.016) ; 11583 (0.014) ; 52332 (0.014) ; 46804 (0.013) ; 71492 (0.013) ; 110639 (0.011) ; 23726 (0.010) ; nlsj56179 (0.010) ; 79983 (0.010) ; 86219 (0.009) ; 
0.02000350706273275   T=10,K=0:  85306 (0.019) ; 11583 (0.017) ; 46804 (0.017) ; 60646 (0.014) ; 72610 (0.013) ; nlsj56179 (0.011) ; 1984 (0.011) ; 86219 (0.010) ; 23726 (0.009) ; 71492 (0.008) ; 
0.08725685674459384   T=11,K=0:  85306 (0.030) ; 11583 (0.016) ; 60646 (0.015) ; 72610 (0.015) ; 46804 (0.011) ; 1984 (0.009) ; 67762 (0.009) ; 104429 (0.009) ; 110639 (0.009) ; 29677 (0.008) ; 
0.039246538423040385   T=12,K=0:  85306 (0.027) ; 11583 (0.018) ; 67762 (0.014) ; 60646 (0.014) ; 52332 (0.012) ; 72610 (0.012) ; 1984 (0.011) ; 46804 (0.010) ; 104429 (0.010) ; 110639 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  52332 (0.024) ; 79983 (0.022) ; 85306 (0.020) ; 23726 (0.019) ; 11583 (0.011) ; 72610 (0.011) ; nlsj56179 (0.011) ; 65552 (0.010) ; 64866 (0.009) ; 66173 (0.008) ; 

0.17105275566897726   T=0,K=1:  22209 (0.034) ; 67868 (0.025) ; 105816 (0.025) ; 1564 (0.022) ; 116416 (0.018) ; 79983 (0.016) ; 76703 (0.016) ; 27847 (0.013) ; 3903 (0.013) ; 24436 (0.012) ; 
0.6378642897301332   T=1,K=1:  22209 (0.042) ; 67868 (0.028) ; 76703 (0.023) ; 116416 (0.022) ; 1564 (0.018) ; 27847 (0.018) ; 102000 (0.017) ; 105816 (0.016) ; 73672 (0.014) ; nlsj68228 (0.012) ; 
0.13121264804045218   T=2,K=1:  22209 (0.075) ; 67868 (0.027) ; 27847 (0.020) ; 102000 (0.016) ; 103975 (0.015) ; 1564 (0.015) ; 76703 (0.014) ; 116416 (0.014) ; 23069 (0.012) ; nlsj65911 (0.012) ; 
0.06997542287296361   T=3,K=1:  22209 (0.072) ; 67868 (0.022) ; 76703 (0.020) ; 102000 (0.016) ; 27847 (0.015) ; 1564 (0.015) ; 116416 (0.015) ; 68791 (0.014) ; 23069 (0.013) ; 73672 (0.012) ; 
0.029679240838235074   T=4,K=1:  22209 (0.082) ; 1564 (0.022) ; 76703 (0.020) ; 27847 (0.017) ; 45996 (0.013) ; 73672 (0.012) ; 103975 (0.011) ; 102000 (0.011) ; nlsj65911 (0.011) ; 116416 (0.010) ; 
0.013749795259025449   T=5,K=1:  22209 (0.043) ; 76703 (0.029) ; 116416 (0.017) ; 100495 (0.017) ; 1564 (0.015) ; 73672 (0.015) ; 45996 (0.014) ; nlsj65911 (0.013) ; 111895 (0.011) ; 105816 (0.011) ; 
