1170 documents , 1 concepts , 3436 context features (113388) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.0646071891124629   T=0,K=0:  πατήρ [80011] (0.028) ; ἐνέχυρον [35485] (0.024) ; λαμβάνω [61791] (0.022) ; θάνατος [47876] (0.018) ; πλείων [83669] (0.017) ; μαρτύριον [65089] (0.015) ; Ἑλλάς [33791] (0.015) ; πάρειμι [79223] (0.014) ; δέησις [23628] (0.013) ; δίδωμι [26447] (0.012) ; 
0.010977080130786467   T=1,K=0:  δέησις [23628] (0.027) ; πλείων [83669] (0.025) ; πατήρ [80011] (0.024) ; Ἑλλάς [33791] (0.021) ; λαμβάνω [61791] (0.021) ; πάρειμι [79223] (0.014) ; ἐνέχυρον [35485] (0.013) ; μαρτύριον [65089] (0.011) ; γίγνομαι [22209] (0.010) ; καταλιμπάνω [54399] (0.010) ; 
0.017116906497180544   T=2,K=0:  πλείων [83669] (0.022) ; δέησις [23628] (0.022) ; πατήρ [80011] (0.022) ; Ἑλλάς [33791] (0.022) ; λαμβάνω [61791] (0.019) ; φέρω [110598] (0.014) ; πάρειμι [79223] (0.012) ; ταχύς [102736] (0.011) ; ἐκκλησιάζω [32174] (0.011) ; φεύγω [110606] (0.010) ; 
0.010722032194170766   T=3,K=0:  δέησις [23628] (0.029) ; πατήρ [80011] (0.024) ; Ἑλλάς [33791] (0.022) ; λαμβάνω [61791] (0.012) ; πλείων [83669] (0.012) ; μαρτύριον [65089] (0.012) ; κίνδυνος [57457] (0.012) ; φέρω [110598] (0.011) ; ἄλοχος [4667] (0.011) ; ἕλκος [33751] (0.011) ; 
0.02477523163510246   T=4,K=0:  πατήρ [80011] (0.027) ; λαμβάνω [61791] (0.024) ; δέησις [23628] (0.023) ; φέρω [110598] (0.018) ; μαρτύριον [65089] (0.017) ; πολύς [85306] (0.015) ; πάρειμι [79223] (0.013) ; πλείων [83669] (0.011) ; πλεῖστος [83665] (0.011) ; Ἑλλάς [33791] (0.010) ; 
0.0844958071259396   T=5,K=0:  λαμβάνω [61791] (0.027) ; πατήρ [80011] (0.017) ; δέησις [23628] (0.016) ; μαρτύριον [65089] (0.016) ; πάρειμι [79223] (0.015) ; φέρω [110598] (0.013) ; βάρβαρος [19346] (0.012) ; Ἑλλάς [33791] (0.012) ; γίγνομαι [22209] (0.011) ; πλεῖστος [83665] (0.010) ; 
0.046636674375504734   T=6,K=0:  λαμβάνω [61791] (0.029) ; πατήρ [80011] (0.021) ; πάρειμι [79223] (0.019) ; Ἑλλάς [33791] (0.019) ; γυνή [23069] (0.015) ; πλεῖστος [83665] (0.015) ; δέησις [23628] (0.011) ; μαρτύριον [65089] (0.011) ; βάρβαρος [19346] (0.011) ; ἥσσων [47617] (0.010) ; 
0.02313443701175445   T=7,K=0:  πλεῖστος [83665] (0.027) ; Ἑλλάς [33791] (0.025) ; πάρειμι [79223] (0.023) ; πατήρ [80011] (0.018) ; λαμβάνω [61791] (0.014) ; γυνή [23069] (0.014) ; εὐνή [44534] (0.010) ; Μεγαρεύς [65542] (0.010) ; βάρβαρος [19346] (0.009) ; φέρω [110598] (0.009) ; 
0.03471029015969521   T=8,K=0:  πάρειμι [79223] (0.022) ; γυνή [23069] (0.019) ; Μεγαρεύς [65542] (0.019) ; πλεῖστος [83665] (0.018) ; πατήρ [80011] (0.017) ; Ἑλλάς [33791] (0.017) ; ἀπόλλυμι [13096] (0.013) ; φέρω [110598] (0.012) ; γνωτός [22546] (0.012) ; τέχνη [103701] (0.012) ; 
0.05742389564228083   T=9,K=0:  πάρειμι [79223] (0.019) ; Ἑλλάς [33791] (0.015) ; Μεγαρεύς [65542] (0.015) ; πατήρ [80011] (0.015) ; γυνή [23069] (0.014) ; τέχνη [103701] (0.011) ; Γαλάται [21480] (0.011) ; λαμβάνω [61791] (0.011) ; λαμυρός [61879] (0.010) ; γνωτός [22546] (0.010) ; 
0.09344367174176219   T=10,K=0:  γυνή [23069] (0.024) ; Μεγαρεύς [65542] (0.016) ; λαμυρός [61879] (0.016) ; πάρειμι [79223] (0.013) ; γνωτός [22546] (0.012) ; πλεῖστος [83665] (0.011) ; λαμβάνω [61791] (0.010) ; πατήρ [80011] (0.010) ; Ἑλλάς [33791] (0.010) ; σῶμα [102000] (0.010) ; 
0.04802121019759405   T=11,K=0:  γυνή [23069] (0.040) ; λαμυρός [61879] (0.028) ; σῶμα [102000] (0.018) ; Ἑλλάς [33791] (0.014) ; Μεγαρεύς [65542] (0.013) ; πάρειμι [79223] (0.013) ; λαμβάνω [61791] (0.013) ; εὐνή [44534] (0.013) ; βάρβαρος [19346] (0.012) ; γνωτός [22546] (0.010) ; 
