####################################################################################################
#   σχῆμα (101851)                                                                                 #
####################################################################################################

σχῆμα:K0 ~ correlation with genres

                          Spearman's ρ         p
σχῆμα: K0 ~ G:Narrative       0.497374  0.083741
σχῆμα: K0 ~ G:Religion        0.402657  0.172533
σχῆμα: K0 ~ G:Essays          0.395946  0.180478
σχῆμα: K0 ~ G:Poetry          0.385758  0.192978
σχῆμα: K0 ~ G:Oratory         0.347691  0.244393
σχῆμα: K0 ~ G:Comedy         -0.288278  0.339495
σχῆμα: K0 ~ G:Letters         0.231455  0.446742
σχῆμα: K0 ~ G:Tragedy        -0.231455  0.446742
σχῆμα: K0 ~ G:Technical       0.090432  0.768908
σχῆμα: K0 ~ G:Philosophy     -0.029724  0.923208


σχῆμα:K0 ~ correlation with subgenres

                                             Spearman's ρ         p
σχῆμα: K0 ~ SG:Essay                             0.409368  0.164814
σχῆμα: K0 ~ SG:Bucolic                           0.385758  0.192978
σχῆμα: K0 ~ SG:History                           0.355432  0.233333
σχῆμα: K0 ~ SG:Theology                          0.349428  0.241883
σχῆμα: K0 ~ SG:Oratory                           0.347691  0.244393
σχῆμα: K0 ~ SG:Rhetoric, poetics, criticism      0.300706  0.318123
σχῆμα: K0 ~ SG:Comedy                           -0.288278  0.339495
σχῆμα: K0 ~ SG:Tragedy                          -0.231455  0.446742
σχῆμα: K0 ~ SG:Letters                           0.231455  0.446742
σχῆμα: K0 ~ SG:Church history                    0.231455  0.446742
σχῆμα: K0 ~ SG:Homily                            0.231455  0.446742
σχῆμα: K0 ~ SG:Hymns                             0.231455  0.446742
σχῆμα: K0 ~ SG:Military                          0.219217  0.471781
σχῆμα: K0 ~ SG:Art History                       0.183450  0.548560
σχῆμα: K0 ~ SG:Hunting                          -0.154303  0.614737
σχῆμα: K0 ~ SG:Mythology                         0.154303  0.614737
σχῆμα: K0 ~ SG:Novel                             0.154303  0.614737
σχῆμα: K0 ~ SG:Horsemanship                     -0.154303  0.614737
σχῆμα: K0 ~ SG:Protreptics                       0.154303  0.614737
σχῆμα: K0 ~ SG:Grammar                           0.154303  0.614737
σχῆμα: K0 ~ SG:Science                          -0.154303  0.614737
σχῆμα: K0 ~ SG:Biography                         0.141191  0.645449
σχῆμα: K0 ~ SG:Medicine                         -0.078621  0.798488
σχῆμα: K0 ~ SG:Narrative                         0.077152  0.802187
σχῆμα: K0 ~ SG:Geography                         0.040871  0.894535
σχῆμα: K0 ~ SG:Philosophy                       -0.029724  0.923208
σχῆμα: K0 ~ SG:Mathematics                      -0.017471  0.954824
σχῆμα: K0 ~ SG:Miscellanea                       0.000000  1.000000
σχῆμα: K0 ~ SG:Natural History                   0.000000  1.000000
σχῆμα: K0 ~ SG:Choral                                 NaN       NaN
σχῆμα: K0 ~ SG:Didactic                               NaN       NaN
σχῆμα: K0 ~ SG:Epic                                   NaN       NaN
σχῆμα: K0 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K0 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K0 ~ SG:Politics                               NaN       NaN
σχῆμα: K0 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K1 ~ correlation with genres

                          Spearman's ρ         p
σχῆμα: K1 ~ G:Narrative       0.582153  0.036847
σχῆμα: K1 ~ G:Technical       0.553893  0.049526
σχῆμα: K1 ~ G:Philosophy      0.497883  0.083374
σχῆμα: K1 ~ G:Oratory         0.441661  0.130803
σχῆμα: K1 ~ G:Essays          0.402657  0.172533
σχῆμα: K1 ~ G:Letters         0.308607  0.304937
σχῆμα: K1 ~ G:Religion        0.281860  0.350833
σχῆμα: K1 ~ G:Tragedy        -0.154303  0.614737
σχῆμα: K1 ~ G:Comedy          0.034943  0.909772
σχῆμα: K1 ~ G:Poetry          0.000000  1.000000


σχῆμα:K1 ~ correlation with subgenres

                                             Spearman's ρ         p
σχῆμα: K1 ~ SG:Geography                         0.572194  0.041009
σχῆμα: K1 ~ SG:Art History                       0.559085  0.046991
σχῆμα: K1 ~ SG:Rhetoric, poetics, criticism      0.529367  0.062832
σχῆμα: K1 ~ SG:Philosophy                        0.497883  0.083374
σχῆμα: K1 ~ SG:Natural History                   0.462910  0.111173
σχῆμα: K1 ~ SG:Miscellanea                       0.462910  0.111173
σχῆμα: K1 ~ SG:Oratory                           0.441661  0.130803
σχῆμα: K1 ~ SG:History                           0.439233  0.133183
σχῆμα: K1 ~ SG:Essay                             0.369103  0.214556
σχῆμα: K1 ~ SG:Biography                         0.356693  0.231561
σχῆμα: K1 ~ SG:Church history                    0.308607  0.304937
σχῆμα: K1 ~ SG:Homily                            0.308607  0.304937
σχῆμα: K1 ~ SG:Hymns                             0.308607  0.304937
σχῆμα: K1 ~ SG:Letters                           0.308607  0.304937
σχῆμα: K1 ~ SG:Military                          0.271235  0.370047
σχῆμα: K1 ~ SG:Mathematics                       0.235864  0.437882
σχῆμα: K1 ~ SG:Hunting                           0.231455  0.446742
σχῆμα: K1 ~ SG:Horsemanship                      0.231455  0.446742
σχῆμα: K1 ~ SG:Science                           0.231455  0.446742
σχῆμα: K1 ~ SG:Narrative                         0.154303  0.614737
σχῆμα: K1 ~ SG:Tragedy                          -0.154303  0.614737
σχῆμα: K1 ~ SG:Mythology                         0.077152  0.802187
σχῆμα: K1 ~ SG:Novel                             0.077152  0.802187
σχῆμα: K1 ~ SG:Grammar                           0.077152  0.802187
σχῆμα: K1 ~ SG:Protreptics                       0.077152  0.802187
σχῆμα: K1 ~ SG:Medicine                         -0.069886  0.820531
σχῆμα: K1 ~ SG:Comedy                            0.034943  0.909772
σχῆμα: K1 ~ SG:Theology                         -0.008736  0.977404
σχῆμα: K1 ~ SG:Bucolic                           0.000000  1.000000
σχῆμα: K1 ~ SG:Choral                                 NaN       NaN
σχῆμα: K1 ~ SG:Didactic                               NaN       NaN
σχῆμα: K1 ~ SG:Epic                                   NaN       NaN
σχῆμα: K1 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K1 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K1 ~ SG:Politics                               NaN       NaN
σχῆμα: K1 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K10 ~ correlation with genres

                           Spearman's ρ         p
σχῆμα: K10 ~ G:Narrative      -0.339118  0.257001
σχῆμα: K10 ~ G:Essays         -0.335548  0.262364
σχῆμα: K10 ~ G:Philosophy     -0.323253  0.281333
σχῆμα: K10 ~ G:Poetry         -0.308607  0.304937
σχῆμα: K10 ~ G:Oratory        -0.253720  0.402906
σχῆμα: K10 ~ G:Religion       -0.248305  0.413358
σχῆμα: K10 ~ G:Tragedy         0.231455  0.446742
σχῆμα: K10 ~ G:Comedy          0.183450  0.548560
σχῆμα: K10 ~ G:Technical      -0.090432  0.768908
σχῆμα: K10 ~ G:Letters         0.077152  0.802187


σχῆμα:K10 ~ correlation with subgenres

                                              Spearman's ρ         p
σχῆμα: K10 ~ SG:Natural History                  -0.385758  0.192978
σχῆμα: K10 ~ SG:Miscellanea                      -0.385758  0.192978
σχῆμα: K10 ~ SG:Rhetoric, poetics, criticism     -0.357088  0.231007
σχῆμα: K10 ~ SG:Philosophy                       -0.323253  0.281333
σχῆμα: K10 ~ SG:History                          -0.320756  0.285280
σχῆμα: K10 ~ SG:Essay                            -0.315415  0.293829
σχῆμα: K10 ~ SG:Bucolic                          -0.308607  0.304937
σχῆμα: K10 ~ SG:Biography                        -0.297244  0.323999
σχῆμα: K10 ~ SG:Oratory                          -0.253720  0.402906
σχῆμα: K10 ~ SG:Tragedy                           0.231455  0.446742
σχῆμα: K10 ~ SG:Narrative                        -0.231455  0.446742
σχῆμα: K10 ~ SG:Art History                      -0.200921  0.510408
σχῆμα: K10 ~ SG:Geography                        -0.189493  0.535229
σχῆμα: K10 ~ SG:Comedy                            0.183450  0.548560
σχῆμα: K10 ~ SG:Theology                         -0.165978  0.587869
σχῆμα: K10 ~ SG:Grammar                          -0.154303  0.614737
σχῆμα: K10 ~ SG:Novel                            -0.154303  0.614737
σχῆμα: K10 ~ SG:Protreptics                      -0.154303  0.614737
σχῆμα: K10 ~ SG:Mythology                        -0.154303  0.614737
σχῆμα: K10 ~ SG:Mathematics                      -0.104828  0.733238
σχῆμα: K10 ~ SG:Medicine                          0.078621  0.798488
σχῆμα: K10 ~ SG:Letters                           0.077152  0.802187
σχῆμα: K10 ~ SG:Homily                            0.077152  0.802187
σχῆμα: K10 ~ SG:Church history                    0.077152  0.802187
σχῆμα: K10 ~ SG:Hymns                             0.077152  0.802187
σχῆμα: K10 ~ SG:Military                         -0.018578  0.951966
σχῆμα: K10 ~ SG:Horsemanship                      0.000000  1.000000
σχῆμα: K10 ~ SG:Science                           0.000000  1.000000
σχῆμα: K10 ~ SG:Hunting                           0.000000  1.000000
σχῆμα: K10 ~ SG:Choral                                 NaN       NaN
σχῆμα: K10 ~ SG:Didactic                               NaN       NaN
σχῆμα: K10 ~ SG:Epic                                   NaN       NaN
σχῆμα: K10 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K10 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K10 ~ SG:Politics                               NaN       NaN
σχῆμα: K10 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K11 ~ correlation with genres

                           Spearman's ρ         p
σχῆμα: K11 ~ G:Technical       0.740408  0.003798
σχῆμα: K11 ~ G:Narrative       0.689541  0.009116
σχῆμα: K11 ~ G:Poetry          0.462910  0.111173
σχῆμα: K11 ~ G:Comedy          0.331957  0.267824
