voluntas : 1571 documents
=================
 34 voluntas 
==================

1571 documents , 1 concepts , 4141 context features (voluntas) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -2, end 21, times 8, dT 3, I 1500


map[]


...ready to estimate
{0.419148, 0.168975, 0.183935, 0.227942,
 0.212954, 0.257553, 0.310744, 0.218749,
 0.262646, 0.246229, 0.238177, 0.252948,
 0.248691, 0.414262, 0.132479, 0.204568,
 0.243587, 0.224921, 0.280809, 0.250682,
 0.231433, 0.156659, 0.430939, 0.180969,
 0.453866, 0.219965, 0.114599,  0.21157,
 0.190858,  0.40512, 0.173759, 0.230263} 

{0.411471, 0.168791, 0.186856, 0.232882,
 0.213485, 0.255402,  0.31187, 0.219242,
 0.262729, 0.246206, 0.237027, 0.254038,
 0.361796, 0.344309,  0.13873, 0.155165,
 0.244055, 0.225011, 0.282241, 0.248694,
 0.237698, 0.150726, 0.440763, 0.170813,
 0.386511, 0.289003, 0.113541, 0.210945,
 0.184849, 0.398134, 0.177018, 0.239999} 

{0.406097, 0.166779, 0.195277, 0.231848,
 0.217426, 0.259881, 0.299275, 0.223418,
 0.260965, 0.245187, 0.238402, 0.255446,
 0.280385, 0.360185,  0.15034,  0.20909,
 0.243296, 0.223034,   0.2848, 0.248869,
 0.247537,  0.15538, 0.444421, 0.152662,
 0.385878, 0.279472, 0.111574, 0.223075,
  0.18789, 0.391053, 0.183085, 0.237972} 

{0.406091, 0.165981, 0.196034, 0.231894,
 0.220509, 0.260116, 0.306047, 0.213327,
 0.260374, 0.244623, 0.236988, 0.258015,
 0.238392, 0.382087, 0.133592, 0.245929,
 0.246047, 0.224301, 0.281058, 0.248594,
 0.239127, 0.159568, 0.456441, 0.144864,
 0.389588, 0.286476, 0.104484, 0.219452,
  0.21402, 0.379567, 0.179266, 0.227148} 

{0.403755, 0.169634, 0.198002,  0.22861,
  0.21946, 0.264146, 0.310941, 0.205453,
 0.260809, 0.244441, 0.232471, 0.262279,
 0.227541, 0.426607, 0.101476, 0.244376,
 0.246224, 0.227838, 0.279749, 0.246189,
 0.248464, 0.141108, 0.466087, 0.144341,
 0.366515, 0.321235, 0.103699, 0.208552,
 0.212876, 0.371142, 0.184469, 0.231512} 

{0.393635, 0.167935,  0.20385, 0.234579,
  0.22601,  0.26352, 0.304343, 0.206127,
 0.260604, 0.243219, 0.232305, 0.263872,
 0.189822,  0.45214, 0.083594, 0.274444,
 0.239523, 0.227912, 0.283139, 0.249426,
 0.248378, 0.135649,   0.4732, 0.142774,
 0.308549, 0.326485, 0.127243, 0.237724,
 0.209537, 0.374559, 0.182366, 0.233537} 

{0.390738, 0.167034, 0.203522, 0.238706,
