464 documents , 1 concepts , 1900 context features (59339) 
kappaF 100.000000, kappaK 2.000000, a0 1.000000, b0 1.000000, K 12, max_docs_per_slice 2000, start -700, end 142, times 9, dT 100, I 10000


map[]

===============  per type  ===============
0.0015071868207920474   T=0,K=0:  κοσμέω [59295] (0.051) ; προσκυνέω [89676] (0.034) ; σελήνη [93634] (0.027) ; γίγνομαι [22209] (0.026) ; οἰκεῖος [72254] (0.021) ; ὅλος [73277] (0.020) ; ἥλιος [46892] (0.018) ; Χρύσιππος [nlsj11071] (0.016) ; οὐρανός [75954] (0.013) ; ἔχω [45996] (0.012) ; 
0.002678242341769411   T=1,K=0:  κοσμέω [59295] (0.048) ; προσκυνέω [89676] (0.036) ; γίγνομαι [22209] (0.030) ; σελήνη [93634] (0.024) ; οἰκεῖος [72254] (0.020) ; ἥλιος [46892] (0.019) ; ὅλος [73277] (0.017) ; Χρύσιππος [nlsj11071] (0.015) ; ταχέως [102669] (0.013) ; οὐρανός [75954] (0.013) ; 
0.060197802850691935   T=2,K=0:  κοσμέω [59295] (0.043) ; προσκυνέω [89676] (0.035) ; γίγνομαι [22209] (0.030) ; σελήνη [93634] (0.020) ; ἥλιος [46892] (0.019) ; οἰκεῖος [72254] (0.018) ; ὅλος [73277] (0.017) ; Χρύσιππος [nlsj11071] (0.015) ; οὐρανός [75954] (0.014) ; γῆ [22100] (0.013) ; 
0.16835628321173984   T=3,K=0:  κοσμέω [59295] (0.042) ; προσκυνέω [89676] (0.035) ; γίγνομαι [22209] (0.026) ; ἥλιος [46892] (0.020) ; σελήνη [93634] (0.019) ; οἰκεῖος [72254] (0.018) ; ὅλος [73277] (0.017) ; οὐρανός [75954] (0.015) ; Χρύσιππος [nlsj11071] (0.013) ; ταχέως [102669] (0.013) ; 
0.4102282915691427   T=4,K=0:  κοσμέω [59295] (0.040) ; προσκυνέω [89676] (0.034) ; γίγνομαι [22209] (0.024) ; σελήνη [93634] (0.020) ; ἥλιος [46892] (0.019) ; ὅλος [73277] (0.018) ; οὐρανός [75954] (0.016) ; οἰκεῖος [72254] (0.015) ; Χρύσιππος [nlsj11071] (0.014) ; γῆ [22100] (0.013) ; 
0.11617104903846474   T=5,K=0:  προσκυνέω [89676] (0.033) ; κοσμέω [59295] (0.032) ; γίγνομαι [22209] (0.027) ; σελήνη [93634] (0.025) ; ἥλιος [46892] (0.018) ; οὐρανός [75954] (0.016) ; ὅλος [73277] (0.015) ; Χρύσιππος [nlsj11071] (0.015) ; οἰκεῖος [72254] (0.015) ; γῆ [22100] (0.014) ; 
0.13654993103847188   T=6,K=0:  κοσμέω [59295] (0.032) ; προσκυνέω [89676] (0.030) ; γίγνομαι [22209] (0.026) ; σελήνη [93634] (0.023) ; ἥλιος [46892] (0.020) ; Χρύσιππος [nlsj11071] (0.016) ; οὐρανός [75954] (0.015) ; γῆ [22100] (0.015) ; οἰκεῖος [72254] (0.013) ; ὅλος [73277] (0.013) ; 
0.05433115909748626   T=7,K=0:  γίγνομαι [22209] (0.031) ; κοσμέω [59295] (0.028) ; προσκυνέω [89676] (0.027) ; ἥλιος [46892] (0.023) ; σελήνη [93634] (0.023) ; γῆ [22100] (0.016) ; Χρύσιππος [nlsj11071] (0.014) ; οὐρανός [75954] (0.014) ; ἔχω [45996] (0.013) ; ὅλος [73277] (0.012) ; 
0.08359011784892362   T=8,K=0:  γίγνομαι [22209] (0.036) ; κοσμέω [59295] (0.025) ; προσκυνέω [89676] (0.025) ; σελήνη [93634] (0.023) ; ἥλιος [46892] (0.022) ; γῆ [22100] (0.017) ; Χρύσιππος [nlsj11071] (0.015) ; ὅλος [73277] (0.015) ; οὐρανός [75954] (0.013) ; ἔχω [45996] (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  κοσμέω [59295] (0.038) ; προσκυνέω [89676] (0.032) ; γίγνομαι [22209] (0.028) ; σελήνη [93634] (0.023) ; ἥλιος [46892] (0.020) ; ὅλος [73277] (0.016) ; οἰκεῖος [72254] (0.016) ; Χρύσιππος [nlsj11071] (0.015) ; οὐρανός [75954] (0.014) ; γῆ [22100] (0.013) ; 

