1443 documents , 1 concepts , 4228 context features (nlsj107632) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.13455367102049906   T=0,K=0:  22209 (0.034) ; 30885 (0.018) ; 74921 (0.018) ; 84234 (0.016) ; 100965 (0.016) ; 20097 (0.015) ; 57460 (0.015) ; 80043 (0.013) ;  (0.013) ; 67555 (0.012) ; 
0.05384236152526948   T=1,K=0:  22209 (0.032) ;  (0.023) ; 57460 (0.021) ; 30885 (0.017) ; 84234 (0.014) ; nlsj889 (0.013) ; 80043 (0.012) ; 74921 (0.011) ; 100965 (0.011) ; 33819 (0.010) ; 
0.04995187631416288   T=2,K=0:  22209 (0.027) ;  (0.024) ; 100965 (0.016) ; 84234 (0.014) ; 57460 (0.014) ; 30885 (0.013) ; 75078 (0.012) ; 62204 (0.011) ; 20097 (0.011) ; 80043 (0.010) ; 
0.0667583667067008   T=3,K=0:  22209 (0.044) ;  (0.020) ; 84234 (0.015) ; 30885 (0.014) ; 100965 (0.012) ; 20097 (0.011) ; 98358 (0.011) ; 57460 (0.010) ; 1564 (0.010) ; nlsj889 (0.010) ; 
0.042195211302530476   T=4,K=0:  22209 (0.037) ;  (0.021) ; 20097 (0.016) ; 57460 (0.012) ; 84234 (0.012) ; 17412 (0.012) ; 80043 (0.012) ; 89666 (0.009) ; 100965 (0.009) ; 33819 (0.009) ; 
0.0849572594590668   T=5,K=0:  22209 (0.028) ; 84234 (0.017) ; 17412 (0.015) ;  (0.013) ; 74921 (0.013) ; 100965 (0.013) ; 57460 (0.011) ; 89666 (0.010) ; 20097 (0.009) ; 90504 (0.009) ; 
0.13940161144117952   T=6,K=0:  22209 (0.018) ; 100965 (0.017) ; 17412 (0.013) ; 114615 (0.013) ; 110639 (0.011) ; 89666 (0.011) ; 84234 (0.010) ; 90504 (0.009) ; 20097 (0.009) ;  (0.009) ; 
0.08660829080635882   T=7,K=0:  22209 (0.021) ; 100965 (0.017) ; 114615 (0.016) ; 26259 (0.012) ; 84234 (0.011) ; 85306 (0.011) ; 17412 (0.011) ; 90504 (0.011) ; 110639 (0.010) ;  (0.009) ; 
0.04398113640161073   T=8,K=0:  22209 (0.014) ; 90504 (0.014) ; 100965 (0.013) ; 74921 (0.013) ; 85306 (0.013) ; 84234 (0.012) ; 114615 (0.012) ; 110639 (0.010) ; 17412 (0.009) ; 26259 (0.009) ; 
0.07434916453213712   T=9,K=0:  90504 (0.014) ;  (0.014) ; 22209 (0.013) ; 100965 (0.011) ; 85306 (0.011) ; 114615 (0.011) ; 84234 (0.010) ; 98173 (0.010) ; 74921 (0.009) ; 115887 (0.008) ; 
0.07272796638228757   T=10,K=0:   (0.015) ; 74921 (0.012) ; 22209 (0.011) ; 100965 (0.011) ; 90504 (0.011) ; 33791 (0.010) ; 94365 (0.010) ; 114615 (0.010) ; 84234 (0.009) ; nlsj11286 (0.008) ; 
0.036723586694266806   T=11,K=0:  114615 (0.017) ; 22209 (0.013) ; 74921 (0.013) ; 84234 (0.013) ; 94365 (0.012) ; 90504 (0.012) ; 100965 (0.012) ;  (0.011) ; nlsj11286 (0.011) ; 73277 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  22209 (0.024) ;  (0.015) ; 100965 (0.013) ; 84234 (0.013) ; 74921 (0.011) ; 57460 (0.010) ; 114615 (0.010) ; 90504 (0.010) ; 17412 (0.009) ; 30885 (0.009) ; 

0.013052132681902015   T=0,K=1:  45996 (0.038) ; 52048 (0.015) ; 86187 (0.013) ; 61791 (0.011) ; 71023 (0.011) ; 114548 (0.010) ; 47735 (0.009) ; 31161 (0.009) ; 68641 (0.008) ; 115193 (0.008) ; 
0.01567477289660887   T=1,K=1:  45996 (0.038) ; 86187 (0.015) ; 35165 (0.013) ; 71023 (0.013) ; 31161 (0.012) ; 52048 (0.009) ; 47735 (0.009) ; 85982 (0.009) ; 68641 (0.008) ; 19789 (0.008) ; 
0.08917624164524506   T=2,K=1:  45996 (0.050) ; 31161 (0.016) ; 47735 (0.011) ; 86187 (0.010) ; 62204 (0.010) ; 71023 (0.010) ; 52048 (0.010) ; 35165 (0.009) ; 80557 (0.008) ; 66173 (0.008) ; 
0.05262646441455458   T=3,K=1:  45996 (0.035) ; 31161 (0.019) ; 62204 (0.010) ; 51373 (0.009) ; 47735 (0.009) ; 75552 (0.008) ; 66173 (0.008) ; 80557 (0.008) ; 71023 (0.008) ; 75306 (0.007) ; 
0.06385944851735409   T=4,K=1:  45996 (0.024) ; 62204 (0.014) ; 66173 (0.012) ; 31161 (0.009) ;  (0.009) ; 47735 (0.008) ; 23069 (0.008) ; 75306 (0.008) ; 51373 (0.008) ; 101024 (0.008) ; 
0.04344059216509949   T=5,K=1:  45996 (0.025) ; 62204 (0.013) ; 66173 (0.010) ; 75306 (0.010) ; 31161 (0.009) ;  (0.009) ; 101024 (0.008) ; 47735 (0.008) ; 23069 (0.007) ; 29883 (0.007) ; 
0.04991878438934037   T=6,K=1:  45996 (0.026) ;  (0.013) ; 29883 (0.012) ; 85982 (0.011) ; 23069 (0.010) ; 66173 (0.009) ; 62204 (0.009) ; 75306 (0.008) ; 47735 (0.008) ; 76703 (0.008) ; 
0.05067296713921492   T=7,K=1:  45996 (0.019) ;  (0.014) ; 29883 (0.011) ; 47735 (0.009) ; nlsj61372 (0.008) ; 42214 (0.008) ; 114753 (0.008) ; 85982 (0.008) ; 66173 (0.008) ; 62204 (0.007) ; 
0.06383457012443364   T=8,K=1:   (0.015) ; 45996 (0.014) ; 31161 (0.011) ; 114753 (0.010) ; 66173 (0.009) ; 62204 (0.009) ; 47735 (0.008) ; 39331 (0.008) ; nlsj561 (0.007) ; 11583 (0.007) ; 
0.09271399043137808   T=9,K=1:  45996 (0.025) ; 114753 (0.020) ; 31161 (0.015) ; 62204 (0.013) ;  (0.011) ; 63772 (0.010) ; 84234 (0.009) ; 47735 (0.009) ; 76029 (0.008) ; 42214 (0.008) ; 
0.07616351307924388   T=10,K=1:  62204 (0.019) ; 31161 (0.018) ; 114753 (0.018) ; 45996 (0.016) ;  (0.015) ; 84234 (0.011) ; 63772 (0.011) ; 47735 (0.009) ; 106974 (0.009) ; 76029 (0.009) ; 
0.10840708125204179   T=11,K=1:  62204 (0.019) ; 114753 (0.017) ; 45996 (0.017) ;  (0.016) ; 84234 (0.013) ; 31161 (0.012) ; 75552 (0.011) ; 106974 (0.011) ; 42214 (0.009) ; 66173 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  45996 (0.027) ; 31161 (0.012) ; 62204 (0.011) ;  (0.010) ; 47735 (0.009) ; 114753 (0.008) ; 66173 (0.008) ; 52048 (0.007) ; 29883 (0.007) ; 86187 (0.007) ; 

0.014135183436268411   T=0,K=2:  62204 (0.017) ;  (0.015) ; 30866 (0.013) ; 45996 (0.013) ; 22825 (0.013) ; 84234 (0.012) ; 20621 (0.012) ; 28566 (0.011) ; 19972 (0.011) ; 22502 (0.011) ; 
0.011158112920076462   T=1,K=2:   (0.019) ; 22825 (0.015) ; 45996 (0.015) ; 20621 (0.013) ; 28566 (0.012) ; 62204 (0.012) ; 84494 (0.012) ; 30866 (0.012) ; 19972 (0.011) ; 105829 (0.011) ; 
0.041005563629042535   T=2,K=2:   (0.019) ; 20621 (0.015) ; 114548 (0.014) ; 68641 (0.013) ; 45996 (0.012) ; 84494 (0.012) ; 62204 (0.011) ; 22825 (0.011) ; 30866 (0.010) ; 25120 (0.010) ; 
0.04008062473823264   T=3,K=2:   (0.030) ; 30866 (0.017) ; 45996 (0.013) ; 28566 (0.011) ; 84234 (0.011) ; nlsj33345 (0.010) ; 114548 (0.010) ; 20621 (0.009) ; 84494 (0.009) ; 19972 (0.009) ; 
0.10824995915283724   T=4,K=2:   (0.017) ; 45996 (0.017) ; 20621 (0.012) ; 19972 (0.011) ; 30866 (0.011) ; 25120 (0.011) ; 84234 (0.010) ; 22209 (0.010) ; 28566 (0.010) ; nlsj33345 (0.010) ; 
0.036618078829632604   T=5,K=2:  45996 (0.019) ;  (0.017) ; 20621 (0.015) ; 84234 (0.011) ; 22209 (0.010) ; 27847 (0.010) ; 25120 (0.010) ; 30866 (0.010) ; 72202 (0.008) ; 72980 (0.008) ; 
0.10910444720192512   T=6,K=2:   (0.027) ; 20621 (0.019) ; 84234 (0.018) ; 45996 (0.012) ; 63772 (0.012) ; 22209 (0.010) ; 28566 (0.009) ; 25120 (0.009) ; 64866 (0.008) ; 27847 (0.008) ; 
0.11931887146743735   T=7,K=2:  45996 (0.015) ; 61791 (0.013) ; 22209 (0.012) ; 64866 (0.011) ; 28566 (0.011) ; 20621 (0.010) ; 43206 (0.010) ; 63772 (0.010) ;  (0.009) ; 84234 (0.008) ; 
0.19017175565751923   T=8,K=2:  45996 (0.018) ;  (0.014) ; 22209 (0.014) ; 20621 (0.012) ; 84234 (0.010) ; 27847 (0.010) ; 28566 (0.010) ; 68641 (0.009) ; 63772 (0.008) ; 19972 (0.008) ; 
0.07726415847947614   T=9,K=2:  22209 (0.019) ; 45996 (0.016) ; 84234 (0.014) ;  (0.013) ; 20621 (0.011) ; 28566 (0.010) ; 46646 (0.010) ; 27847 (0.010) ; 68641 (0.009) ; 25120 (0.008) ; 
0.16079625099436737   T=10,K=2:  22209 (0.022) ; 45996 (0.019) ;  (0.016) ; 28569 (0.013) ; 25120 (0.013) ; 61791 (0.012) ; 84234 (0.012) ; 46646 (0.009) ; 20621 (0.008) ; 28566 (0.008) ; 
