date	genre	author	work	tlg author	tlg work	sentence location	sentence id	sentence ids	sentence original	target id	sense id	disambiguation	subgenre	subsense
-700	Poetry	Homer	Iliad	0012	001	2.212	470	nlsj9544 68641 5222 58751 41858 112307 50165 3371 85306 72202 65315 59339 42432 19546 nlsj175 21802 14755	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	kosmos:order	1	Epic	kosmos-1.1
-700	Poetry	Homer	Iliad	0012	001	4.144	1097	19546 57039 293 6174 59339 50824 33438 60556	βασιλῆϊ δὲ κεῖται ἄγαλμα ἀμφότερον κόσμός θ’ ἵππῳ ἐλατῆρί τε κῦδος	59339	kosmos:decoration	1	Epic	kosmos-2.1
-700	Poetry	Homer	Iliad	0012	001	5.757	1727	46195 80011 70174 14990 53496 42214 75571 72627 13096 61925 18617 65315 59339 18753 31977 103190 61013 14882 13098 18550 9014 72202 48121	Ζεῦ πάτερ οὐ νεμεσίζῃ Ἄρῃ τάδε καρτερὰ ἔργα ὁσσάτιόν τε καὶ οἷον ἀπώλεσε λαὸν Ἀχαιῶν μὰψ ἀτὰρ οὐ κατὰ κόσμον ἐμοὶ δ’ ἄχος οἳ δὲ ἕκηλοι τέρπονται Κύπρίς τε καὶ ἀργυρότοξος Ἀπόλλων ἄφρονα τοῦτον ἀνέντες ὃς οὔ τινα οἶδε θέμιστα	59339	kosmos:order	1	Epic	kosmos-1.2
-700	Poetry	Homer	Iliad	0012	001	8.10	2355	11388 nlsj96033 30790 70910 42827 105816 14975 nlsj4526 83869 59339 42827 73355	ὃν δ’ ἂν ἐγὼν ἀπάνευθε θεῶν ἐθέλοντα νοήσω ἐλθόντ’ ἢ Τρώεσσιν ἀρηγέμεν ἢ Δαναοῖσι πληγεὶς οὐ κατὰ κόσμον ἐλεύσεται Οὔλυμπον δέ	59339	kosmos:order	1	Epic	kosmos-1.2
-700	Poetry	Homer	Iliad	0012	001	10.471	3292	43711 52939 1229 36179 nlsj61372 113963 57964 43309 59339 105282	οἳ δ’ εὗδον καμάτῳ ἀδηκότες ἔντεα δέ σφιν καλὰ παρ’ αὐτοῖσι χθονὶ κέκλιτο εὖ κατὰ κόσμον τριστοιχί	59339	kosmos:order	4	Epic	kosmos-1.1
-700	Poetry	Homer	Iliad	0012	001	11.47	3373	47421 38547 37805 41295 50824 43309 59339 42785 17378 102663 90830 103678 49634 92083	ἡνιόχῳ μὲν ἔπειτα ἑῷ ἐπέτελλεν ἕκαστος ἵππους εὖ κατὰ κόσμον ἐρυκέμεν αὖθ’ ἐπὶ τάφρῳ αὐτοὶ δὲ πρυλέες σὺν τεύχεσι θωρηχθέντες ῥώοντ’	59339	kosmos:order	4	Epic	kosmos-1.1
-700	Poetry	Homer	Iliad	0012	001	12.84	3838	47421 38547 37805 41295 50824 43309 59339 42785 17378 102663	ἡνιόχῳ μὲν ἔπειτα ἑῷ ἐπέτελλεν ἕκαστος ἵππους εὖ κατὰ κόσμον ἐρυκέμεν αὖθ’ ἐπὶ τάφρῳ	59339	kosmos:order	4	Epic	kosmos-1.1
-700	Poetry	Homer	Iliad	0012	001	12.223	3898	91489 102832 18617 92323 93917 65552 31035 18626 59339 69863 42827 56480	ὣς ἡμεῖς εἴ πέρ τε πύλας καὶ τεῖχος Ἀχαιῶν ῥηξόμεθα σθένεϊ μεγάλῳ εἴξωσι δ’ Ἀχαιοί οὐ κόσμῳ παρὰ ναῦφιν ἐλευσόμεθ’ αὐτὰ κέλευθα	59339	kosmos:order	4	Epic	kosmos-1.1
-700	Poetry	Homer	Iliad	0012	001	14.187	4560	115067 103922 59339 19123 nlsj177 47734 52571 18519 11388 nlsj96033 69052 31161	αὐτὰρ ἐπεὶ δὴ πάντα περὶ χροῒ θήκατο κόσμον βῆ ῥ’ ἴμεν ἐκ θαλάμοιο καλεσσαμένη δ’ Ἀφροδίτην τῶν ἄλλων ἀπάνευθε θεῶν πρὸς μῦθον ἔειπε	59339	kosmos:decoration	4	Epic	kosmos-2.1
-700	Poetry	Homer	Iliad	0012	001	17.204	5683	43089 48038 35513 59699 103678 59339 59655 116218 2654	τοῦ δὴ ἑταῖρον ἔπεφνες ἐνηέα τε κρατερόν τε τεύχεα δ’ οὐ κατὰ κόσμον ἀπὸ κρατός τε καὶ ὤμων εἵλευ	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Homer	Iliad	0012	001	24.622	8320	43089 24164 5816 43309 59339 68115 nlsj50917 80362 71911 74655 82496 42818	ἕταροι δ’ ἔδερόν τε καὶ ἄμφεπον εὖ κατὰ κόσμον μίστυλλόν τ’ ἄρ’ ἐπισταμένως πεῖράν τ’ ὀβελοῖσιν ὄπτησάν τε περιφραδέως ἐρύσαντό τε πάντα	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Homer	Odyssey	0012	002	3.137	558	52571 761 18626 65315 59339 46892 53956 42827 72522 19363 106566 18617 69052 69013 61925 414	τὼ δὲ καλεσσαμένω ἀγορὴν ἐς πάντας Ἀχαιούς μάψ ἀτὰρ οὐ κατὰ κόσμον ἐς ἠέλιον καταδύντα οἱ ἦλθον οἴνῳ βεβαρηότες υἷες Ἀχαιῶν μῦθον μυθείσθην τοῦ εἵνεκα λαὸν ἄγειραν	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Homer	Odyssey	0012	002	8.178	1953	75092 49415 96698 nlsj56179 31161 59339	ὤρινάς μοι θυμὸν ἐνὶ στήθεσσι φίλοισιν εἰπὼν οὐ κατὰ κόσμον	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Homer	Odyssey	0012	002	8.489	2132	63013 59339 18617 72702 1587 75552 42230 79983 75552 68239 18626 nlsj68228 79223 3128	λίην γὰρ κατὰ κόσμον Ἀχαιῶν οἶτον ἀείδεις ὅσσ’ ἔρξαν τ’ ἔπαθόν τε καὶ ὅσσ’ ἐμόγησαν Ἀχαιοί ὥς τέ που ἢ αὐτὸς παρεὼν ἢ ἄλλου ἀκούσας	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Homer	Odyssey	0012	002	8.492	2133	408 66573 50824 59339 1587 28203 nlsj3168 84234 nlsj2559 3615 27945 1083 27293 72122 8665 nlsj39585 nlsj1698 36635	ἀλλ’ ἄγε δὴ μετάβηθι καὶ ἵππου κόσμον ἄεισον δουρατέου τὸν Ἐπειὸς ἐποίησεν σὺν Ἀθήνῃ ὅν ποτ’ ἐς ἀκρόπολιν δόλον ἤγαγε δῖος Ὀδυσσεὺς ἀνδρῶν ἐμπλήσας οἵ ῥ’ Ἴλιον ἐξαλάπαξαν	59339	kosmos:order	4	Epic	kosmos-1.3
-700	Poetry	Homer	Odyssey	0012	002	13.76	3410	51825 59339 80371 33923 104712 63212	τοὶ δὲ καθῖζον ἐπὶ κλησιν ἕκαστοι κόσμῳ πεῖσμα δ’ ἔλυσαν ἀπὸ τρητοῖο λίθοις	59339	kosmos:order	4	Epic	kosmos-1.1
-700	Poetry	Homer	Odyssey	0012	002	14.363	3802	59339 72610 80327 31161	ἀλλὰ τά γ’ οὐ κατὰ κόσμον ὀΐομαι οὐδέ με πείσεις εἰπὼν ἀμφ’ Ὀδυσῆϊ	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Homer	Odyssey	0012	002	20.180	5584	77698 25053 72610 86371 113560 22036 59339 2772	πάντως οὐκέτι νῶϊ διακρινέεσθαι ὀΐω πρὶν χειρῶν γεύσασθαι ἐπεὶ σύ περ οὐ κατὰ κόσμον αἰτίζεις	59339	kosmos:order	4	Epic	kosmos-1.2
-700	Poetry	Hesiod	Theogony	0020	001	586	244	36505 35541 48291 8909 59339 292 22270 71930	ἐξάγαγ’ ἔνθα περ ἄλλοι ἔσαν θεοὶ ἠδ’ ἄνθρωποι κόσμῳ ἀγαλλομένην γλαυκώπιδος ὀβριμοπάτρης	59339	kosmos:decoration	1	Epic	kosmos-2.1
-650	Religion	Hymns	Hymn 04 To Hermes	0013	004	255	138	102668 26197 59339	ἐπεὶ τάχα νῶι διοισόμεθ’ οὐ κατὰ κόσμον	59339	kosmos:order	4	Hymns	kosmos-1.2
-650	Religion	Hymns	Hymn 04 To Hermes	0013	004	431	246	86297 22209 1899 21941 48291 46195 657 106566 35414 59339 42065 57343	τοὺς δὲ κατὰ πρέσβιν τε καὶ ὡς γεγάασιν ἕκαστος ἀθανάτους ἐγέραιρε θεοὺς Διὸς ἀγλαὸς υἱός πάντ’ ἐνέπων κατὰ κόσμον ἐπωλένιον κιθαρίζων	59339	kosmos:order	4	Hymns	kosmos-1.1
-650	Religion	Hymns	Hymn 04 To Hermes	0013	004	478	273	44506 113560 45996 63111 43071 nlsj61372 43309 59339 45794 786	εὐμόλπει μετὰ χερσὶν ἔχων λιγύφωνον ἑταίρην καλὰ καὶ εὖ κατὰ κόσμον ἐπιστάμενος ἀγορεύειν	59339	kosmos:order	1	Hymns	kosmos-1.2
-650	Religion	Hymns	Hymn 05 To Aphrodite	0013	005	161	81	62799 44814 38876 59339 90504 115067 2654 110068 85814 22472 33722 52883 75182	οἳ δ’ ἐπεὶ οὖν λεχέων εὐποιήτων ἐπέβησαν κόσμον μέν οἱ πρῶτον ἀπὸ χροὸς εἷλε φαεινόν πόρπας τε γναμπτάς θ’ ἕλικας κάλυκάς τε καὶ ὅρμους	59339	kosmos:decoration	1	Hymns	kosmos-2.1
-650	Religion	Hymns	Hymn 06 To Aphrodite	0013	006	14	6	115067 59339 103922 1083 1899	αὐτὰρ ἐπειδὴ πάντα περὶ χροῒ κόσμον ἔθηκαν ἦγον ἐς ἀθανάτους	59339	kosmos:decoration	4	Hymns	kosmos-2.1
-650	Religion	Hymns	Hymn 27 To Artemis	0013	027	16	5	35541 54265 76965 104311 50605 46613 113379 115067 59339 45996 36956 114468	ἔνθα κατακρεμάσασα παλίντονα τόξα καὶ ἰοὺς ἡγεῖται χαρίεντα περὶ χροῒ κόσμον ἔχουσα ἐξάρχουσα χορούς	59339	kosmos:order	4	Hymns	kosmos-1.1
-650	Religion	Hymns	Hymn 32 To Selene	0013	032	3	2	2181 21401 33728 75934 59655 1899 85306 59339 75267 2181 61875	ἧς ἄπο αἴγλη γαῖαν ἑλίσσεται οὐρανόδεικτος κρατὸς ἀπ’ ἀθανάτοιο πολὺς δ’ ὑπὸ κόσμος ὄρωρεν αἴγλης λαμπούσης	59339	kosmos:decoration	4	Hymns	kosmos-2.1
-498	Poetry	Pindar	Pythians	0033	002	2.9	59	50631 79595 113560 26438 34729 42622 2182 103922 59339 71580 27618 15214 80370 53968 93917 50722 nlsj79629 44990 52571 48291	ἐπὶ γὰρ ἰοχέαιρα παρθένος χερὶ διδύμᾳ ὅ τ’ ἐναγώνιος Ἑρμᾶς αἰγλᾶντα τίθησι κόσμον ξεστὸν ὅταν δίφρον ἔν θ’ ἅρματα πεισιχάλινα καταζευγνύῃ σθένος ἵππιον ὀρσοτρίαιναν εὐρυβίαν καλέων θεόν	59339	kosmos:decoration	4	Choral	kosmos-2.1
-498	Poetry	Pindar	Pythians	0033	002	3.82	153	28566 70708 59339 110598 260 nlsj61372 104685 37720	τὰ μὲν ὦν οὐ δύνανται νήπιοι κόσμῳ φέρειν ἀλλ’ ἀγαθοί τὰ καλὰ τρέψαντες ἔξω	59339	kosmos:order	4	Choral	kosmos-1.2
-488	Poetry	Pindar	Olympians	0033	001	3.9	91	48240 70874 8909 11106 59589 45691 90504 17183 33787 20104 nlsj4018 8665 110006 58782 19282 nlsj58503 59339 33308	τᾶς ἄπο θεόμοροι νίσοντ’ ἐπ’ ἀνθρώπους ἀοιδαί ᾧ τινι κραίνων ἐφετμὰς Ἡρακλέος προτέρας ἀτρεκὴς Ἑλλανοδίκας γλεφάρων Αἰτωλὸς ἀνὴρ ὑψόθεν ἀμφὶ κόμαισι βάλῃ γλαυκόχροα κόσμον ἐλαίας	59339	kosmos:decoration	4	Choral	kosmos-2.1
