date	genre	author	work	tlg author	tlg work	sentence location	sentence id	sentence ids	sentence original	target id	sense id	disambiguation	subgenre	subsense
-700	Comedy	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Essays	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Letters	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Narrative	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Oratory	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Philosophy	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Poetry	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Religion	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Technical	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
-700	Tragedy	Homer	Iliad	0012	001	2.212	470	59339	Θερσίτης δ’ ἔτι μοῦνος ἀμετροεπὴς ἐκολῴα ὃς ἔπεα φρεσὶν ᾗσιν ἄκοσμά τε πολλά τε ᾔδη μάψ ἀτὰρ οὐ κατὰ κόσμον ἐριζέμεναι βασιλεῦσιν ἀλλ’ ὅ τι οἱ εἴσαιτο γελοίϊον Ἀργείοισιν ἔμμεναι	59339	NA	1	Epic	kosmos-1.1
