date	genre	author	work	tlg author	tlg work	sentence location	sentence id	sentence ids	sentence original	target id	sense id	disambiguation
-5	-430	Narrative	Herodotus	Histories	0016	001	4.192.3	5291	69419 21920 105070 17730	μυῶν δὲ γένεα τριξὰ αὐτόθι ἔστι	69419	mus-1	2
-5	-425	Comedy	Aristophanes	Acharnians	0019	001		555	1564 106114 69419 79947 678 37616	ὑμὲς τῶν ἀεί ὅκκ’ ἐσβάλητε τὼς ἀρωραῖοι μύες πάσσακι τὰς ἄγλιθας ἐξορύσσετε	69419	mus-1	1
-5	-422	Comedy	Aristophanes	Wasps	0019	004		862	94483 11229 nlsj9526 110639 59005 63814 69419 21487 66173 62204 8665	ὦ σκαιὲ κἀπαίδευτε Θεογένης ἔφη τῷ κοπρολόγῳ καὶ ταῦτα λοιδορούμενος μῦς καὶ γαλᾶς μέλλεις λέγειν ἐν ἀνδράσιν	69419	mus-1	2
-5	-420	Technical	Hippocrates	Aphorisms	0627	012	7.36	491	74621 70556 87413 98234 93812 85665 74378 69419 22209 37720 104355 22209 13852 88855 37720	Ὁκόσοισι δὲ νεφριτικοῖσιν ἐοῦσι τὰ προειρημένα συμβαίνει σημήϊα πόνοι τε ὀξέες περὶ τοὺς μύας τοὺς Ραχιαίους γίνονται ἢν μὲν περὶ τοὺς ἔξω τόπους γίνωνται ἀπόστημα προσδέχου ἐσόμενον ἔξω	69419	mus-4	1
-5	-420	Technical	Hippocrates	De officina medici	0627	008	15	150	66755 26034 73672 45996 37405 48504 69419 111764 70495 75595 nlsj71743 43975 45245	ἐν δὲ τῇ μεταλλαγῇ ἐκ διατάσιος ὅμοια ταῦτα ἕξουσιν ἐς ἕξιν ἢ θέσιν μύες φλέβες νεῦρα ὀστέα ᾗ μάλιστα εὔθετα καὶ εὔσχετα	69419	mus-4	1
-5	-420	Technical	Hippocrates	Mochlicus or Instruments of Reduction	0627	011	23	191	58429 15011 70495 69419 36216 109729	κοινὸν τοῦτο ἄρθροισι νεύροισι μυσὶν ἐντέροισιν ὑστέρῃσιν ἄλλοισιν	69419	mus-4	1
-5	-420	Technical	Hippocrates	On Fractures	0627	009	44	625	24340 22209 115374 97606 621 26002 111764 10933 69419 102795	δῆλον δὲ γίνεται ψαυόμενον κατὰ τὴν ξύγκαμψιν τοῦ ἀγκῶνος παρὰ τὴν διασχίδα τῆς φλεβὸς τὴν ἄνωθεν τοῦ μυὸς τείνουσαν	69419	mus-4	1
-5	-420	Technical	Hippocrates	On the Articulations	0627	010	57	874	85306 102000 1199 45996 70495 100964 69419 101851 83665 83665 11058 22210 72610 36216 112720 98584 58319 109729 83468 100964	πολλὰ δὲ καὶ ἄλλα κατὰ τὸ σῶμα τοιαύτας ἀδελφίξιας ἔχει καὶ κατὰ νεύρων ξυντάσιας καὶ κατὰ μυῶν σχήματα καὶ πλεῖστά τε καὶ πλείστου ἄξια γινώσκεσθαι ἢ ὥς τις οἴεται καὶ κατὰ τὴν τοῦ ἐντέρου φύσιν καὶ τὴν τῆς ξυμπάσης κοιλίης καὶ κατὰ τὰς τῶν ὑστερέων πλάνας καὶ ξυντάσιας	69419	mus-4	1
-5	-415	Oratory	Andocides	On the Mysteries	0027	001	132	488	8665 71312 41357 nlsj5856 98541 1093 114624 31537 104655 43260 39186 46804 61016 16132 27847 69419 nlsj4603 71492 31333 33631 49589 116416 11058 70958	ἀλλὰ γάρ ὦ ἄνδρες διὰ τί ποτε τοῖς ἐμοὶ νυνὶ ἐπιτιθεμένοις μετὰ Καλλίου καὶ συμπαρασκευάσασι τὸν ἀγῶνα καὶ χρήματα εἰσενεγκοῦσιν ἐπ’ ἐμοὶ τρία μὲν ἔτη ἐπιδημῶν καὶ ἥκων ἐκ Κύπρου οὐκ ἀσεβεῖν ἐδόκουν αὐτοῖς μυῶν μὲν Ἀ Δελφόν ἔτι δὲ ἄλλους ξένους ἐμαυτοῦ καὶ εἰσιὼν εἰς τὸ Ἐλευσίνιον καὶ θύων ὥσπερ ἐμαυτὸν ἄξιον νομίζω εἶναι	69419	w	7
-4	-370	Narrative	Xenophon	Cyropaedia	0032	007	8.3.27	4391	23658 30790 35541 69419 19282 4958 8665 260	καὶ μὴν ἐγὼ δεῖξαί σοι θέλω ἔνθα κἂν μύων βάλῃς οὐκ ἂν ἁμάρτοις ἀνδρὸς ἀγαθοῦ	69419	w	7
