date	genre	author	work	tlg author	tlg work	sentence location	sentence id	sentence ids	sentence original	target id	sense id	disambiguation
-7	-800	Poetry	Homer	Iliad	0012	001	22.254	7304	15133 65096 nlsj320 40888 15281	τοὶ γὰρ ἄριστοι μάρτυροι ἔσσονται καὶ ἐπίσκοποι ἁρμονιάων	15281	harmonia-2	1
-7	-800	Poetry	Homer	Odyssey	0012	002	5.247	1345	103388 15274 22615 15281 14708	τέτρηνεν δ’ ἄρα πάντα καὶ ἥρμοσεν ἀλλήλοισιν γόμφοισιν δ’ ἄρα τήν γε καὶ ἁρμονίῃσιν ἄρασσεν	15281	harmonia-1	1
-7	-800	Poetry	Homer	Odyssey	0012	002	5.361	1410	28101 15281 14705 104448 66294 104119 3903 79983	ὄφρ’ ἂν μέν κεν δούρατ’ ἐν ἁρμονίῃσιν ἀρήρῃ τόφρ’ αὐτοῦ μενέω καὶ τλήσομαι ἄλγεα πάσχων	15281	harmonia-1	1
-5	-498	Poetry	Pindar	Pythians	0033	002	8.67	446	7094 33304 45499 71023 15281 20097 75552 70312	ἄναξ ἑκόντι δ’ εὔχομαι νόῳ κατά τιν’ ἁρμονίαν βλέπειν ἀμφ’ ἕκαστον ὅσα νέομαι	15281	harmonia-2	2
-5	-485	Poetry	Pindar	Nemeans	0033	003	4.44	107	37716 22389 17595 112125 64050 15281 66187 110979 nlsj8342 61016 35541 nlsj10580 11581 nlsj10534	ἐξύφαινε γλυκεῖα καὶ τόδ’ αὐτίκα φόρμιγξ Λυδίᾳ σὺν ἁρμονίᾳ μέλος πεφιλημένον Οἰνώνᾳ τε καὶ Κύπρῳ ἔνθα Τεῦκρος ἀπάρχει ὁ Τελαμωνιάδας	15281	harmonia-4.3	1
-5	-457	Tragedy	Aeschylus	Prometheus Bound	0085	003	2.550	276	nlsj68230 46195 15281 48910 79418 20600	οὔποτε τὰν Διὸς ἁρμονίαν θνατῶν παρεξίασι βουλαί	15281	harmonia-3	2
-5	-430	Narrative	Herodotus	Histories	0016	001	2.96.2	2209	43061 15281 76730 21187	ἔσωθεν δὲ τὰς ἁρμονίας ἐν ὦν ἐπάκτωσαν τῇ βύβλῳ	15281	harmonia-1	1
-5	-424	Comedy	Aristophanes	Knights	0019	002		421	71312 74735 78323 33511 32657 46822 104274 35360 15281 26284	νυνὶ δ’ ὑμεῖς αὐτὸν ὁρῶντες παραληροῦντ’ οὐκ ἐλεεῖτε ἐκπιπτουσῶν τῶν ἠλέκτρων καὶ τοῦ τόνου οὐκέτ’ ἐνόντος τῶν θ’ ἁρμονιῶν διαχασκουσῶν	15281	harmonia-4.3β	1
-5	-424	Comedy	Aristophanes	Knights	0019	002		706	31562 57351 74777 11206 56496 15281 28566 64914 29817	κᾆτα τὸν κιθαριστὴν ὀργισθέντ’ ἀπάγειν κελεύειν ὡς ἁρμονίαν ὁ παῖς οὗτος οὐ δύναται μαθεῖν ἢν μὴ Δωροδοκιστί	15281	harmonia-4.3	1
-5	-423	Comedy	Aristophanes	Clouds	0019	003	966	773	31562 87969 1646 26412 67526 100930 77017 82658 23726 103805 20185 36180 15281 80011 77928	εἶτ’ αὖ προμαθεῖν ᾆσμ’ ἐδίδασκεν τὼ μηρὼ μὴ ξυνέχοντας ἢ Παλλάδα περσέπολιν δεινὰν ἢ τηλέπορόν τι βόαμα ἐντειναμένους τὴν ἁρμονίαν ἣν οἱ πατέρες παρέδωκαν	15281	harmonia-4.3	1
-5	-420	Technical	Hippocrates	De officina medici	0627	008	25	199	25905 15281 56991 75595 42290 113388	τὰ δὲ καὶ τῶν διαστασίων τῶν κατὰ τὰς ἁρμονίας ἐν τοῖσι κατὰ τὴν κεφαλὴν ὀστέοισιν ἐρεισμάτων χάριν	15281	harmonia-1	1
-5	-411	Comedy	Aristophanes	Thesmophoriazusae	0019	008	160	144	94711 nlsj1687 34788 nlsj10592 4332 15281 115100 68138 51562 nlsj5578 3398 nlsj61372 nlsj61372 5521	σκέψαι δ’ ὅτι Ἴβυκος ἐκεῖνος κἀνακρέων ὁ Τήιος κἀλκαῖος οἳ περὶ ἁρμονίαν ἐχύμισαν ἐμιτροφόρουν τε καὶ διεκλῶντ’ Ἰωνικῶς καὶ Φρύνιχος τοῦτον γὰρ οὖν ἀκήκοας αὐτός τε καλὸς ἦν καὶ καλῶς ἠμπέσχετο	15281	harmonia-4.3	1
-4	-395	Philosophy	Plato	Hippias Major	0059	025	285	115	24506 3466 45794 8909 24847 22739 28569 98162 92783 15281	ἀλλὰ δῆτα ἐκεῖνα ἃ σὺ ἀκριβέστατα ἐπίστασαι ἀνθρώπων διαιρεῖν περί τε γραμμάτων δυνάμεως καὶ συλλαβῶν καὶ ῥυθμῶν καὶ ἁρμονιῶν	15281	harmonia-4.3	1
-4	-395	Philosophy	Plato	Hippias Major	0059	025	285	116	84363 260 15281 22739	ποίων ὠγαθέ ἁρμονιῶν καὶ γραμμάτων	15281	harmonia-4.3	2
-4	-395	Philosophy	Plato	Hippias Minor	0059	026	368	156	103701 15618 62204 41021 18334 26196 92783 15281 22739 75019 77699 85306 27842 68185	καὶ περὶ τῶν τεχνῶν δὴ ὧν ἄρτι ἐγὼ ἔλεγον ἐπιστήμων ἀφικέσθαι διαφερόντως τῶν ἄλλων καὶ περὶ ῥυθμῶν καὶ ἁρμονιῶν καὶ γραμμάτων ὀρθότητος καὶ ἄλλα ἔτι πρὸς τούτοις πάνυ πολλά ὡς ἐγὼ δοκῶ μνημονεύειν	15281	harmonia-4.3	1
-4	-395	Philosophy	Plato	Ion	0059	027	534	110	41858 84248 260 103701 35576 55905 nlsj61372 62204 84238 66186 260 116408 116416 59176 34653 75475 66186 34653 nlsj61372 65975 84234 33953 15281 92783 19181 55905 116416 19183 15822 85953 65983 21429 55905 34653 66186 115887 42159 75555 62204	πάντες γὰρ οἵ τε τῶν ἐπῶν ποιηταὶ οἱ ἀγαθοὶ οὐκ ἐκ τέχνης ἀλλ’ ἔνθεοι ὄντες καὶ κατεχόμενοι πάντα ταῦτα τὰ καλὰ λέγουσι ποιήματα καὶ οἱ μελοποιοὶ οἱ ἀγαθοὶ ὡσαύτως ὥσπερ οἱ κορυβαντιῶντες οὐκ ἔμφρονες ὄντες ὀρχοῦνται οὕτω καὶ οἱ μελοποιοὶ οὐκ ἔμφρονες ὄντες τὰ καλὰ μέλη ταῦτα ποιοῦσιν ἀλλ’ ἐπειδὰν ἐμβῶσιν εἰς τὴν ἁρμονίαν καὶ εἰς τὸν ῥυθμόν βακχεύουσι καὶ κατεχόμενοι ὥσπερ αἱ βάκχαι ἀρύονται ἐκ τῶν ποταμῶν μέλι καὶ γάλα κατεχόμεναι ἔμφρονες δὲ οὖσαι οὔ καὶ τῶν μελοποιῶν ἡ ψυχὴ τοῦτο ἐργάζεται ὅπερ αὐτοὶ λέγουσι	15281	harmonia-4.3β	1
-4	-395	Philosophy	Plato	Laches	0059	019	188	188	58789 27847 68891 15281 nlsj61372 15274 64165 nlsj80964 74752 19972 98982 63772 42214 17050 29809 49729 72610 nlsj57554 64051 68641 33822 15281	καὶ κομιδῇ μοι δοκεῖ μουσικὸς ὁ τοιοῦτος εἶναι ἁρμονίαν καλλίστην ἡρμοσμένος οὐ λύραν οὐδὲ παιδιᾶς ὄργανα ἀλλὰ τῷ ὄντι αὐτὸς αὑτοῦ τὸν βίον σύμφωνον τοῖς λόγοις πρὸς τὰ ἔργα ἀτεχνῶς δωριστὶ ἀλλ’ οὐκ ἰαστί οἴομαι δὲ οὐδὲ φρυγιστὶ οὐδὲ λυδιστί ἀλλ’ ἥπερ μόνη Ἑλληνική ἐστιν ἁρμονία	15281	harmonia-4.3	1
-4	-395	Philosophy	Plato	Protagoras	0059	022	326	328	57343 64914 84248 260 84238 26412 66186 57347 36180 92783 15281 6325 72259 115887 76703 47007 45003 43462 22209 114651 62204 86219	πρὸς δὲ τούτοις ἐπειδὰν κιθαρίζειν μάθωσιν ἄλλων αὖ ποιητῶν ἀγαθῶν ποιήματα διδάσκουσι μελοποιῶν εἰς τὰ κιθαρίσματα ἐντείνοντες καὶ τοὺς ῥυθμούς τε καὶ τὰς ἁρμονίας ἀναγκάζουσιν οἰκειοῦσθαι ταῖς ψυχαῖς τῶν παίδων ἵνα ἡμερώτεροί τε ὦσιν καὶ εὐρυθμότεροι καὶ εὐαρμοστότεροι γιγνόμενοι χρήσιμοι ὦσιν εἰς τὸ λέγειν τε καὶ πράττειν	15281	harmonia-4.3	1
-4	-375	Philosophy	Plato	Cratylus	0059	005	405	588	68891 nlsj32160 108660 4754 93789 84552 36165 75954 84566 52571 11106 15281 98979 52571 110639 58853 68891 16667 15281	κατὰ δὲ τὴν μουσικὴν δεῖ ὑπολαβεῖν ὅτι τὸ ἄλφα σημαίνει πολλαχοῦ τὸ καὶ ἐνταῦθα τὴν καὶ περὶ τὸν οὐρανόν οὓς δὴ πόλους καλοῦσιν καὶ περὶ τὴν ἐν τῇ ᾠδῇ ἁρμονίαν ἣ δὴ συμφωνία καλεῖται ὅτι ταῦτα πάντα ὥς φασιν οἱ κομψοὶ περὶ μουσικὴν καὶ ἀστρονομίαν ἁρμονίᾳ τινὶ πάντα	15281	harmonia-4.3	1
-4	-375	Philosophy	Plato	Cratylus	0059	005	405	589	40983 48291 15281 48291 8909	ἐπιστατεῖ δὲ οὗτος ὁ θεὸς τῇ ἁρμονίᾳ αὐτὰ πάντα καὶ κατὰ θεοὺς καὶ κατ’ ἀνθρώπους	15281	harmonia-4.3α	2
-4	-375	Philosophy	Plato	Cratylus	0059	005	416	841	15281 68641 67352 77882	ἁρμονίᾳ μόνον καὶ μήκει τοῦ οὖ παρῆκται	15281	harmonia-4.5	2
-4	-375	Philosophy	Plato	Phaedo	0059	004	86	631	46571 15281 64165 114404 63772 31161 15281 11136 16924 76446 48051 15274 64165 64181 114404 102000 102021 100589 22057 48910 97505	ταύτῃ ἔμοιγε ἦ δ’ ὅς ᾗ δὴ καὶ περὶ ἁρμονίας ἄν τις καὶ λύρας τε καὶ χορδῶν τὸν αὐτὸν τοῦτον λόγον εἴποι ὡς ἡ μὲν ἁρμονία ἀόρατον καὶ ἀσώματον καὶ πάγκαλόν τι καὶ θεῖόν ἐστιν ἐν τῇ ἡρμοσμένῃ λύρᾳ αὐτὴ δ’ ἡ λύρα καὶ αἱ χορδαὶ σώματά τε καὶ σωματοειδῆ καὶ σύνθετα καὶ γεώδη ἐστὶ καὶ τοῦ θνητοῦ συγγενῆ	15281	harmonia-4.3	1
