LEMMA	ID	FREQUENCY
ἔχω	45996	49064
γίγνομαι	22209	49001
λέγω	62204	39761
πολύς	85306	39351
ποιέω	84234	35512
φημί	110639	31934
πόλις	84494	27754
πρότερος	90504	24128
λόγος	63772	23255
μέγας	65552	22564
εἶπον	31161	21608
ἀνήρ	8665	20994
θεός	48291	19325
ἄνθρωπος	8909	15845
λαμβάνω	61791	15184
δοκέω	27847	15111
μόνος	68641	14589
ὅσος	75552	14580
νῦν	71308	14493
βασιλεύς	19546	14140
δίδωμι	26447	13979
εἷς	31236	13912
ἕτερος	43206	13494
δέομαι	nlsj32160	13072
ὥσπερ	116416	12815
οἷος	72627	12711
καλέω	52571	12383
ἅπας	11583	12152
βούλομαι	20621	11363
ἀρχή	15893	11240
μᾶλλον	64866	11199
γῆ	22100	11176
ὁράω	74735	10725
οἶδα	72202	10642
καλός	nlsj61372	10622
ἀγαθός	260	10272
κακός	52332	10252
ἤδη	46646	10064
χρόνος	114753	10012
δύναμις	28569	9997
ἥμερος	47007	9913
γυνή	23069	9865
δύναμαι	28566	9854
υἱός	106566	9753
πατήρ	80011	9513
παῖς	76703	9466
μάλιστα	nlsj71743	9430
ἔρχομαι	42827	9331
πράσσω	86219	9251
φέρω	110598	9233
τότε	104429	8947
πόλεμος	84434	8793
σῶμα	102000	8766
ἔργον	42214	8651
οἴομαι	72610	8497
νόμος	nlsj76838	8490
ἀίω	29883	8431
φίλος	nlsj56179	8143
ἀκούω	3398	8135
φαίνω	110114	8108
πρᾶγμα	86112	7937
δύο	28592	7851
χείρ	113560	7823
φύσις	112720	7753
ὅλος	73277	7684
πάρειμι	79223	7608
ψυχή	115887	7605
εἶδον	nlsj11198	7599
ὄνομα	74126	7578
ἄρχω	16051	7568
ἅμα	4845	7535
δίκαιος	26886	7394
ἄγω	1083	7372
ὅμοιος	73672	7303
κύριος	61056	7160
τυγχάνω	105829	7087
τοσοῦτος	104421	6956
δέω	24292	6954
πάλιν	76910	6885
χώρα	115193	6875
πολέμιος	84422	6859
πῶς	92010	6853
ἀεί	1564	6784
ἐθέλω	30790	6503
πλῆθος	83774	6429
ὀλίγος	73064	6344
θάλασσα	47735	6257
ὑπάρχω	106974	6241
μικρός	67762	6231
Ἕλλην	33819	6223
γράφω	22825	6167
τρόπος	nlsj107632	6161
μέλλω	66173	6118
πάσχω	79983	6112
ἔοικα	37776	6103
χράομαι	114548	6099
νομίζω	70958	6079
ἴσος	51148	6051
γιγνώσκω	22210	6012
συμβαίνω	98234	5937
μέσος	66494	5825
τόπος	104355	5825
τίθημι	103922	5718
πείθω	80327	5638
εὑρίσκω	44964	5583
Ζεύς	46195	5548
ἴδιος	49875	5542
κελεύω	56496	5511
χρῆμα	114624	5484
μέρος	66342	5412
ἀληθής	4076	5406
ναῦς	69863	5376
κοινός	58429	5265
πλεῖστος	83665	5241
αἱρέω	2654	5159
ἄξιος	11058	5125
βίος	19972	5125
δῆμος	24436	5101
καθίστημι	51849	5094
εἶτα	31562	5070
χρή	114615	5064
παρέχω	79526	5046
γένος	21920	5037
φεύγω	110606	5032
πέμπω	80557	5023
ποταμός	85953	4988
εἶμι	nlsj177	4955
λοιπός	63845	4945
ἀρετή	nlsj14967	4888
ζάω	46123	4807
ἥκω	46804	4786
ὕδωρ	106502	4782
καιρός	52035	4776
πού	nlsj68228	4754
δεινός	23726	4750
ἵππος	50824	4749
θέα	nlsj96033	4737
ἵστημι	51241	4719
ἐρῶ	42830	4674
μάχη	65295	4648
ἐναντίος	34855	4646
εὐθύς	43977	4638
