191 documents , 1 concepts , 1221 context features (62528) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 100


map[]

===============  per type  ===============
0.04435332062636196   T=0,K=0:  16102 (0.020) ; 63300 (0.017) ; 111889 (0.017) ; 61928 (0.016) ; 18390 (0.014) ; 112016 (0.013) ; nlsj32160 (0.012) ; 114619 (0.012) ; 101851 (0.012) ; 36202 (0.012) ; 
0.16159503961806654   T=1,K=0:  16102 (0.022) ; 114619 (0.019) ; 111889 (0.017) ; 112016 (0.015) ; 63300 (0.014) ; 25313 (0.013) ; 36202 (0.012) ; 61928 (0.012) ; 31565 (0.011) ; 4274 (0.011) ; 
0.13474054820765796   T=2,K=0:  61928 (0.017) ; 111889 (0.016) ; 63300 (0.015) ; 16102 (0.014) ; 102000 (0.014) ; 18390 (0.013) ; 25313 (0.012) ; 114619 (0.012) ; 64866 (0.011) ; 82856 (0.011) ; 
0.16929761922740252   T=3,K=0:  111889 (0.018) ; 63300 (0.015) ; 16102 (0.014) ; 25313 (0.014) ; 61928 (0.013) ; 64866 (0.013) ; 18390 (0.012) ; 114619 (0.011) ; 82856 (0.011) ; 101456 (0.011) ; 
0.11271544326057213   T=4,K=0:  63300 (0.027) ; 102000 (0.016) ; 16102 (0.014) ; 25313 (0.014) ; 31565 (0.013) ; 111889 (0.013) ; 64866 (0.012) ; 18390 (0.011) ; 4274 (0.011) ; 82856 (0.010) ; 
0.13051486440928908   T=5,K=0:  63300 (0.029) ; 82856 (0.017) ; 102000 (0.015) ; 18390 (0.014) ; 16102 (0.014) ; 112016 (0.014) ; 31565 (0.013) ; 25313 (0.011) ;  (0.010) ; 101456 (0.009) ; 
0.07487141594826079   T=6,K=0:  16102 (0.024) ; 63300 (0.021) ; 114619 (0.015) ; 31565 (0.014) ; 88023 (0.014) ; 17416 (0.013) ; 84234 (0.013) ; 18390 (0.012) ; 112016 (0.012) ; nlsj3383 (0.011) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  63300 (0.020) ; 16102 (0.017) ; 111889 (0.014) ; 18390 (0.012) ; 25313 (0.012) ; 114619 (0.012) ; 112016 (0.012) ; 102000 (0.011) ; 61928 (0.011) ; 31565 (0.011) ; 

0.07830663726184543   T=0,K=1:   (0.092) ; 18331 (0.034) ; 82758 (0.016) ; nlsj3221 (0.012) ; 54178 (0.011) ; 66310 (0.011) ; 6539 (0.010) ; 116416 (0.010) ; 59953 (0.010) ; 7323 (0.010) ; 
0.06163103650742947   T=1,K=1:   (0.102) ; 18331 (0.032) ; 82758 (0.017) ; nlsj75598 (0.016) ; 54178 (0.014) ; nlsj3221 (0.013) ; nlsj8790 (0.012) ; 83669 (0.011) ; 7323 (0.010) ; 116416 (0.009) ; 
