1751 documents , 1 concepts , 4413 context features (70958) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.010435741478344555   T=0,K=0:  20215 (0.001) ;  (0.001) ; 16051 (0.001) ; 12035 (0.001) ; 37776 (0.001) ; 2224 (0.001) ; 97133 (0.001) ; 73353 (0.001) ; nlsj84135 (0.001) ; 27371 (0.001) ; 
0.055637210483800215   T=1,K=0:  2583 (0.002) ; 75555 (0.002) ;  (0.002) ; 8665 (0.002) ; 16051 (0.001) ; 51849 (0.001) ; 22502 (0.001) ; 12035 (0.001) ; 24074 (0.001) ; 84234 (0.001) ; 
0.0643929059692413   T=2,K=0:  84234 (0.003) ; 16051 (0.003) ;  (0.002) ; 8665 (0.002) ; 2583 (0.002) ; 8575 (0.002) ; 84201 (0.002) ; 75555 (0.002) ; nlsj84135 (0.002) ; 9139 (0.001) ; 
0.06269371081407003   T=3,K=0:  84234 (0.010) ; 22209 (0.007) ; 84434 (0.003) ; 46606 (0.003) ;  (0.003) ; 16051 (0.003) ; 9139 (0.003) ; 8665 (0.003) ; 22502 (0.002) ; 42827 (0.002) ; 
0.10111113534978657   T=4,K=0:  22209 (0.035) ; 84234 (0.019) ; 84434 (0.012) ; 8665 (0.005) ; 46606 (0.004) ;  (0.004) ; 22502 (0.003) ; 16051 (0.003) ; 42827 (0.003) ; 58429 (0.002) ; 
0.03254346424173322   T=5,K=0:  22209 (0.030) ; 84234 (0.016) ; 8909 (0.009) ;  (0.008) ; 8665 (0.006) ; 46606 (0.006) ; 84434 (0.004) ; 1083 (0.003) ; 69863 (0.003) ; 11583 (0.003) ; 
0.02412363493213326   T=6,K=0:  22209 (0.018) ;  (0.017) ; 84234 (0.017) ; 8909 (0.015) ; 45996 (0.009) ; 85306 (0.009) ; 8665 (0.009) ; 28569 (0.005) ; 84494 (0.005) ; 65552 (0.004) ; 
0.09349632586467177   T=7,K=0:   (0.048) ; 85306 (0.026) ; 8909 (0.023) ; 84234 (0.020) ; 45996 (0.015) ; 22209 (0.013) ; 65552 (0.011) ; 98234 (0.010) ; 8665 (0.010) ; 90504 (0.008) ; 
0.11083887756213673   T=8,K=0:   (0.058) ; 84234 (0.028) ; 112720 (0.023) ; 22209 (0.021) ; 65552 (0.019) ; 90504 (0.019) ; 8909 (0.019) ; 45996 (0.018) ; 85306 (0.013) ; 62204 (0.011) ; 
0.11215669989161665   T=9,K=0:  22209 (0.062) ; 84234 (0.030) ;  (0.023) ; 45996 (0.022) ; 112720 (0.021) ; 48291 (0.018) ; 62204 (0.017) ; 63772 (0.015) ; 90504 (0.014) ; 104421 (0.013) ; 
0.11501298756679869   T=10,K=0:  22209 (0.017) ; 48291 (0.017) ; 84234 (0.016) ; 52332 (0.014) ; 62204 (0.014) ; 90504 (0.013) ; 65552 (0.013) ; 45996 (0.010) ; 112720 (0.009) ; 104421 (0.009) ; 
0.060278173840274646   T=11,K=0:  52332 (0.017) ; 62204 (0.014) ; 84234 (0.012) ; 22209 (0.012) ; 65552 (0.011) ; 48291 (0.010) ; 45996 (0.009) ; 83756 (0.006) ;  (0.006) ; 76703 (0.005) ; 
0.09825488731004522   T=12,K=0:  52332 (0.024) ; 84234 (0.015) ; 48291 (0.014) ; 45996 (0.012) ; 65552 (0.012) ; 62204 (0.011) ; 22209 (0.008) ; 76703 (0.008) ; 8909 (0.007) ;  (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  22209 (0.017) ; 84234 (0.014) ;  (0.014) ; 45996 (0.008) ; 8909 (0.007) ; 65552 (0.006) ; 62204 (0.006) ; 48291 (0.006) ; 52332 (0.006) ; 90504 (0.006) ; 

0.023235438178390622   T=0,K=1:  8909 (0.001) ; 112720 (0.001) ; 25744 (0.001) ; 113556 (0.001) ; 110114 (0.001) ; 84234 (0.001) ; 28569 (0.001) ; 38743 (0.001) ; 81866 (0.001) ; 24349 (0.001) ; 
0.04824859141701652   T=1,K=1:  112720 (0.003) ; 110114 (0.002) ; 43618 (0.002) ; 22502 (0.002) ; 70958 (0.002) ; 113556 (0.002) ; 84234 (0.001) ; 28569 (0.001) ; 38743 (0.001) ; 8909 (0.001) ; 
0.08556649951030247   T=2,K=1:  70958 (0.005) ; 110114 (0.004) ; 48051 (0.004) ; 22502 (0.003) ; 112720 (0.003) ; 84234 (0.003) ; 84494 (0.002) ; 43618 (0.002) ; 48052 (0.002) ; 83866 (0.002) ; 
0.06499815701500618   T=3,K=1:  48051 (0.010) ; 84494 (0.009) ; 19546 (0.006) ; 22502 (0.006) ; 22209 (0.005) ; 86112 (0.005) ; 48052 (0.005) ; 84234 (0.005) ; 8665 (0.005) ; 98358 (0.005) ; 
0.11631929422030154   T=4,K=1:  84494 (0.031) ; 22209 (0.029) ; 98358 (0.023) ; 86112 (0.020) ; 19546 (0.019) ; 98894 (0.015) ; 6174 (0.014) ; 4076 (0.011) ; 8665 (0.010) ; 62204 (0.009) ; 
0.1108421214252152   T=5,K=1:  22209 (0.021) ; 84494 (0.019) ; 98358 (0.017) ; 62204 (0.013) ; 6174 (0.006) ; 19546 (0.006) ; 98894 (0.006) ; 61791 (0.006) ; 86112 (0.006) ; nlsj71743 (0.006) ; 
0.053575312552631205   T=6,K=1:  22209 (0.018) ; 84494 (0.016) ; 19546 (0.014) ; 49875 (0.009) ; 22502 (0.008) ; 98358 (0.008) ;  (0.008) ; 62204 (0.008) ; 84234 (0.007) ; nlsj71743 (0.006) ; 
0.08643231099661727   T=7,K=1:  49875 (0.024) ; 22209 (0.022) ;  (0.016) ; 19546 (0.015) ; 26447 (0.015) ; 85306 (0.010) ; 90504 (0.008) ; 84494 (0.008) ; 116416 (0.008) ; 41498 (0.007) ; 
0.08410649764765486   T=8,K=1:  22209 (0.029) ;  (0.026) ; 26447 (0.021) ; 45996 (0.018) ; 116416 (0.018) ; 85306 (0.014) ; 63772 (0.011) ; 19546 (0.011) ; 73277 (0.010) ; 11583 (0.009) ; 
0.1324236749930865   T=9,K=1:  22209 (0.026) ;  (0.020) ; 45996 (0.020) ; 63772 (0.017) ; 3398 (0.015) ; 68641 (0.014) ; 75552 (0.011) ; 19546 (0.011) ; 74735 (0.011) ; 8665 (0.009) ; 
0.0849062610715874   T=10,K=1:  22209 (0.023) ; 45996 (0.017) ;  (0.016) ; 86219 (0.014) ; 68641 (0.011) ; 24292 (0.008) ; 8665 (0.008) ; 90504 (0.008) ; 63772 (0.007) ; 41619 (0.007) ; 
0.12200113135259774   T=11,K=1:  45996 (0.021) ; 22209 (0.015) ;  (0.010) ; 41619 (0.008) ; 86219 (0.007) ; 8665 (0.007) ; 24292 (0.006) ; 90504 (0.006) ; 48291 (0.006) ; 68641 (0.005) ; 
0.08300949387213885   T=12,K=1:  22209 (0.019) ; 45996 (0.012) ;  (0.009) ; 8665 (0.009) ; 41619 (0.009) ; nlsj32160 (0.006) ; 84034 (0.006) ; 33819 (0.006) ; 24292 (0.005) ; 72202 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  22209 (0.016) ;  (0.009) ; 45996 (0.008) ; 84494 (0.008) ; 19546 (0.007) ; 8665 (0.005) ; 26447 (0.005) ; 98358 (0.004) ; 63772 (0.004) ; 22502 (0.004) ; 

0.12508231653127524   T=0,K=2:  82444 (0.002) ; nlsj41805 (0.002) ; 23726 (0.001) ; 11004 (0.001) ; 6905 (0.001) ; 115586 (0.001) ; 2219 (0.001) ; 4493 (0.001) ; 72980 (0.001) ; 85306 (0.001) ; 
0.1947567043863712   T=1,K=2:  85306 (0.004) ; 23726 (0.002) ; 2219 (0.002) ; 11004 (0.002) ; 66173 (0.002) ; 90504 (0.002) ; 33819 (0.002) ; 55910 (0.002) ; 82444 (0.001) ; nlsj2815 (0.001) ; 
0.14728448742272296   T=2,K=2:  85306 (0.008) ; 90504 (0.007) ; 23726 (0.006) ; 63845 (0.004) ; 96089 (0.004) ; 22209 (0.003) ; 104429 (0.003) ; 66173 (0.002) ; 55910 (0.002) ; 72980 (0.002) ; 
0.09552924884301832   T=3,K=2:  85306 (0.018) ; 90504 (0.010) ; 23726 (0.007) ; nlsj105619 (0.007) ; 55910 (0.007) ; 62204 (0.005) ; 114548 (0.005) ; 22209 (0.005) ; 96089 (0.005) ; 65552 (0.005) ; 
0.07739986076691187   T=4,K=2:  85306 (0.036) ; nlsj105619 (0.021) ; 65552 (0.019) ; 84234 (0.012) ;  (0.011) ; 90504 (0.006) ; nlsj61372 (0.005) ; 112559 (0.005) ; 22209 (0.005) ; 59794 (0.004) ; 
0.0787104491903829   T=5,K=2:  85306 (0.015) ;  (0.014) ; 84234 (0.012) ; 65552 (0.011) ; 22209 (0.009) ; nlsj61372 (0.007) ; 59794 (0.007) ; 66173 (0.006) ; 45996 (0.006) ; 11583 (0.005) ; 
0.06900271788642456   T=6,K=2:  22209 (0.029) ;  (0.028) ; nlsj61372 (0.020) ; 84234 (0.015) ; 33819 (0.013) ; 45996 (0.012) ; 85306 (0.012) ; 8909 (0.011) ; 66173 (0.011) ; 46646 (0.010) ; 
0.09742504470688079   T=7,K=2:  22209 (0.048) ; 33819 (0.048) ; 48291 (0.030) ;  (0.023) ; 45996 (0.019) ; nlsj61372 (0.017) ; 63772 (0.015) ; 85306 (0.013) ; 43206 (0.013) ; 66173 (0.012) ; 
0.08349855866386563   T=8,K=2:  22209 (0.036) ;  (0.022) ; 48291 (0.020) ; 33819 (0.016) ; 62204 (0.013) ; 43206 (0.012) ; 85306 (0.011) ; 8909 (0.011) ; 58429 (0.008) ; 63772 (0.008) ; 
0.03836352034853141   T=9,K=2:   (0.016) ; 22209 (0.014) ; 62204 (0.013) ; 75552 (0.010) ; 8909 (0.010) ; 84494 (0.008) ; 43206 (0.008) ; 112720 (0.007) ; 11583 (0.006) ; 85306 (0.006) ; 
0.08532930191370727   T=10,K=2:  62204 (0.050) ;  (0.038) ; 75552 (0.023) ; 112720 (0.022) ; 8909 (0.006) ; 115887 (0.005) ; 86112 (0.005) ; 22209 (0.005) ; 84234 (0.004) ; 84494 (0.004) ; 
0.11068847025030154   T=11,K=2:   (0.025) ; 112720 (0.023) ; 62204 (0.023) ; 75552 (0.016) ; 115887 (0.009) ; 78765 (0.007) ; 86112 (0.006) ; 84494 (0.004) ; 8909 (0.004) ; 24323 (0.003) ; 
0.12321303939021765   T=12,K=2:  112720 (0.033) ; 62204 (0.025) ;  (0.024) ; 115887 (0.011) ; 75552 (0.011) ; 78765 (0.008) ; 86112 (0.006) ; 20067 (0.004) ; 84494 (0.004) ; 8909 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:   (0.016) ; 22209 (0.012) ; 62204 (0.012) ; 85306 (0.010) ; 33819 (0.007) ; 112720 (0.007) ; 84234 (0.005) ; 48291 (0.005) ; nlsj61372 (0.005) ; 75552 (0.005) ; 

0.013463687991807454   T=0,K=3:  72099 (0.001) ; 51358 (0.001) ; 4462 (0.001) ; 83696 (0.001) ; nlsj78075 (0.001) ; 64586 (0.001) ; 21335 (0.001) ; 106850 (0.001) ; 94324 (0.001) ; 22952 (0.001) ; 
0.046472712961873296   T=1,K=3:  62126 (0.002) ; 51358 (0.002) ; 35322 (0.001) ; 4462 (0.001) ; 89340 (0.001) ; 48291 (0.001) ; 83696 (0.001) ; 89306 (0.001) ; 11583 (0.001) ; 12252 (0.001) ; 
0.031476420967061144   T=2,K=3:  80357 (0.003) ; 84234 (0.002) ; 63772 (0.002) ; 33603 (0.002) ; 4462 (0.002) ; 48291 (0.002) ; 5578 (0.002) ; 51358 (0.002) ; 11583 (0.002) ; 75552 (0.002) ; 
0.04531676479958633   T=3,K=3:  84234 (0.007) ; 63772 (0.006) ; 84494 (0.006) ; 85306 (0.005) ; 114753 (0.005) ; 33603 (0.005) ; 22209 (0.005) ; 65552 (0.004) ; 46613 (0.004) ; 64866 (0.004) ; 
0.10307985656255332   T=4,K=3:  84234 (0.026) ; 22209 (0.025) ; 63772 (0.023) ; 84494 (0.022) ; 46613 (0.015) ; 85306 (0.015) ; 114753 (0.014) ; 65552 (0.013) ; 46804 (0.012) ; 49875 (0.012) ; 
0.16368604645548923   T=5,K=3:  85306 (0.015) ; 63772 (0.015) ; 33819 (0.014) ; 22209 (0.011) ; 65552 (0.011) ; 84434 (0.011) ; 84494 (0.011) ; 84234 (0.010) ; 46804 (0.010) ; 114753 (0.009) ; 
0.09166864632405144   T=6,K=3:  85306 (0.024) ; 65552 (0.019) ; 48291 (0.013) ; 22209 (0.012) ; 45996 (0.011) ; 33819 (0.010) ; 84494 (0.010) ; 46804 (0.009) ; 8665 (0.009) ;  (0.008) ; 
0.09759373953198779   T=7,K=3:  45996 (0.030) ; 65552 (0.025) ; 48291 (0.022) ; 85306 (0.019) ; 22209 (0.015) ;  (0.012) ; 84234 (0.011) ; 115193 (0.010) ; 84494 (0.008) ; 114624 (0.008) ; 
0.11353387149467996   T=8,K=3:  45996 (0.060) ; 22209 (0.044) ;  (0.025) ; 48291 (0.021) ; 84234 (0.021) ; 260 (0.017) ; 85306 (0.016) ; 15893 (0.011) ; 110639 (0.011) ; 11058 (0.009) ; 
0.11953318675608052   T=9,K=3:   (0.041) ; 84494 (0.030) ; 85306 (0.025) ; 48291 (0.019) ; 45996 (0.018) ; 15893 (0.017) ; 64866 (0.014) ; 260 (0.012) ; 66342 (0.011) ; 22209 (0.010) ; 
0.10960184945842405   T=10,K=3:  102000 (0.025) ;  (0.024) ; 85306 (0.020) ; 15893 (0.019) ; 48291 (0.012) ; 45996 (0.012) ; 84494 (0.009) ; 260 (0.009) ; 22209 (0.007) ; 64866 (0.007) ; 
0.07720410948427485   T=11,K=3:  15893 (0.018) ; 102000 (0.015) ;  (0.015) ; 85306 (0.014) ; 84494 (0.010) ; 45996 (0.007) ; 260 (0.006) ; 22209 (0.006) ; 48291 (0.006) ; 38879 (0.004) ; 
0.03952980324670027   T=12,K=3:  85306 (0.018) ; 84494 (0.018) ;  (0.014) ; 15893 (0.009) ; 102000 (0.007) ; 48291 (0.006) ; 45996 (0.005) ; 260 (0.005) ; 52048 (0.005) ; 21920 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  85306 (0.013) ; 45996 (0.012) ;  (0.011) ; 22209 (0.011) ; 84494 (0.010) ; 48291 (0.009) ; 84234 (0.007) ; 15893 (0.007) ; 65552 (0.007) ; 63772 (0.005) ; 

0.3808459065138469   T=0,K=4:   (0.002) ; 84248 (0.001) ; 95661 (0.001) ; 79320 (0.001) ; 64945 (0.001) ; 40340 (0.001) ; 64221 (0.001) ; 72920 (0.001) ; 50349 (0.001) ; 72308 (0.001) ; 
0.22126881420980815   T=1,K=4:   (0.003) ; 95661 (0.002) ; 22825 (0.002) ; 22210 (0.002) ; 84248 (0.001) ; 11058 (0.001) ; 79320 (0.001) ; 62204 (0.001) ; 101069 (0.001) ; 68641 (0.001) ; 
0.15395638595714242   T=2,K=4:   (0.007) ; 68641 (0.004) ; 95661 (0.004) ; 22210 (0.003) ; 62204 (0.003) ; 49752 (0.002) ; 22825 (0.002) ; 63772 (0.002) ; 76703 (0.002) ; 19546 (0.002) ; 
0.13442667041998727   T=3,K=4:   (0.010) ; 62204 (0.010) ; 68641 (0.009) ; 76703 (0.005) ; 86219 (0.004) ; nlsj61372 (0.004) ; 19546 (0.004) ; nlsj32160 (0.004) ; 63772 (0.004) ; 48291 (0.004) ; 
0.09204304024223246   T=4,K=4:  nlsj61372 (0.019) ; 84234 (0.016) ; 86219 (0.015) ; 62204 (0.015) ; 65552 (0.012) ; 22209 (0.010) ; 72627 (0.009) ; 48291 (0.009) ; nlsj32160 (0.008) ; 68641 (0.007) ; 
0.0962280488578011   T=5,K=4:  65552 (0.022) ; 22209 (0.015) ; 84234 (0.012) ; 48291 (0.010) ; nlsj32160 (0.006) ; 62204 (0.006) ; 19546 (0.005) ; 86219 (0.005) ; nlsj61372 (0.005) ; 63772 (0.004) ; 
0.02744499501319935   T=6,K=4:  48291 (0.019) ; 22209 (0.016) ; 65552 (0.015) ; 84234 (0.013) ;  (0.008) ; 63772 (0.008) ; 84494 (0.006) ; 85306 (0.006) ; 68641 (0.006) ; 19546 (0.006) ; 
0.09964134338068657   T=7,K=4:  48291 (0.035) ; 22209 (0.019) ; 65552 (0.018) ;  (0.017) ; 84494 (0.010) ; 58429 (0.009) ; 85306 (0.009) ; 90504 (0.008) ; 84234 (0.008) ; 63772 (0.007) ; 
0.11381002432534981   T=8,K=4:   (0.036) ; 22209 (0.023) ; 48291 (0.022) ; 84494 (0.019) ; 58429 (0.017) ; 45996 (0.016) ; 65552 (0.015) ; 68641 (0.014) ; 73277 (0.013) ; 20621 (0.013) ; 
0.1277180839554501   T=9,K=4:   (0.029) ; 22209 (0.020) ; 90504 (0.017) ; 62204 (0.015) ; 68641 (0.014) ; 45996 (0.013) ; 114615 (0.013) ; 48291 (0.013) ; 114548 (0.012) ; 103972 (0.012) ; 
0.07429544569072842   T=10,K=4:  45996 (0.040) ;  (0.034) ; 31161 (0.019) ; 68641 (0.011) ; 31236 (0.010) ; 65295 (0.007) ; 90504 (0.006) ; 114615 (0.006) ; 116416 (0.006) ; 48291 (0.005) ; 
0.06304243094808974   T=11,K=4:   (0.024) ; 31236 (0.020) ; 45996 (0.019) ; 31161 (0.011) ; 68641 (0.011) ; 65295 (0.007) ; 28592 (0.005) ; 48291 (0.005) ; 116416 (0.004) ; 103972 (0.004) ; 
0.0403627678405027   T=12,K=4:  45996 (0.022) ;  (0.022) ; 31236 (0.022) ; 31161 (0.011) ; 68641 (0.010) ; 65295 (0.009) ; 103972 (0.006) ; 116416 (0.005) ; 28592 (0.005) ; 4076 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:   (0.015) ; 45996 (0.010) ; 48291 (0.010) ; 22209 (0.009) ; 68641 (0.008) ; 65552 (0.008) ; 31236 (0.006) ; 62204 (0.006) ; 84234 (0.005) ; 31161 (0.005) ; 

