1842 documents , 1 concepts , 4561 context features (114548) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.056366745676820415   T=0,K=0:  37210 (0.023) ; 29883 (0.019) ; nlsj32160 (0.017) ; 85306 (0.015) ; 92010 (0.014) ; 110639 (0.012) ; 74735 (0.012) ; 84494 (0.012) ; 4076 (0.011) ; 110341 (0.011) ; 
0.04492155171626044   T=1,K=0:  29883 (0.021) ; 85306 (0.019) ; 26447 (0.016) ; 110639 (0.012) ; nlsj32160 (0.012) ; 37210 (0.012) ; 19546 (0.011) ; 45996 (0.010) ; 92010 (0.010) ; 84494 (0.009) ; 
0.11190125179419258   T=2,K=0:  29883 (0.014) ; nlsj32160 (0.013) ; 110598 (0.013) ; nlsj107632 (0.011) ; 4076 (0.011) ; 19546 (0.010) ; 110639 (0.010) ; 37210 (0.010) ; 102000 (0.010) ; 85306 (0.009) ; 
0.24009667566953877   T=3,K=0:  18107 (0.012) ; 84494 (0.012) ; 29883 (0.012) ; 22209 (0.011) ; 110639 (0.010) ; 62204 (0.010) ; 110598 (0.009) ; 37210 (0.008) ; 65552 (0.008) ; 45996 (0.008) ; 
0.09919485803540172   T=4,K=0:  45996 (0.012) ; 85306 (0.011) ; 112720 (0.010) ; 110639 (0.009) ; 84494 (0.009) ; 18107 (0.008) ; nlsj107632 (0.008) ; 84234 (0.008) ; 65552 (0.008) ; 22209 (0.008) ; 
0.1353372375065861   T=5,K=0:  84234 (0.012) ; 112720 (0.011) ; 110639 (0.011) ; 86112 (0.011) ; 85306 (0.008) ; 45996 (0.008) ; 65552 (0.008) ; 1564 (0.008) ; nlsj107632 (0.008) ; 75552 (0.008) ; 
0.07530020770573631   T=6,K=0:  65552 (0.011) ; 45996 (0.011) ; 86112 (0.011) ; 112720 (0.010) ; 84234 (0.010) ; 102000 (0.009) ; 63772 (0.009) ; 110639 (0.009) ; 75552 (0.007) ; 85306 (0.007) ; 
0.11572221029081049   T=7,K=0:  84234 (0.016) ; 65552 (0.016) ; 86112 (0.011) ; 75552 (0.010) ; 63772 (0.009) ; 102000 (0.009) ; 33819 (0.008) ; 45996 (0.008) ; 85306 (0.008) ; 112720 (0.008) ; 
0.14463219788341256   T=8,K=0:  86112 (0.011) ; 84234 (0.010) ; 62204 (0.009) ; 75552 (0.009) ; 85306 (0.008) ; 68641 (0.008) ; 84494 (0.008) ; 48291 (0.008) ; 63772 (0.008) ; 65552 (0.007) ; 
0.16938329489494997   T=9,K=0:  68641 (0.015) ; 63772 (0.010) ; 86219 (0.010) ; 48291 (0.010) ; 62204 (0.010) ; 75552 (0.008) ; 84234 (0.008) ; 86112 (0.007) ; 65552 (0.007) ; 83987 (0.007) ; 
0.12993491890167894   T=10,K=0:  68641 (0.019) ; 84234 (0.011) ; 86219 (0.010) ; 65552 (0.009) ; 48291 (0.008) ; 63772 (0.008) ; 43206 (0.008) ; 62204 (0.008) ; 260 (0.008) ; 83987 (0.008) ; 
0.2171672997351855   T=11,K=0:  68641 (0.020) ; 63772 (0.013) ; 83987 (0.011) ; 84234 (0.010) ; 48291 (0.010) ; 75552 (0.009) ; nlsj32160 (0.009) ; 1098 (0.009) ; 64945 (0.008) ; 86219 (0.008) ; 
0.2218663148014758   T=12,K=0:  68641 (0.023) ; 64945 (0.011) ; 83987 (0.011) ; 75552 (0.010) ; 63772 (0.010) ; 65552 (0.010) ; nlsj32160 (0.009) ; 43206 (0.008) ; 85306 (0.008) ; 1098 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  85306 (0.009) ; 65552 (0.009) ; 84234 (0.009) ; 68641 (0.008) ; nlsj32160 (0.007) ; 29883 (0.007) ; 110639 (0.007) ; 75552 (0.007) ; 84494 (0.007) ; 45996 (0.007) ; 

0.007056220535418495   T=0,K=1:  63772 (0.013) ; nlsj68228 (0.012) ; 71308 (0.011) ; nlsj59172 (0.011) ; 105829 (0.011) ; 1564 (0.011) ; 66173 (0.010) ; 85306 (0.010) ; 45996 (0.010) ; nlsj76838 (0.009) ; 
0.02653192327364607   T=1,K=1:  nlsj59172 (0.015) ; 71308 (0.014) ; 1564 (0.014) ; nlsj68228 (0.013) ; 85306 (0.013) ; 63772 (0.012) ; 45996 (0.011) ; nlsj76838 (0.011) ; 72627 (0.011) ; 64866 (0.009) ; 
0.030587558512107708   T=2,K=1:  nlsj59172 (0.017) ; 85306 (0.016) ; 71308 (0.015) ; 1564 (0.013) ; 22209 (0.012) ; 63772 (0.010) ; 6339 (0.010) ; 64866 (0.010) ; 72627 (0.010) ; 260 (0.009) ; 
0.19861137293238038   T=3,K=1:  114548 (0.019) ; 63772 (0.015) ; 71308 (0.014) ; nlsj59172 (0.012) ; 85306 (0.012) ; 45996 (0.011) ; 116416 (0.010) ; 6339 (0.009) ; 100597 (0.009) ; 1377 (0.009) ; 
0.10643994803851897   T=4,K=1:  63772 (0.019) ; 85306 (0.013) ; 71308 (0.013) ; 22502 (0.012) ; nlsj76838 (0.011) ; 114548 (0.010) ; 45996 (0.009) ; 6339 (0.009) ; 116416 (0.009) ; 98234 (0.008) ; 
0.06620687583549724   T=5,K=1:  63772 (0.027) ; 22502 (0.017) ; 85306 (0.015) ; nlsj32160 (0.011) ; 90504 (0.010) ; 71308 (0.010) ; nlsj76838 (0.009) ; 114548 (0.009) ; 98234 (0.009) ; 110639 (0.008) ; 
0.08351805130205808   T=6,K=1:  63772 (0.027) ; 22209 (0.013) ; 22502 (0.012) ; 85306 (0.011) ; 110639 (0.011) ; 104690 (0.009) ; 114548 (0.008) ; 8665 (0.008) ; 90504 (0.008) ; nlsj32160 (0.008) ; 
0.11725044896585796   T=7,K=1:  63772 (0.021) ; 110639 (0.012) ; 22502 (0.010) ; 1564 (0.009) ; 114548 (0.008) ; 31236 (0.008) ; 85306 (0.008) ; 104690 (0.008) ; 22209 (0.007) ; 260 (0.007) ; 
0.07651836954563095   T=8,K=1:  110639 (0.019) ; 63772 (0.014) ; 85306 (0.008) ; 90504 (0.008) ; 104690 (0.007) ; 83622 (0.007) ; 31236 (0.007) ; 62204 (0.006) ; 1564 (0.006) ; 22502 (0.006) ; 
0.04554535999908101   T=9,K=1:  110639 (0.029) ; 63772 (0.012) ; 96089 (0.011) ; 114548 (0.010) ; 69714 (0.009) ; 85306 (0.009) ; 62204 (0.008) ; 45996 (0.008) ; 31236 (0.008) ; 71308 (0.007) ; 
0.03302917696999704   T=10,K=1:  110639 (0.037) ; 114548 (0.015) ; 96089 (0.013) ; 62204 (0.010) ; 63772 (0.008) ; 31236 (0.008) ; 85306 (0.008) ; 8665 (0.008) ; 104690 (0.007) ; 51368 (0.007) ; 
0.05761055983938782   T=11,K=1:  110639 (0.023) ; 114548 (0.016) ; 62204 (0.015) ; 63772 (0.011) ; 31236 (0.009) ; 104690 (0.009) ; 96089 (0.009) ; 75005 (0.008) ; 66173 (0.008) ; 47931 (0.008) ; 
0.0490085858826527   T=12,K=1:  62204 (0.026) ; 110639 (0.015) ; 114548 (0.013) ; 21651 (0.012) ; 104690 (0.010) ; nlsj65911 (0.010) ; 66173 (0.009) ; 64866 (0.008) ; 39482 (0.008) ; 63772 (0.008) ; 
