jus : 2232 documents
=================
 37 jus 
==================

2232 documents , 1 concepts , 5410 context features (jus) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -2, end 10, times 13, dT 1, I 1500


map[]


...ready to estimate
{0.056627, 0.174857,  0.44042, 0.328096,
 0.072029, 0.315199, 0.379728, 0.233044,
 0.294242, 0.264099, 0.251376, 0.190284,
 0.216685, 0.192722, 0.301466, 0.289127,
 0.240732, 0.314077, 0.222109, 0.223082,
 0.154609, 0.176412, 0.495257, 0.173722,
 0.287672, 0.227922,  0.30713, 0.177275,
 0.332534, 0.192808, 0.189032, 0.285626,
 0.222342, 0.279824, 0.252919, 0.244915,
 0.336163, 0.137702, 0.349088, 0.177048,
 0.187755, 0.186639, 0.468145, 0.157461,
 0.100999, 0.259603, 0.422542, 0.216856,
 0.125962, 0.098643, 0.713443, 0.061952} 

{0.060743,  0.23389, 0.446383, 0.258984,
  0.04568, 0.204369, 0.408067, 0.341884,
 0.293355, 0.265993, 0.251579, 0.189074,
 0.225754, 0.188665, 0.297561,  0.28802,
 0.241029,  0.32116, 0.221017, 0.216794,
 0.145282, 0.240461, 0.472566, 0.141691,
 0.283188, 0.223464, 0.310283, 0.183066,
 0.298243, 0.203142, 0.191629, 0.306986,
 0.222739, 0.278446, 0.255006, 0.243809,
 0.162157, 0.316606, 0.324655, 0.196581,
 0.155375, 0.176778, 0.511813, 0.156034,
 0.179252, 0.243096,  0.48262, 0.095031,
 0.078493, 0.433654, 0.336561, 0.151291} 

{0.046118,  0.23211, 0.392532,  0.32924,
 0.109865, 0.597524, 0.212251,  0.08036,
 0.288905, 0.262055, 0.262533, 0.186507,
 0.223848, 0.188746, 0.298267, 0.289139,
 0.241138, 0.310612, 0.216178, 0.232072,
 0.148063, 0.234995, 0.471994, 0.144948,
 0.279646, 0.220673,  0.31052, 0.189162,
 0.312173, 0.205118, 0.183786, 0.298923,
 0.223339, 0.277905, 0.253897, 0.244858,
 0.126201, 0.352923, 0.304406,  0.21647,
 0.145442, 0.104549, 0.559912, 0.190097,
 0.055519, 0.443058, 0.380468, 0.120955,
 0.003546, 0.367367, 0.427168, 0.201919} 

{0.085858, 0.266353, 0.390364, 0.257425,
 0.101549, 0.522267, 0.187574, 0.188609,
 0.290067,    0.256, 0.265076, 0.188857,
  0.22423, 0.180707, 0.301083,  0.29398,
 0.230912, 0.306044, 0.226484,  0.23656,
 0.174212, 0.199983, 0.490683, 0.135122,
 0.280049,  0.21538, 0.317949, 0.186622,
 0.329146, 0.216466, 0.166331, 0.288056,
 0.224053, 0.279292,  0.25362, 0.243035,
 0.199397, 0.153895, 0.430271, 0.216436,
  0.20666, 0.145841, 0.437555, 0.209944,
 0.064824, 0.449666, 0.322949, 0.162561,
 0.023267, 0.153197, 0.477003, 0.346533} 

{0.094595, 0.215736, 0.430004, 0.259665,
 0.187222, 0.162246, 0.519803,  0.13073,
 0.289639, 0.259616, 0.265028, 0.185717,
 0.228626, 0.184882, 0.299426, 0.287065,
 0.228502, 0.307915, 0.221755, 0.241828,
 0.165544, 0.215961, 0.483932, 0.134563,
 0.279879, 0.211399, 0.316924, 0.191798,
 0.326604, 0.213046, 0.181214, 0.279137,
 0.222534, 0.280732, 0.255174,  0.24156,
  0.08664, 0.379915, 0.327743, 0.205701,
 0.161393, 0.152273, 0.454926, 0.231408,
 0.070861,  0.39753, 0.338399, 0.193209,
 0.023202,  0.52684, 0.315061, 0.134897} 

{0.069963, 0.263593, 0.396031, 0.270413,
 0.185177, 0.153921, 0.185789, 0.475114,
 0.289247, 0.259607, 0.265391, 0.185755,
 0.228474, 0.185656, 0.300928, 0.284942,
 0.231646, 0.301131, 0.222567, 0.244656,
 0.167073, 0.209189, 0.486901, 0.136837,
 0.282497, 0.208457, 0.317447, 0.191599,
 0.359745, 0.193601, 0.182687, 0.263967,
 0.222577, 0.280178, 0.256189, 0.241056,
 0.040824, 0.282312, 0.558294,  0.11857,
 0.122725, 0.189042, 0.528558, 0.159675,
 0.070817, 0.614103, 0.250978, 0.064102,
 0.035234, 0.865697,  0.05949, 0.039579} 

{0.029131, 0.253546, 0.434254, 0.283069,
 0.132411, 0.051753, 0.736038, 0.079798,
 0.290341, 0.260227,  0.26516, 0.184271,
 0.233077, 0.187501, 0.296257, 0.283165,
  0.22636, 0.305644, 0.223885,  0.24411,
 0.170161, 0.201667, 0.480027, 0.148145,
 0.285182, 0.206386, 0.316962,  0.19147,
 0.337906, 0.185611, 0.192664, 0.283819,
 0.222856, 0.281787, 0.254134, 0.241223,
 0.074204, 0.354062,  0.36487, 0.206865,
 0.125717, 0.214693, 0.494237, 0.165353,
 0.015182,  0.64067, 0.275452, 0.068696,
 0.000524, 0.898633, 0.070435, 0.030408} 

{0.105574, 0.226076, 0.421626, 0.246724,
  0.19923,  0.14366, 0.445314, 0.211797,
 0.294235, 0.261918, 0.259748, 0.184099,
 0.233465, 0.186093, 0.296839, 0.283603,
 0.223128, 0.316279, 0.220929, 0.239664,
 0.185024, 0.201487, 0.474173, 0.139316,
 0.285435, 0.209134, 0.316119, 0.189312,
 0.343025, 0.180639, 0.196555, 0.279781,
 0.223118,  0.28203, 0.254374, 0.240477,
 0.086382, 0.345689, 0.470809,  0.09712,
  0.10941, 0.171388, 0.541554, 0.177648,
 0.013859, 0.799687, 0.134763, 0.051691,
