consul : 2295 documents
=================
 10 consul 
==================

2295 documents , 1 concepts , 4967 context features (consul) 
kappaF 100.000000, kappaK 1.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -2, end 10, times 13, dT 1, I 1500


map[]


...ready to estimate
{0.218915, 0.366116, 0.039064, 0.375905,
 0.190235, 0.424008, 0.032964, 0.352793,
 0.257751, 0.276672, 0.243163, 0.222414,
 0.273142, 0.253669, 0.212285, 0.260904,
 0.248379, 0.170314, 0.350604, 0.230703,
 0.355539, 0.273915, 0.140239, 0.230307,
 0.164759, 0.386647, 0.245755, 0.202839,
 0.444203, 0.125839, 0.276419, 0.153539,
 0.510084, 0.192045, 0.204147, 0.093724,
 0.311657, 0.108217, 0.237907,  0.34222,
  0.28145, 0.242186, 0.269709, 0.206654,
 0.419176, 0.087771, 0.080739, 0.412315,
  0.43212, 0.032697, 0.286665, 0.248518} 

{ 0.01486,  0.28999, 0.023311,  0.67184,
 0.184221, 0.195123, 0.048698, 0.571958,
  0.25753, 0.275987, 0.243571, 0.222911,
 0.277811, 0.251377, 0.211624, 0.259188,
 0.234691, 0.167454, 0.355252, 0.242603,
 0.376107, 0.264518, 0.146968, 0.212407,
  0.16375, 0.397857, 0.246007, 0.192387,
 0.462856, 0.152009, 0.267585, 0.117549,
 0.494842, 0.193652, 0.222751, 0.088754,
 0.216378, 0.320341, 0.376384, 0.086896,
 0.283013, 0.225614,  0.24385, 0.247522,
 0.602887, 0.046995, 0.060824, 0.289293,
 0.820823, 0.102297, 0.064202, 0.012678} 

{ 0.01479, 0.274911, 0.019822, 0.690477,
 0.390449, 0.208883, 0.026156, 0.374512,
 0.256029, 0.275261, 0.244333, 0.224377,
 0.276577,  0.25765, 0.208816, 0.256958,
 0.234555, 0.173885, 0.351024, 0.240535,
 0.345786, 0.292858, 0.119149, 0.242207,
 0.171253,  0.39361, 0.253246, 0.181892,
 0.467881, 0.147441, 0.274589, 0.110089,
 0.491029, 0.197474, 0.223209, 0.088288,
 0.646376, 0.137438, 0.200017, 0.016169,
 0.331256, 0.216571, 0.246589, 0.205584,
 0.782807, 0.072421, 0.054881, 0.089891,
 0.363736,  0.13404,  0.24076, 0.261464} 

{0.039866, 0.341001, 0.002496, 0.616637,
 0.670817, 0.089581, 0.028537, 0.211064,
 0.255018, 0.276132, 0.244369, 0.224481,
 0.268617,  0.25172, 0.225893,  0.25377,
 0.232507, 0.172858, 0.351835,   0.2428,
 0.352152, 0.305813, 0.113065,  0.22897,
 0.173365, 0.382518,  0.25526, 0.188858,
 0.547938, 0.124925, 0.214047,  0.11309,
 0.455769, 0.199359, 0.252829, 0.092043,
 0.804079, 0.036459, 0.108617, 0.050844,
 0.324423, 0.235452, 0.252124, 0.188001,
 0.870673, 0.042835, 0.045258, 0.041234,
 0.581954, 0.079469, 0.276494, 0.062084} 

{0.284455, 0.196729, 0.035095, 0.483721,
 0.429446, 0.070048, 0.114459, 0.386048,
 0.255711, 0.277026, 0.243525, 0.223738,
 0.262139, 0.257673, 0.227844, 0.252344,
 0.232238, 0.169914, 0.354517,  0.24333,
 0.365109, 0.321186, 0.109499, 0.204207,
 0.174553, 0.383576, 0.258408, 0.183464,
 0.582058, 0.124701, 0.204889, 0.088352,
 0.437033, 0.247044, 0.227681, 0.088243,
  0.17145, 0.043789, 0.479427, 0.305334,
 0.317979, 0.273687, 0.216843, 0.191491,
 0.668561, 0.169533,  0.11262, 0.049286,
 0.417067, 0.191701, 0.212001, 0.179232} 

{0.135562, 0.120356, 0.075987, 0.668096,
 0.318747, 0.243386, 0.264399, 0.173469,
 0.255255, 0.277552, 0.243768, 0.223425,
 0.266741, 0.258191, 0.223862, 0.251206,
 0.241352,  0.16458, 0.355014, 0.239055,
 0.338637, 0.356317, 0.114752, 0.190293,
 0.186831, 0.379287, 0.247805, 0.186077,
 0.674261,  0.08287, 0.157428,  0.08544,
 0.450921, 0.255152, 0.208751, 0.085176,
 0.304584, 0.110621, 0.418413, 0.166382,
 0.332028, 0.286188, 0.204417, 0.177367,
 0.632691, 0.177992, 0.085483, 0.103834,
 0.707042, 0.159271, 0.029979, 0.103709} 

{0.066674, 0.102497, 0.054873, 0.775955,
 0.615856, 0.132874, 0.089538, 0.161732,
 0.254572, 0.278796, 0.242904, 0.223727,
 0.258865, 0.257516, 0.225002, 0.258617,
 0.241174, 0.162503, 0.355762, 0.240561,
 0.358221, 0.265059, 0.147016, 0.229703,
 0.192814, 0.377074, 0.242216, 0.187896,
  0.65402, 0.086588, 0.189329, 0.070063,
 0.436788, 0.268204,  0.20756, 0.087448,
 0.670506, 0.151818, 0.093434, 0.084242,
 0.316714, 0.308999, 0.195617,  0.17867,
 0.328128, 0.332918, 0.141082, 0.197871,
 0.059243, 0.536877, 0.277509, 0.126371} 

{0.122046,   0.3236, 0.071367, 0.482986,
 0.491897, 0.290401, 0.093505, 0.124196,
 0.254232, 0.279506, 0.242642,  0.22362,
 0.254661, 0.257246, 0.217342, 0.270751,
 0.252591, 0.187554, 0.344695,  0.21516,
 0.311025, 0.278892, 0.156093,  0.25399,
 0.188857,  0.37908, 0.243657, 0.188406,
 0.727084, 0.097903, 0.121338, 0.053675,
 0.414691, 0.297456, 0.200079, 0.087774,
 0.239634, 0.345534,  0.13422, 0.280613,
 0.320338, 0.324616, 0.165128, 0.189918,
 0.151711, 0.420187, 0.232032, 0.196069,
 0.181442, 0.410242, 0.368743, 0.039573} 

{0.230639, 0.087608, 0.046852, 0.634902,
 0.507801, 0.294594, 0.062895,  0.13471,
 0.254238, 0.279315, 0.242746, 0.223701,
 0.252035, 0.257956, 0.218246, 0.271763,
 0.246831, 0.192601, 0.334967, 0.225601,
 0.341157, 0.268396, 0.148894, 0.241553,
 0.187297, 0.383668, 0.248495,  0.18054,
 0.792317, 0.084762, 0.089688, 0.033232,
 0.394651, 0.316385, 0.196562, 0.092402,
 0.235231, 0.059781, 0.581186, 0.123801,
 0.316582, 0.320563, 0.173162, 0.189693,
 0.079024, 0.436794, 0.191588, 0.292594,
 0.026679, 0.305624, 0.586297, 0.081399} 

{0.183647, 0.070401, 0.164596, 0.581357,
   0.6077, 0.049196, 0.085458, 0.257647,
 0.254409, 0.279895, 0.242407, 0.223289,
 0.251224, 0.257864,  0.22252, 0.268391,
 0.240367,  0.19317,  0.33595, 0.230512,
 0.361686, 0.255321, 0.157103,  0.22589,
 0.188496, 0.392509, 0.230495, 0.188501,
 0.700093, 0.118842, 0.127883, 0.053183,
 0.393716, 0.330978, 0.181089, 0.094217,
 0.617176, 0.302754, 0.046605, 0.033465,
 0.350035, 0.302594, 0.164181,  0.18319,
 0.196311, 0.408835, 0.287713, 0.107141,
 0.247505, 0.118122, 0.578396, 0.055978} 

{0.207298, 0.071093, 0.159465, 0.562144,
 0.486696, 0.039473, 0.314701,  0.15913,
 0.254616, 0.278713, 0.243117, 0.223554,
 0.249067, 0.251308, 0.221877, 0.277748,
 0.241676, 0.191424, 0.336182, 0.230717,
 0.427165, 0.223679, 0.146742, 0.202414,
  0.19037, 0.387498, 0.228266, 0.193866,
 0.629913, 0.142779, 0.151292, 0.076016,
   0.3629, 0.350007, 0.179318, 0.107775,
 0.120091, 0.658749, 0.047129, 0.174031,
 0.341014, 0.293956, 0.173387, 0.191643,
 0.395711, 0.305164, 0.162415, 0.136711,
 0.231617, 0.116025, 0.375931, 0.276426} 

{0.118692, 0.015886,  0.10989, 0.755531,
 0.690837, 0.028154, 0.180113, 0.100895,
 0.253929, 0.279296, 0.243102, 0.223673,
 0.253413, 0.247362, 0.221133, 0.278092,
 0.233014, 0.191782, 0.334632, 0.240572,
  0.40559, 0.212874, 0.184266, 0.197271,
   0.1912, 0.383332,  0.23268, 0.192787,
 0.599408, 0.159229, 0.166851, 0.074512,
 0.363304, 0.350789, 0.176976, 0.108931,
 0.434588, 0.214039, 0.176049, 0.175325,
 0.337791,  0.32174, 0.171922, 0.168547,
 0.377526,  0.28463, 0.171409, 0.166435,
 0.410344, 0.234224, 0.226002, 0.129429} 

{0.365667, 0.143461, 0.099658, 0.391214,
 0.542378, 0.191667, 0.037303, 0.228651,
 0.252083, 0.280588, 0.244168, 0.223161,
  0.25564, 0.248056,   0.2197, 0.276604,
 0.235286, 0.196281, 0.319409, 0.249024,
 0.390183, 0.211545, 0.187245, 0.211028,
 0.198471, 0.368091, 0.237546, 0.195892,
 0.615959, 0.174363, 0.163537, 0.046141,
 0.362918, 0.331063, 0.189823, 0.116196,
  0.22877, 0.196094, 0.474646, 0.100489,
 0.319111, 0.347962, 0.181368, 0.151558,
 0.376914, 0.228014, 0.261339, 0.133733,
 0.050691, 0.427312, 0.310451, 0.211546} 

{ 0.23288, 0.239749, 0.069181,  0.45819,
 0.561733, 0.195498, 0.150767, 0.092003,
 0.253218, 0.281743, 0.242511, 0.222528,
 0.247827, 0.253037, 0.221708, 0.277428,
 0.239971, 0.199437, 0.317338, 0.243255,
 0.399185, 0.197599, 0.128021, 0.275195,
 0.193959, 0.357204, 0.247503, 0.201333,
 0.582958, 0.166577, 0.176492, 0.073973,
 0.364488,  0.33412, 0.180508, 0.120884,
  0.32249, 0.217911, 0.354431, 0.105169,
 0.321063, 0.356117, 0.187065, 0.135755,
 0.150563, 0.501461, 0.234567, 0.113409,
 0.132082, 0.408658, 0.431813, 0.027448} 

{ 0.24393, 0.213667, 0.106214, 0.436189,
  0.19817, 0.331662, 0.316953, 0.153214,
 0.255622, 0.282185, 0.242975, 0.219217,
 0.251384, 0.245066, 0.220748, 0.282802,
 0.228962, 0.192694, 0.329067, 0.249277,
 0.328114, 0.269962, 0.137386, 0.264538,
 0.191907, 0.350262, 0.244953, 0.212878,
 0.709276, 0.109805, 0.128739,  0.05218,
 0.365831, 0.329639, 0.174608, 0.129922,
 0.255551,  0.31316, 0.146387, 0.284902,
 0.295967, 0.392353, 0.192685, 0.118995,
 0.258862, 0.296126, 0.277027, 0.167985,
  0.19862, 0.260257, 0.333528, 0.207594} 

{0.252689, 0.437169, 0.095617, 0.214525,
 0.387183, 0.146839, 0.118752, 0.347226,
 0.255379,  0.28233, 0.243059, 0.219233,
 0.249806, 0.246365, 0.222706, 0.281122,
 0.237588, 0.190512, 0.325141, 0.246759,
 0.327935, 0.271841, 0.122901, 0.277323,
 0.212172, 0.341237,  0.23072, 0.215871,
 0.709849, 0.111969, 0.126314, 0.051867,
 0.367088, 0.331726, 0.177649, 0.123537,
 0.514939, 0.242541,    0.158,  0.08452,
 0.303415, 0.382755, 0.192441, 0.121389,
 0.230921, 0.337182,  0.26141, 0.170487,
 0.184048,  0.34029, 0.458567, 0.017094} 

{0.273197, 0.451158,  0.13821, 0.137435,
 0.565387, 0.247294, 0.077282, 0.110036,
 0.255519, 0.282792, 0.242508, 0.219181,
 0.255887, 0.244065, 0.215354, 0.284693,
 0.233581, 0.196416, 0.321488, 0.248515,
 0.295744, 0.240236, 0.144344, 0.319676,
 0.204029, 0.344534, 0.224564, 0.226874,
 0.623508, 0.154167, 0.127963, 0.094363,
 0.350732, 0.335838, 0.181261, 0.132168,
 0.270047, 0.327933, 0.302975, 0.099044,
 0.302672, 0.382891, 0.203059, 0.111378,
 0.116284, 0.322592, 0.424806, 0.136317,
 0.133611, 0.102395, 0.695753, 0.068241} 

{0.294607, 0.347752, 0.195554, 0.162086,
 0.600366, 0.163784, 0.154162, 0.081687,
 0.256374, 0.282274, 0.242305, 0.219048,
 0.256504, 0.245276, 0.215495, 0.282724,
 0.233609,  0.19771, 0.319897, 0.248784,
 0.300904, 0.198187, 0.145248,  0.35566,
 0.196621, 0.359117, 0.225019, 0.219243,
 0.615201, 0.178304,  0.11472, 0.091774,
 0.341772, 0.350002, 0.175727, 0.132498,
 0.176666, 0.316893, 0.450988, 0.055453,
