34 documents , 1 concepts , 215 context features (παραβολή) 
kappaF 100.000000, kappaK 2.000000, a0 1.000000, b0 1.000000, K 4, max_docs_per_slice 2000, start -700, end 350, times 10, dT 100, I 1000


map[]

===============  per type  ===============
1.456102185577493e-05   T=0,K=0:  κῦρος (0.160) ; λέγω (0.055) ; υἱός (0.038) ; εἶπον (0.037) ; λαλέω (0.032) ; ὀνειδισμός (0.029) ; λόγος (0.026) ; προφήτης (0.026) ; γῆ (0.023) ; ἥμερος (0.021) ; 
0.0005046602085040299   T=1,K=0:  κῦρος (0.184) ; λέγω (0.051) ; λαλέω (0.034) ; εἶπον (0.033) ; υἱός (0.031) ; ὀνειδισμός (0.031) ; προφήτης (0.024) ; λόγος (0.023) ; γῆ (0.022) ; δίδωμι (0.020) ; 
0.1599436943960547   T=2,K=0:  κῦρος (0.163) ; λέγω (0.058) ; υἱός (0.043) ; λαλέω (0.034) ; εἶπον (0.032) ; ὀνειδισμός (0.026) ; προφήτης (0.023) ; λόγος (0.021) ; γῆ (0.021) ; ἥμερος (0.020) ; 
0.0045019829741187855   T=3,K=0:  κῦρος (0.155) ; λέγω (0.060) ; λαλέω (0.037) ; υἱός (0.037) ; εἶπον (0.033) ; ὀνειδισμός (0.026) ; προφήτης (0.023) ; δίδωμι (0.022) ; λόγος (0.022) ; ἔτος (0.021) ; 
0.028244008014142005   T=4,K=0:  κῦρος (0.141) ; λέγω (0.080) ; υἱός (0.038) ; λαλέω (0.037) ; εἶπον (0.033) ; δίδωμι (0.023) ; προφήτης (0.023) ; ὀνειδισμός (0.022) ; ἥμερος (0.021) ; λόγος (0.021) ; 
0.5327572179839504   T=5,K=0:  κῦρος (0.133) ; λέγω (0.080) ; υἱός (0.035) ; λαλέω (0.034) ; εἶπον (0.031) ; δίδωμι (0.023) ; προφήτης (0.022) ; λόγος (0.022) ; ὀνειδισμός (0.022) ; ἐξέρχομαι (0.022) ; 
0.019118835258014992   T=6,K=0:  κῦρος (0.126) ; λέγω (0.079) ; λαλέω (0.036) ; υἱός (0.036) ; εἶπον (0.031) ; λόγος (0.025) ; ὀνειδισμός (0.023) ; ἐξέρχομαι (0.021) ; προφήτης (0.020) ; δίδωμι (0.019) ; 
0.3333357075770396   T=7,K=0:  κῦρος (0.120) ; λέγω (0.086) ; υἱός (0.036) ; λαλέω (0.035) ; εἶπον (0.032) ; λόγος (0.027) ; ἐξέρχομαι (0.023) ; προφήτης (0.021) ; ὀνειδισμός (0.020) ; τρόπος (0.019) ; 
0.970203416666035   T=8,K=0:  κῦρος (0.119) ; λέγω (0.073) ; υἱός (0.037) ; λαλέω (0.036) ; εἶπον (0.031) ; λόγος (0.025) ; προφήτης (0.023) ; ἐξέρχομαι (0.023) ; ὅρασις (0.022) ; ἥμερος (0.021) ; 
0.17526413912065958   T=9,K=0:  κῦρος (0.109) ; λέγω (0.073) ; υἱός (0.043) ; εἶπον (0.036) ; λαλέω (0.031) ; λόγος (0.022) ; ὀνειδισμός (0.022) ; προφήτης (0.021) ; ἔτος (0.021) ; ἐξέρχομαι (0.021) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  κῦρος (0.141) ; λέγω (0.070) ; υἱός (0.037) ; λαλέω (0.035) ; εἶπον (0.033) ; ὀνειδισμός (0.024) ; λόγος (0.024) ; προφήτης (0.023) ; δίδωμι (0.020) ; ἐξέρχομαι (0.020) ; 

0.9999759423939762   T=0,K=1:  εὐδαιμονέω (0.052) ; παροιμία (0.035) ; ἱστορία (0.033) ; ἔχω (0.033) ; καθόλου (0.028) ; ὁδός (0.028) ; ἐοικότως (0.025) ; ἔρχομαι (0.024) ; νοήμων (0.024) ; Ἰταλία (0.024) ; 
0.9994917714766733   T=1,K=1:  εὐδαιμονέω (0.044) ; ἱστορία (0.036) ; ἔχω (0.035) ; παροιμία (0.029) ; ἐοικότως (0.029) ; καθόλου (0.028) ; Ἰταλία (0.026) ; ὁδός (0.025) ; νοήμων (0.025) ; ἔρχομαι (0.023) ; 
0.8400477909863718   T=2,K=1:  εὐδαιμονέω (0.046) ; ἔχω (0.037) ; ἱστορία (0.037) ; καθόλου (0.033) ; παροιμία (0.027) ; ἔρχομαι (0.027) ; ἐοικότως (0.026) ; ὁδός (0.023) ; νοήμων (0.023) ; Ἰταλία (0.023) ; 
0.9952980860106676   T=3,K=1:  εὐδαιμονέω (0.043) ; ἱστορία (0.039) ; ἔχω (0.036) ; καθόλου (0.029) ; ἐοικότως (0.029) ; ὁδός (0.028) ; νοήμων (0.025) ; ἔρχομαι (0.025) ; παροιμία (0.025) ; ἴσος (0.022) ; 
0.8736552956244932   T=4,K=1:  εὐδαιμονέω (0.045) ; ἱστορία (0.043) ; ἔχω (0.034) ; ὁδός (0.032) ; νοήμων (0.028) ; καθόλου (0.028) ; ἐοικότως (0.025) ; παροιμία (0.022) ; ἔρχομαι (0.022) ; ἴσος (0.021) ; 
