223 documents , 1 concepts , 1072 context features (ἄγγελος) 
kappaF 100.000000, kappaK 2.000000, a0 1.000000, b0 1.000000, K 8, max_docs_per_slice 2000, start -700, end 350, times 11, dT 100, I 1000


map[]

===============  per type  ===============
0.3206009107563932   T=0,K=0:  θεός (0.039) ; πέμπω (0.024) ; πόλις (0.021) ; μέγας (0.016) ; ζάω (0.015) ; Ἑρμῆς (0.012) ; τέσσαρες (0.012) ; κῆρυξ (0.011) ; πυνθάνομαι (0.010) ; Κύπρις (0.009) ; 
0.0010223774958565124   T=1,K=0:  θεός (0.035) ; πέμπω (0.025) ; μέγας (0.018) ; πόλις (0.017) ; τέσσαρες (0.014) ; Ἑρμῆς (0.014) ; ζάω (0.013) ; κῆρυξ (0.013) ; πυνθάνομαι (0.010) ; Κύπρις (0.009) ; 
0.0003134468960238636   T=2,K=0:  θεός (0.036) ; πέμπω (0.021) ; πόλις (0.018) ; μέγας (0.016) ; τέσσαρες (0.016) ; ζάω (0.014) ; κῆρυξ (0.013) ; Ἑρμῆς (0.013) ; πυνθάνομαι (0.011) ; Κύπρις (0.010) ; 
0.008467254604692078   T=3,K=0:  θεός (0.031) ; πόλις (0.019) ; πέμπω (0.018) ; τέσσαρες (0.017) ; ζάω (0.016) ; μέγας (0.015) ; κῆρυξ (0.013) ; πυνθάνομαι (0.012) ; Ἑρμῆς (0.011) ; Κύπρις (0.009) ; 
0.0711567569611095   T=4,K=0:  θεός (0.031) ; τέσσαρες (0.020) ; πόλις (0.019) ; πέμπω (0.018) ; μέγας (0.017) ; ζάω (0.015) ; κῆρυξ (0.013) ; πυνθάνομαι (0.012) ; ἔργον (0.009) ; Ἑρμῆς (0.009) ; 
0.1168666532566275   T=5,K=0:  θεός (0.032) ; μέγας (0.020) ; πόλις (0.020) ; τέσσαρες (0.019) ; πέμπω (0.018) ; ζάω (0.015) ; κῆρυξ (0.012) ; Ἑρμῆς (0.011) ; πυνθάνομαι (0.010) ; ἐξαποστέλλω (0.009) ; 
0.0024792478044326524   T=6,K=0:  θεός (0.032) ; μέγας (0.021) ; τέσσαρες (0.020) ; πόλις (0.019) ; πέμπω (0.018) ; ζάω (0.013) ; πυνθάνομαι (0.010) ; Ἑρμῆς (0.009) ; κῆρυξ (0.009) ; ἐξαποστέλλω (0.009) ; 
0.1138703046483897   T=7,K=0:  θεός (0.037) ; μέγας (0.022) ; πέμπω (0.020) ; πόλις (0.019) ; τέσσαρες (0.018) ; ζάω (0.012) ; πυνθάνομαι (0.011) ; Ἑρμῆς (0.011) ; κῆρυξ (0.010) ; ἐξαποστέλλω (0.009) ; 
0.003368945951854769   T=8,K=0:  θεός (0.036) ; μέγας (0.021) ; τέσσαρες (0.020) ; πόλις (0.020) ; πέμπω (0.017) ; ζάω (0.012) ; πυνθάνομαι (0.012) ; Ἑρμῆς (0.009) ; κῆρυξ (0.009) ; ἐξαποστέλλω (0.009) ; 
5.771619548114687e-06   T=9,K=0:  θεός (0.035) ; μέγας (0.021) ; πόλις (0.019) ; πέμπω (0.017) ; τέσσαρες (0.017) ; πυνθάνομαι (0.014) ; ζάω (0.012) ; ἀπογράφω (0.009) ; Κύπρις (0.009) ; κῆρυξ (0.008) ; 
2.003078565711069e-06   T=10,K=0:  θεός (0.031) ; μέγας (0.023) ; πόλις (0.020) ; τέσσαρες (0.017) ; πυνθάνομαι (0.014) ; πέμπω (0.013) ; ζάω (0.012) ; κῆρυξ (0.010) ; ἀπογράφω (0.009) ; Ἑρμῆς (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  θεός (0.034) ; μέγας (0.019) ; πέμπω (0.019) ; πόλις (0.019) ; τέσσαρες (0.017) ; ζάω (0.013) ; πυνθάνομαι (0.011) ; κῆρυξ (0.011) ; Ἑρμῆς (0.010) ; Κύπρις (0.009) ; 

0.00023556619955413799   T=0,K=1:  πέμπω (0.039) ; θεός (0.032) ; Ἰησοῦς (0.018) ; πρότερος (0.014) ; ἱερεύς (0.014) ; μεταπέμπω (0.011) ; ὅλος (0.009) ; διακενῆς (0.009) ; στέλλω (0.009) ; ἐπιβλέπω (0.009) ; 
2.3772204139343533e-06   T=1,K=1:  πέμπω (0.040) ; θεός (0.033) ; Ἰησοῦς (0.017) ; πρότερος (0.016) ; ἱερεύς (0.013) ; μεταπέμπω (0.011) ; στέλλω (0.010) ; ἐπιβλέπω (0.009) ; ὅλος (0.009) ; κύδιμος (0.008) ; 
0.0004130583391821171   T=2,K=1:  πέμπω (0.039) ; θεός (0.036) ; πρότερος (0.015) ; Ἰησοῦς (0.013) ; ἱερεύς (0.012) ; μεταπέμπω (0.011) ; στέλλω (0.011) ; ἐπιβλέπω (0.010) ; κύδιμος (0.009) ; ὅλος (0.009) ; 
0.1338222416808491   T=3,K=1:  πέμπω (0.037) ; θεός (0.030) ; πρότερος (0.017) ; Ἰησοῦς (0.013) ; ἱερεύς (0.012) ; ἐπιβλέπω (0.010) ; ὅλος (0.010) ; διακενῆς (0.010) ; στέλλω (0.010) ; μεταπέμπω (0.010) ; 
0.08230232962614945   T=4,K=1:  πέμπω (0.040) ; θεός (0.026) ; πρότερος (0.014) ; Ἰησοῦς (0.013) ; ὅλος (0.011) ; κύδιμος (0.011) ; ἐπιβλέπω (0.011) ; ἱερεύς (0.011) ; μεταπέμπω (0.010) ; διακενῆς (0.010) ; 
0.0297376329524352   T=5,K=1:  πέμπω (0.033) ; θεός (0.027) ; πρότερος (0.016) ; ἱερεύς (0.013) ; Ἰησοῦς (0.012) ; κύδιμος (0.010) ; ἐπιβλέπω (0.010) ; μεταπέμπω (0.010) ; στέλλω (0.010) ; ἄνθρωπος (0.009) ; 
0.07976154629059341   T=6,K=1:  πέμπω (0.035) ; θεός (0.026) ; πρότερος (0.015) ; Ἰησοῦς (0.011) ; ἱερεύς (0.011) ; ἐπιβλέπω (0.010) ; κύδιμος (0.010) ; στέλλω (0.010) ; μεταπέμπω (0.010) ; διακενῆς (0.010) ; 
0.09483589866894278   T=7,K=1:  πέμπω (0.030) ; θεός (0.024) ; Ἰησοῦς (0.014) ; πρότερος (0.013) ; κύδιμος (0.011) ; ἱερεύς (0.011) ; μεταπέμπω (0.011) ; ἄνθρωπος (0.010) ; στέλλω (0.010) ; διακενῆς (0.010) ; 
0.06971825904392591   T=8,K=1:  πέμπω (0.026) ; θεός (0.026) ; Ἰησοῦς (0.015) ; πρότερος (0.013) ; κύδιμος (0.012) ; ἱερεύς (0.010) ; μεταπέμπω (0.010) ; διακενῆς (0.009) ; ὅλος (0.009) ; ἄνθρωπος (0.009) ; 
0.5350279876814455   T=9,K=1:  πέμπω (0.028) ; θεός (0.028) ; Ἰησοῦς (0.014) ; πρότερος (0.014) ; ἄνθρωπος (0.011) ; ἱερεύς (0.011) ; κύδιμος (0.010) ; στέλλω (0.010) ; εἶπον (0.009) ; ἐπιβλέπω (0.009) ; 
0.03075311121523842   T=10,K=1:  θεός (0.030) ; πέμπω (0.028) ; Ἰησοῦς (0.014) ; πρότερος (0.013) ; ἱερεύς (0.010) ; στέλλω (0.010) ; κύδιμος (0.010) ; ἄνθρωπος (0.010) ; εἶπον (0.010) ; διακενῆς (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  πέμπω (0.034) ; θεός (0.029) ; πρότερος (0.015) ; Ἰησοῦς (0.014) ; ἱερεύς (0.011) ; μεταπέμπω (0.010) ; κύδιμος (0.010) ; στέλλω (0.010) ; ἐπιβλέπω (0.009) ; διακενῆς (0.009) ; 

0.007828571303560902   T=0,K=2:  ἅμα (0.036) ; Λακεδαιμόνιος (0.020) ; ἁγίασμα (0.020) ; θεός (0.019) ; ἀποστέλλω (0.019) ; λαός (0.018) ; Ξέρξης (0.018) ; ἐσθίω (0.017) ; σύγκλητος (0.016) ; οὐρανός (0.014) ; 
0.00039253672640881897   T=1,K=2:  ἅμα (0.033) ; Λακεδαιμόνιος (0.022) ; ἀποστέλλω (0.019) ; ἁγίασμα (0.019) ; Ξέρξης (0.019) ; θεός (0.019) ; λαός (0.018) ; ἐσθίω (0.017) ; σύγκλητος (0.014) ; οὐρανός (0.014) ; 
0.00012250210654910702   T=2,K=2:  ἅμα (0.033) ; Λακεδαιμόνιος (0.021) ; θεός (0.019) ; Ξέρξης (0.018) ; λαός (0.018) ; ἁγίασμα (0.017) ; ἀποστέλλω (0.017) ; ἐσθίω (0.017) ; σύγκλητος (0.015) ; οὐρανός (0.015) ; 
0.028148413376596855   T=3,K=2:  ἅμα (0.033) ; θεός (0.020) ; Λακεδαιμόνιος (0.019) ; ἐσθίω (0.018) ; Ξέρξης (0.017) ; λαός (0.017) ; ἁγίασμα (0.016) ; ἀποστέλλω (0.015) ; σύγκλητος (0.015) ; οὐρανός (0.015) ; 
0.041655953316768794   T=4,K=2:  ἅμα (0.031) ; θεός (0.019) ; ἐσθίω (0.019) ; λαός (0.019) ; Λακεδαιμόνιος (0.018) ; Ξέρξης (0.015) ; σύγκλητος (0.015) ; οὐρανός (0.015) ; ἁγίασμα (0.013) ; ἀποστέλλω (0.012) ; 
0.05458135816975192   T=5,K=2:  ἅμα (0.030) ; ἐσθίω (0.019) ; λαός (0.019) ; θεός (0.018) ; Λακεδαιμόνιος (0.017) ; οὐρανός (0.015) ; σύγκλητος (0.015) ; ἁγίασμα (0.013) ; ἀποστέλλω (0.013) ; Ξέρξης (0.013) ; 
0.017225382301550764   T=6,K=2:  ἅμα (0.033) ; ἐσθίω (0.019) ; λαός (0.018) ; Λακεδαιμόνιος (0.018) ; θεός (0.017) ; Ξέρξης (0.015) ; οὐρανός (0.015) ; σύγκλητος (0.014) ; ἀποστέλλω (0.014) ; συμβαίνω (0.013) ; 
