3255 documents , 1 concepts , 5825 context features (28569) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.20570187853371222   T=0,K=0:  11583 (0.021) ; 52571 (0.016) ; 75552 (0.014) ; 74126 (0.013) ; 65552 (0.013) ; 45996 (0.012) ; 31236 (0.012) ; 63772 (0.010) ; nlsj71743 (0.009) ; 84513 (0.008) ; 
0.6574870846788453   T=1,K=0:  11583 (0.022) ; 45996 (0.020) ; 75552 (0.016) ; 31236 (0.013) ; 63772 (0.012) ; 52571 (0.010) ; 1083 (0.009) ; 84494 (0.009) ; 65552 (0.009) ; nlsj71743 (0.008) ; 
0.45883555284128374   T=2,K=0:  45996 (0.022) ; 11583 (0.017) ; 75552 (0.016) ; nlsj71743 (0.011) ; 1083 (0.010) ; 31236 (0.009) ; 63772 (0.009) ; 115212 (0.009) ; 65552 (0.009) ; nlsj76838 (0.008) ; 
0.220030989975325   T=3,K=0:  45996 (0.020) ; 75552 (0.015) ; 63772 (0.014) ; 31236 (0.012) ;  (0.010) ; 11583 (0.010) ; 65552 (0.009) ; 86219 (0.009) ; nlsj76838 (0.009) ; 84234 (0.008) ; 
0.12156653179614951   T=4,K=0:  45996 (0.024) ; 63772 (0.015) ; 75552 (0.012) ; 115193 (0.010) ; 31236 (0.010) ; 74126 (0.009) ; 114651 (0.008) ; 11583 (0.008) ;  (0.008) ; 86219 (0.008) ; 
0.08495301123685868   T=5,K=0:  45996 (0.018) ; 75552 (0.014) ; 11583 (0.011) ;  (0.011) ; 84234 (0.010) ; 63772 (0.010) ; 97121 (0.008) ; 115193 (0.007) ; 114651 (0.007) ; 31236 (0.007) ; 
0.06853725575573358   T=6,K=0:  75552 (0.016) ; 11583 (0.016) ; 45996 (0.012) ;  (0.011) ; 63772 (0.009) ; 61056 (0.009) ; 97121 (0.008) ; nlsj71743 (0.008) ; 84234 (0.008) ; 115193 (0.008) ; 
0.04934625768338418   T=7,K=0:  45996 (0.017) ; 11583 (0.015) ;  (0.014) ; 97121 (0.012) ; 115193 (0.010) ; 75552 (0.010) ; 28002 (0.009) ; 84494 (0.009) ; 85306 (0.009) ; 63772 (0.008) ; 
0.14244888614939297   T=8,K=0:  45996 (0.016) ; 28002 (0.014) ; 85306 (0.011) ; 97121 (0.011) ;  (0.011) ; 11583 (0.009) ; 75552 (0.008) ; 74126 (0.008) ; nlsj71743 (0.007) ; 38732 (0.007) ; 
0.13124183215995205   T=9,K=0:  85306 (0.013) ; 75552 (0.012) ; 45996 (0.012) ; 28002 (0.011) ; 97121 (0.010) ; 84494 (0.009) ; 38732 (0.008) ;  (0.008) ; 74126 (0.008) ; 26447 (0.008) ; 
0.05491066301518767   T=10,K=0:  85306 (0.024) ; 75552 (0.019) ; 45996 (0.018) ; 26447 (0.010) ; 63772 (0.008) ; 97121 (0.008) ; 74126 (0.008) ; 38732 (0.008) ; 28002 (0.007) ; 50171 (0.007) ; 
0.11245858967478606   T=11,K=0:  75552 (0.030) ; 85306 (0.021) ; 45996 (0.019) ; 63772 (0.010) ; 11583 (0.008) ; 26447 (0.008) ; 74126 (0.008) ; 24289 (0.008) ; 84494 (0.007) ;  (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  45996 (0.017) ; 75552 (0.015) ; 11583 (0.013) ; 63772 (0.010) ; 85306 (0.009) ;  (0.009) ; 74126 (0.008) ; 31236 (0.007) ; 97121 (0.007) ; nlsj71743 (0.007) ; 

0.01228371287138886   T=0,K=1:  79223 (0.023) ; 72254 (0.015) ; 4845 (0.014) ; 51849 (0.013) ; 49752 (0.013) ; 83987 (0.013) ; 70958 (0.011) ; 48910 (0.010) ; 45996 (0.009) ; 61072 (0.009) ; 
0.0031753776375071747   T=1,K=1:  72254 (0.020) ; 79223 (0.019) ; 45996 (0.016) ; 83987 (0.013) ;  (0.012) ; 81154 (0.011) ; 4845 (0.009) ; 87859 (0.009) ; 6174 (0.009) ; 48910 (0.009) ; 
0.010443668331895155   T=2,K=1:  72254 (0.023) ; 6174 (0.018) ; 45996 (0.018) ; 79223 (0.015) ; 87859 (0.013) ; 4845 (0.012) ; 70958 (0.011) ;  (0.011) ; 90504 (0.010) ; 102000 (0.009) ; 
0.050353136973518446   T=3,K=1:  72254 (0.015) ; 6174 (0.013) ; 70958 (0.012) ; 87859 (0.011) ; 45996 (0.011) ; 66342 (0.011) ; 4845 (0.008) ;  (0.008) ; 85306 (0.007) ; 22209 (0.007) ; 
0.03661743171545234   T=4,K=1:  72254 (0.016) ; 70958 (0.014) ; 4845 (0.011) ; 100693 (0.011) ; 85306 (0.009) ; 87859 (0.009) ; 79223 (0.008) ; 6174 (0.008) ; 75552 (0.008) ;  (0.007) ; 
0.030995087370025463   T=5,K=1:  75552 (0.012) ; 72254 (0.010) ; 46646 (0.009) ; 70958 (0.008) ; 84234 (0.008) ;  (0.008) ; 4845 (0.008) ; 87148 (0.007) ; 85306 (0.007) ; 75152 (0.007) ; 
0.024543510562652488   T=6,K=1:  72254 (0.013) ;  (0.011) ; 75552 (0.011) ; 84234 (0.009) ; 46646 (0.009) ; 22209 (0.009) ; 66342 (0.008) ; 87148 (0.007) ; 70958 (0.007) ; 72627 (0.007) ; 
0.04149302377635848   T=7,K=1:  75552 (0.012) ;  (0.011) ; 72254 (0.011) ; 22209 (0.009) ; 46646 (0.009) ; 68754 (0.008) ; 73277 (0.007) ; 260 (0.007) ; 31945 (0.007) ; 110639 (0.007) ; 
0.03352945751113891   T=8,K=1:   (0.022) ; 72254 (0.014) ; 46646 (0.009) ; 22209 (0.009) ; 73277 (0.009) ; 31945 (0.008) ; 68754 (0.008) ; 75552 (0.008) ; 84234 (0.007) ; 73064 (0.007) ; 
0.16925029087067886   T=9,K=1:   (0.022) ; 68754 (0.010) ; 45996 (0.010) ; 85306 (0.010) ; 72627 (0.009) ; 46646 (0.009) ; 22209 (0.009) ; 72254 (0.007) ; 31945 (0.007) ; 84234 (0.007) ; 
0.07894342891216649   T=10,K=1:   (0.015) ; 28569 (0.014) ; 22209 (0.014) ; 46646 (0.012) ; 45996 (0.010) ; 90334 (0.010) ; 73277 (0.008) ; 68754 (0.008) ; 72627 (0.008) ; 71023 (0.007) ; 
0.12166393108308478   T=11,K=1:  22209 (0.019) ;  (0.018) ; 46646 (0.017) ; 28569 (0.014) ; 45996 (0.011) ; 68754 (0.009) ; 74752 (0.008) ; 73277 (0.008) ; 72627 (0.008) ; 81154 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.013) ; 72254 (0.013) ; 45996 (0.010) ; 22209 (0.009) ; 79223 (0.008) ; 46646 (0.008) ; 6174 (0.008) ; 70958 (0.008) ; 4845 (0.007) ; 75552 (0.007) ; 

0.09005966137651657   T=0,K=2:  85306 (0.042) ;  (0.020) ; 22209 (0.019) ; 1083 (0.019) ; 45996 (0.018) ; 1377 (0.015) ; 20621 (0.012) ; 84494 (0.012) ; 15893 (0.011) ; 83987 (0.010) ; 
0.04766095149242727   T=1,K=2:  84494 (0.022) ; 85306 (0.022) ;  (0.020) ; 1377 (0.018) ; 45996 (0.018) ; 1083 (0.017) ; 65552 (0.013) ; 75552 (0.012) ; 86112 (0.011) ; 15893 (0.011) ; 
0.2065725405371005   T=2,K=2:  45996 (0.039) ;  (0.023) ; 1377 (0.021) ; 84494 (0.018) ; 85306 (0.017) ; 75552 (0.016) ; 22209 (0.013) ; 65552 (0.012) ; 15893 (0.010) ; 73277 (0.009) ; 
0.18302320502069014   T=3,K=2:  45996 (0.046) ;  (0.018) ; 84494 (0.018) ; 22209 (0.015) ; 75552 (0.014) ; 86112 (0.013) ; 1377 (0.013) ; 85306 (0.013) ; 84234 (0.012) ; 65552 (0.010) ; 
0.2170105945874029   T=4,K=2:  84494 (0.025) ; 45996 (0.023) ;  (0.019) ; 22209 (0.013) ; 84234 (0.012) ; 75552 (0.012) ; 85306 (0.011) ; 1377 (0.011) ; 28569 (0.009) ; 116416 (0.009) ; 
0.05760692195294431   T=5,K=2:  45996 (0.026) ; 84494 (0.021) ; 85306 (0.015) ;  (0.013) ; 22209 (0.011) ; 75552 (0.010) ; 84234 (0.009) ; 15893 (0.009) ; 65552 (0.009) ; 73277 (0.009) ; 
0.019789167250775154   T=6,K=2:  45996 (0.025) ; 84494 (0.014) ; 85306 (0.013) ; 15893 (0.012) ; 84234 (0.010) ; 65552 (0.010) ;  (0.010) ; 22209 (0.009) ; 73277 (0.008) ; 8909 (0.008) ; 
0.07685437732997831   T=7,K=2:  45996 (0.016) ; 85306 (0.015) ; 84494 (0.012) ;  (0.011) ; 65552 (0.011) ; 84234 (0.008) ; 11583 (0.008) ; 22209 (0.008) ; 1083 (0.008) ; 116416 (0.007) ; 
0.1725614368271316   T=8,K=2:  45996 (0.020) ; 65552 (0.013) ;  (0.012) ; 85306 (0.011) ; 28002 (0.010) ; 15893 (0.009) ; 84494 (0.008) ; 86112 (0.008) ; 22209 (0.008) ; 63772 (0.008) ; 
0.1540523830762339   T=9,K=2:  45996 (0.024) ;  (0.017) ; 85306 (0.011) ; 63772 (0.011) ; 72627 (0.010) ; 65552 (0.010) ; 61791 (0.009) ; 73277 (0.009) ; 15893 (0.009) ; 22209 (0.008) ; 
