1898 documents , 1 concepts , 4785 context features (nlsj56179) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.008474084456850401   T=0,K=0:  nlsj56179 (0.079) ; 62204 (0.051) ; 52048 (0.025) ; 260 (0.024) ; 64866 (0.018) ; 4076 (0.015) ; 52571 (0.013) ; 76600 (0.012) ; 51647 (0.012) ; 22209 (0.011) ; 
0.02132660027055736   T=1,K=0:  nlsj56179 (0.060) ; 62204 (0.050) ; 260 (0.028) ; 52048 (0.018) ; 64866 (0.018) ; 51647 (0.017) ; 4076 (0.016) ; 8665 (0.012) ; 4845 (0.011) ; 22209 (0.011) ; 
0.017050603166000634   T=2,K=0:  62204 (0.039) ; 260 (0.037) ; nlsj56179 (0.036) ; 52048 (0.015) ; 51647 (0.015) ; 4076 (0.014) ; 420 (0.014) ; 52571 (0.013) ; 4845 (0.012) ; 64866 (0.012) ; 
0.0485976171782483   T=3,K=0:  nlsj56179 (0.050) ; 260 (0.046) ; 62204 (0.035) ; 22209 (0.018) ; 52571 (0.013) ; 8665 (0.011) ; 87091 (0.011) ; 4076 (0.011) ; 76600 (0.010) ; 4845 (0.010) ; 
0.038046495338658046   T=4,K=0:  nlsj56179 (0.047) ; 62204 (0.027) ; 260 (0.026) ; 52571 (0.015) ; 22209 (0.014) ; 84422 (0.011) ; 4845 (0.011) ; 46613 (0.010) ; 26447 (0.010) ; 85306 (0.010) ; 
0.02180879576744924   T=5,K=0:  nlsj56179 (0.031) ; 260 (0.018) ; 52048 (0.015) ; 22209 (0.013) ; 62204 (0.013) ; 67543 (0.011) ; 84422 (0.011) ; 46613 (0.011) ; 52571 (0.010) ; 112320 (0.010) ; 
0.05064611142102406   T=6,K=0:  22209 (0.022) ; nlsj56179 (0.017) ; 67543 (0.015) ; 260 (0.014) ; 52048 (0.012) ; 84422 (0.012) ; 54356 (0.012) ; 85306 (0.011) ; 72254 (0.010) ; 52571 (0.009) ; 
0.0450711909680146   T=7,K=0:  22209 (0.018) ; nlsj56179 (0.015) ; 52048 (0.013) ; 72254 (0.013) ; 260 (0.012) ; 85306 (0.011) ; 4076 (0.011) ; 67543 (0.010) ; 62204 (0.009) ; 45996 (0.009) ; 
0.06268558623228696   T=8,K=0:  52048 (0.019) ; 23069 (0.015) ; 22209 (0.015) ; 85306 (0.015) ; 260 (0.010) ; 55917 (0.010) ; nlsj56179 (0.010) ; 46613 (0.010) ; 45996 (0.009) ; 96089 (0.009) ; 
0.10029447974952141   T=9,K=0:  22209 (0.022) ; 52048 (0.020) ; 45809 (0.015) ; 55917 (0.012) ; 96089 (0.011) ; nlsj56179 (0.011) ; 46613 (0.011) ; 47007 (0.010) ; 85306 (0.009) ; 97507 (0.009) ; 
0.08433444191669884   T=10,K=0:  22209 (0.020) ; 52048 (0.013) ; 85306 (0.012) ; 46613 (0.012) ; 55917 (0.011) ; 23069 (0.011) ; 47007 (0.010) ; 96089 (0.010) ; 97507 (0.010) ; nlsj56179 (0.008) ; 
