82 documents , 1 concepts , 472 context features (101851) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 5, max_docs_per_slice 2000, start -335, end 200, times 27, dT 20, I 100


map[]

===============  per type  ===============
0.0031823351314431082   T=0,K=0:  81774 (0.034) ; 29357 (0.032) ; 75552 (0.030) ; nlsj3566 (0.022) ; 35360 (0.022) ; 31951 (0.017) ; 79103 (0.017) ; 54990 (0.014) ; 64316 (0.012) ; 92783 (0.011) ; 
0.002356709875143351   T=1,K=0:  81774 (0.042) ; 79103 (0.023) ; 75552 (0.020) ; 54990 (0.019) ; 29357 (0.018) ; nlsj3566 (0.017) ; 31951 (0.015) ; 29624 (0.014) ; 92783 (0.012) ; 75687 (0.012) ; 
0.0037520631823801634   T=2,K=0:  29357 (0.034) ; 81774 (0.024) ; nlsj3566 (0.022) ; 75552 (0.020) ; 79103 (0.017) ; 29624 (0.016) ; 75687 (0.016) ; 100589 (0.016) ; 55139 (0.015) ; 92783 (0.014) ; 
0.0058033263210214145   T=3,K=0:  81774 (0.030) ; 29357 (0.024) ; nlsj3566 (0.023) ; 79103 (0.021) ; 54990 (0.016) ; 75687 (0.015) ; 29624 (0.015) ; 75552 (0.013) ; 100589 (0.012) ; 37378 (0.011) ; 
0.002155743113448074   T=4,K=0:  79103 (0.033) ; 81774 (0.031) ; 54990 (0.017) ; nlsj3566 (0.017) ; 75687 (0.015) ; 29357 (0.014) ; 44964 (0.014) ; 3398 (0.014) ; 75552 (0.014) ; 31951 (0.010) ; 
0.006817346147241332   T=5,K=0:  81774 (0.039) ; 79103 (0.037) ; 54990 (0.023) ; 75552 (0.018) ; nlsj3566 (0.017) ; 75687 (0.013) ; 29357 (0.012) ; nlsj87789 (0.010) ; 44964 (0.010) ; 27847 (0.010) ; 
0.00865600002725532   T=6,K=0:  81774 (0.038) ; 79103 (0.033) ; 54990 (0.015) ; 75687 (0.015) ; 29357 (0.015) ; nlsj3566 (0.015) ; 75552 (0.014) ; 3398 (0.014) ; 51995 (0.014) ; 44964 (0.012) ; 
0.00877189127778189   T=7,K=0:  81774 (0.076) ; 3398 (0.019) ; 79103 (0.018) ; nlsj3566 (0.017) ; 29357 (0.014) ; 31951 (0.013) ; 54990 (0.012) ; 75687 (0.011) ; 75552 (0.010) ; 44964 (0.010) ; 
0.0070388607302881625   T=8,K=0:  81774 (0.066) ; 79103 (0.022) ; 31951 (0.018) ; nlsj3566 (0.017) ; 75687 (0.012) ; 3398 (0.012) ; 54990 (0.012) ; 29357 (0.011) ; 44964 (0.011) ; 100589 (0.010) ; 
0.005143307119079174   T=9,K=0:  81774 (0.062) ; nlsj3566 (0.017) ; 31951 (0.017) ; 79103 (0.015) ; 44964 (0.013) ; 75687 (0.012) ; 29357 (0.011) ; 100589 (0.011) ; 29624 (0.011) ; 36653 (0.010) ; 
0.019748384013569955   T=10,K=0:  81774 (0.033) ; 31951 (0.027) ; nlsj3566 (0.018) ; 29624 (0.013) ; 44964 (0.013) ; 100589 (0.012) ; 79103 (0.011) ; 75687 (0.011) ; 50824 (0.010) ; 3398 (0.010) ; 
0.035179624088954815   T=11,K=0:  81774 (0.030) ; 31951 (0.024) ; 33956 (0.017) ; nlsj3566 (0.014) ; 29624 (0.012) ; 75687 (0.012) ; 3398 (0.011) ; 36653 (0.010) ; 4430 (0.010) ; 100589 (0.009) ; 
0.0754574957306774   T=12,K=0:  31951 (0.027) ; 81774 (0.017) ; 29357 (0.016) ; 75687 (0.014) ; nlsj3566 (0.013) ; 82830 (0.013) ; 33956 (0.012) ; 29624 (0.012) ; 4430 (0.011) ; 14966 (0.011) ; 
0.055087740153174206   T=13,K=0:  31951 (0.021) ; 81774 (0.019) ; 29624 (0.017) ; 29357 (0.016) ; 75687 (0.016) ; 33956 (0.016) ; nlsj3566 (0.012) ; 14966 (0.012) ; 4430 (0.011) ; 67260 (0.011) ; 
0.10582520392472423   T=14,K=0:  31951 (0.023) ; 75687 (0.019) ; 81774 (0.018) ; 33956 (0.015) ; 29624 (0.014) ; 29357 (0.014) ; 67260 (0.013) ; nlsj3566 (0.012) ; 4430 (0.012) ; 100589 (0.011) ; 
0.12830714979448982   T=15,K=0:  29357 (0.020) ; 31951 (0.016) ; 81774 (0.015) ; 82830 (0.014) ; 33956 (0.014) ; 75687 (0.014) ; 71882 (0.013) ; 29624 (0.013) ; 4430 (0.011) ; 67260 (0.010) ; 
0.22822331318549896   T=16,K=0:  29357 (0.016) ; 71882 (0.016) ; 75687 (0.014) ; 29624 (0.014) ; 65751 (0.013) ; 81774 (0.011) ; 31951 (0.011) ; 85306 (0.010) ; 82830 (0.010) ; 27847 (0.010) ; 
0.5127537285266344   T=17,K=0:  65751 (0.020) ; 75687 (0.020) ; 33956 (0.018) ; 29357 (0.015) ; nlsj10926 (0.013) ; 29624 (0.011) ; 114548 (0.010) ; 47980 (0.010) ; 71882 (0.010) ; 31951 (0.009) ; 
0.38699887526042875   T=18,K=0:  65751 (0.030) ; 75687 (0.021) ; 114548 (0.016) ; 33956 (0.015) ; 29624 (0.014) ; 29357 (0.014) ; nlsj10926 (0.011) ; 40332 (0.011) ; 71882 (0.010) ; 23726 (0.008) ; 
0.18123416237333634   T=19,K=0:  65751 (0.023) ; 71882 (0.019) ; 75687 (0.018) ; 33956 (0.015) ; 29624 (0.015) ; 114548 (0.015) ; 85306 (0.011) ; 84513 (0.010) ; nlsj10926 (0.010) ; 105945 (0.009) ; 
0.1648164868868415   T=20,K=0:  65751 (0.020) ; 33956 (0.017) ; 75687 (0.016) ; 71882 (0.015) ; 29624 (0.015) ; 114548 (0.011) ; 51989 (0.010) ; 45984 (0.010) ; 41544 (0.010) ; 104274 (0.009) ; 
0.22603610494781082   T=21,K=0:  75687 (0.030) ; 29624 (0.023) ; 33956 (0.020) ; 114548 (0.017) ; 65751 (0.015) ; 71882 (0.013) ; 41544 (0.013) ; 15281 (0.013) ; 67281 (0.011) ; 61245 (0.011) ; 
0.18664767589634076   T=22,K=0:  75687 (0.021) ; 41544 (0.016) ; 15281 (0.015) ; 105945 (0.015) ; 29624 (0.014) ; 33956 (0.014) ; 63772 (0.014) ; 114548 (0.013) ; 67281 (0.012) ; 25175 (0.012) ; 
0.1905072356805685   T=23,K=0:  75687 (0.031) ; 63772 (0.019) ; 27847 (0.017) ; 33956 (0.015) ; 105945 (0.014) ; 61245 (0.013) ; 66574 (0.013) ; 41544 (0.013) ; 114548 (0.012) ; 4430 (0.012) ; 
0.20406750008110386   T=24,K=0:  75687 (0.031) ; 63772 (0.021) ; 114548 (0.018) ; 105945 (0.017) ; 27847 (0.015) ; 66574 (0.015) ; 14013 (0.013) ; 15281 (0.012) ; 25175 (0.012) ; 22680 (0.011) ; 
0.24110669109195726   T=25,K=0:  63772 (0.025) ; 105945 (0.023) ; 75687 (0.022) ; 25175 (0.019) ; 66574 (0.019) ; 14013 (0.016) ; 41544 (0.015) ; 28165 (0.015) ; 100589 (0.014) ; 27847 (0.013) ; 
0.11058721660783888   T=26,K=0:  75687 (0.031) ; 63772 (0.030) ; 25175 (0.024) ; 100589 (0.022) ; 41544 (0.019) ; nlsj24083 (0.018) ; 114548 (0.017) ; 8258 (0.015) ; 14013 (0.013) ; 15842 (0.013) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  81774 (0.023) ; 75687 (0.017) ; 29357 (0.014) ; nlsj3566 (0.013) ; 29624 (0.012) ; 31951 (0.012) ; 33956 (0.011) ; 79103 (0.011) ; 27847 (0.009) ; 100589 (0.009) ; 

0.015604330645705782   T=0,K=1:  4430 (0.040) ; 52571 (0.027) ; 84238 (0.023) ; 31562 (0.020) ; 20084 (0.020) ; 82367 (0.019) ; 32386 (0.015) ; 65552 (0.014) ; 10015 (0.014) ; 115972 (0.014) ; 
0.028737332321777585   T=1,K=1:  52571 (0.042) ; 20084 (0.030) ; 4430 (0.025) ; 84238 (0.024) ; 31562 (0.020) ; 82367 (0.020) ; 10015 (0.013) ; 31598 (0.012) ; 36653 (0.012) ; 65552 (0.010) ; 
0.05618173221415955   T=2,K=1:  52571 (0.045) ; 20084 (0.024) ; 4430 (0.017) ; 84238 (0.015) ; 82367 (0.013) ; 32386 (0.012) ; 43540 (0.012) ; 80357 (0.011) ; 42214 (0.011) ; 10015 (0.011) ; 
0.11685977992873077   T=3,K=1:  52571 (0.037) ; 20084 (0.030) ; 84238 (0.016) ; 4430 (0.015) ; 72432 (0.013) ; 10015 (0.012) ; 41544 (0.012) ; 22281 (0.011) ; 100583 (0.011) ; 80357 (0.010) ; 
0.18887722044166294   T=4,K=1:  52571 (0.034) ; 20084 (0.029) ; 84238 (0.028) ; 41544 (0.015) ; 72432 (0.014) ; 18610 (0.012) ; 23726 (0.012) ; 4430 (0.011) ; 22281 (0.011) ; 75777 (0.011) ; 
0.1442683523344465   T=5,K=1:  52571 (0.035) ; 20084 (0.018) ; 84238 (0.017) ; 4430 (0.016) ; 41544 (0.013) ; 113379 (0.013) ; 31598 (0.012) ; 18610 (0.012) ; 32386 (0.011) ; 100583 (0.011) ; 
0.11437433632203123   T=6,K=1:  52571 (0.030) ; 84238 (0.014) ; 51024 (0.014) ; 41544 (0.014) ; 4430 (0.014) ; 14013 (0.013) ; 32386 (0.012) ; 72432 (0.012) ; 83818 (0.011) ; 113379 (0.011) ; 
0.1067810389939189   T=7,K=1:  52571 (0.034) ; 72432 (0.021) ; 84238 (0.017) ; 32386 (0.017) ; 41544 (0.015) ; 51024 (0.014) ; 31598 (0.012) ; 10998 (0.012) ; 14013 (0.011) ; 100583 (0.011) ; 
0.05693035067938525   T=8,K=1:  52571 (0.027) ; 84238 (0.023) ; 72432 (0.021) ; 10998 (0.019) ; 10015 (0.016) ; 61885 (0.014) ; 71882 (0.013) ; 51024 (0.012) ; 32386 (0.011) ; 31598 (0.011) ; 
0.05737035878164237   T=9,K=1:  52571 (0.023) ; 84238 (0.020) ; 10998 (0.018) ; 31598 (0.016) ; 61885 (0.015) ; 10015 (0.014) ; 92783 (0.013) ; 72432 (0.012) ; 82367 (0.011) ; 100583 (0.011) ; 
0.08018851767435309   T=10,K=1:  84238 (0.025) ; 52571 (0.023) ; 10998 (0.021) ; 31598 (0.019) ; 92783 (0.014) ; 61885 (0.013) ; 58450 (0.011) ; 37156 (0.011) ; 100583 (0.010) ; 35542 (0.010) ; 
0.21493379451558695   T=11,K=1:  84238 (0.021) ; nlsj97867 (0.014) ; 37156 (0.014) ; 81774 (0.013) ; 52571 (0.013) ; 71882 (0.013) ; 8775 (0.012) ; 58450 (0.012) ; 10998 (0.012) ; 100583 (0.011) ; 
0.22048994552891074   T=12,K=1:  84238 (0.029) ; 37156 (0.020) ; nlsj97867 (0.013) ; 61791 (0.013) ; 113379 (0.012) ; 26900 (0.012) ; 71882 (0.012) ; 29378 (0.012) ; 100583 (0.012) ; 10998 (0.012) ; 
0.3098649746832978   T=13,K=1:  84238 (0.023) ; 71882 (0.016) ; nlsj97867 (0.015) ; 29378 (0.015) ; 84363 (0.013) ; nlsj10926 (0.012) ; 113379 (0.011) ; 61791 (0.010) ; 37156 (0.010) ; 10998 (0.010) ; 
0.21785318027957443   T=14,K=1:  71882 (0.024) ; 29378 (0.017) ; 84363 (0.013) ; nlsj97867 (0.013) ; 84238 (0.012) ; 37156 (0.012) ; 61791 (0.012) ; 113379 (0.010) ; 10998 (0.010) ; 32386 (0.010) ; 
0.09971001960899237   T=15,K=1:  71882 (0.023) ; 85306 (0.019) ; nlsj97867 (0.017) ; 84238 (0.015) ; 29378 (0.014) ; 61791 (0.011) ; 10998 (0.010) ; 73860 (0.010) ; 113379 (0.010) ; 84363 (0.010) ; 
0.2019376571708069   T=16,K=1:  71882 (0.029) ; 85306 (0.025) ; 10998 (0.014) ; nlsj97867 (0.013) ; 15281 (0.013) ; 84238 (0.013) ; 66870 (0.011) ; 61885 (0.010) ; 29378 (0.010) ; 47685 (0.010) ; 
